代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,MVE,BVE,Earnings,NetDiv,ADV,RD,ROA,S,SG,BM
1101,台泥,2022,M1100,11012022,0,0,0,0,0,7156182,238275780,460808961,4279352,37.53,268571510.5,238275780,4279352,3566090,0.007202477,0.00593193,4.33,113929706,6.44,0.887196783
1101,台泥,2021,M1100,11012021,0,0,0,0,0,6125234,225654673,441684559,19578311,34.57,211749339.4,225654673,19578311,12232346,0.006623827,0.003340313,13.4,107041452,-6.41,1.065668841
1101,台泥,2020,M1100,11012020,0,0,0,0,0,5810255,218830053,389506236,28194434,41.69,242229531,218830053,28194434,20594434,0.009673469,0.000253971,5.99,114367247,-6.85,0.903399565
1101,台泥,2019,M1100,11012019,0,0,0,0,0,5465619,208461867,367482385,26211318,31.49,172112342.3,208461867,26211318,16372857,0.008251255,0.00033187,6.8,122783014,-1.45,1.211196502
1101,台泥,2018,M1100,11012018,0,0,0,0,0,5108060,197379456,344085118,22753293,29.31,149717238.6,197379456,22753293,20431958,0.007236356,0.000189944,26.24,124594602,26.73,1.318348227
1101,台泥,2017,M1100,11012017,0,0,0,0,0,4246509,152647216,272557049,10983992,23.69,100599798.2,152647216,10983992,10601272,0.008051325,0.000329554,2.09,98311776,9.77,1.517370996
1102,亞泥,2022,M1100,11022022,0,0,0,0,0,3545928,184233245,324243127,11027153,42.12,149354487.4,184233245,11027153,8155633,0,0,2.27,91122104,-3.1,1.233530028
1102,亞泥,2021,M1100,11022021,0,0,0,0,0,3545572,180272886,317056069,17961642,38.37,136043597.6,180272886,17961642,12054945,0,0,6.72,94034188,17.63,1.325111135
1102,亞泥,2020,M1100,11022020,0,0,0,0,0,3361447,169886952,297086855,18849027,41.45,139331978.2,169886952,18849027,11933137,0,0,-0.06,79939010,-15.85,1.219296203
1102,亞泥,2019,M1100,11022019,0,0,0,0,0,3361447,169449038,297278512,20920406,33.33,112037028.5,169449038,20920406,10084341,0,0,6.48,94999021,10.95,1.51243781
1102,亞泥,2018,M1100,11022018,0,0,0,0,0,3361447,159048346,279187998,15923255,34.18,114894258.5,159048346,15923255,9412052,0,0,13,85624732,22.85,1.384301949
1102,亞泥,2017,M1100,11022017,0,0,0,0,0,3361447,145796364,247064348,6581964,23.44,78792317.68,145796364,6581964,4033736,0,0,3.6,69700034,14.36,1.850388062
1103,嘉泥,2022,M1100,11032022,1,0.693147181,1,0,0,774781,21999427,36412314,145499,20.77,16092201.37,21999427,145499,386672,0.018643463,0,-9.53,2253659,1.5,1.367086236
1103,嘉泥,2021,M1100,11032021,0,0,0,0,0,774781,25910233,40247651,351163,16.85,13055059.85,25910233,351163,502674,0.014847405,0,-0.98,2220254,7.86,1.984688948
1103,嘉泥,2020,M1100,11032020,0,0,0,0,0,774781,25017349,40646227,1405267,19.54,15139220.74,25017349,1405267,1079560,0.014960044,0,4.97,2058417,9.26,1.652485913
1103,嘉泥,2019,M1100,11032019,0,0,0,0,0,774781,23676225,38720634,-117351,14.53,11257567.93,23676225,-117351,771780,0.007023877,0,21.06,1884002,-9.96,2.103138542
1103,嘉泥,2018,M1100,11032018,0,0,0,0,0,774781,20919819,31985629,-54842,13.22,10242604.82,20919819,-54842,771780,0.006045193,0,12.95,2092406,-0.15,2.042431527
1103,嘉泥,2017,M1100,11032017,0,0,0,0,0,774781,19260840,28317986,-307313,9.61,7445645.41,19260840,-307313,387390,0.005677111,0,8.38,2095607,-33.26,2.586859693
1104,環泥,2022,M1100,11042022,0,0,0,0,0,653609,21526478,27811895,1689186,28.37,18542887.33,21526478,1689186,1176495,0.016921426,0.013089252,10.82,7055789,16.07,1.160902162
1104,環泥,2021,M1100,11042021,0,0,0,0,0,653609,19384476,25096822,1115455,19.42,12693086.78,19384476,1115455,653609,0.013874901,0.012943184,4.12,6079107,12.03,1.527168004
1104,環泥,2020,M1100,11042020,0,0,0,0,0,653609,18785353,24102936,1353491,19.61,12817272.49,18785353,1353491,718970,0.018748054,0.012751978,3,5426217,8.4,1.465627965
1104,環泥,2019,M1100,11042019,0,0,0,0,0,653609,18103046,23401933,1141628,14.3,9346608.7,18103046,1141628,653609,0.022232717,0.013722471,3.66,5005731,4.7,1.936857162
1104,環泥,2018,M1100,11042018,0,0,0,0,0,653609,17829273,22576572,1044833,15.05,9836815.45,17829273,1044833,653609,0.020469803,0.015262098,6.35,4780994,8.53,1.812504574
1104,環泥,2017,M1100,11042017,0,0,0,0,0,653609,17154761,21229208,1360132,14.34,9372753.06,17154761,1360132,718970,0.02002871,0.019400614,4.34,4405376,-4.69,1.830279843
1108,幸福,2022,M1100,11082022,0,0,0,0,0,404738,4905789,9661871,608472,16.17,6544613.46,4905789,608472,323790,0.026448857,0,20.15,4149253,10.09,0.749591864
1108,幸福,2021,M1100,11082021,0,0,0,0,0,404738,4645574,8041710,248395,9.66,3909769.08,4645574,248395,242842,0.029581945,0,0.18,3769022,-16.8,1.188196516
1108,幸福,2020,M1100,11082020,0,0,0,0,0,404738,4656919,8027307,377083,11.69,4731387.22,4656919,377083,283316,0.026368536,0,9.53,4530172,21.4,0.984260806
1108,幸福,2019,M1100,11082019,0,0,0,0,0,404738,4320937,7328877,42219,8.26,3343135.88,4320937,42219,60710,0.030749557,0,0.49,3731696,12.04,1.292480221
1108,幸福,2018,M1100,11082018,0,0,0,0,0,404738,4226998,7293497,-197814,5.86,2371764.68,4226998,-197814,0,0.031737215,0,0.78,3330601,-3.02,1.782216438
1108,幸福,2017,M1100,11082017,0,0,0,0,0,404738,4428542,7236852,-101866,6.68,2703649.84,4428542,-101866,0,0.029740099,0,-6.65,3434454,-19.21,1.637986523
1109,信大,2022,M1100,11092022,0,0,0,0,0,341159,9663552,11490026,518737,17.68,6031691.12,9663552,518737,272927,0.018945304,0,-1.81,6388338,-13.42,1.602129785
1109,信大,2021,M1100,11092021,0,0,0,0,0,341958,9853172,11702345,1172377,17.53,5994523.74,9853172,1172377,512936,0.0233964,0,-0.92,7378229,-2.83,1.643695551
1109,信大,2020,M1100,11092020,0,0,0,0,0,341958,9541016,11811053,1425724,21.59,7382873.22,9541016,1425724,512936,0.02424758,0,5.54,7593294,-2.93,1.292317464
1109,信大,2019,M1100,11092019,0,0,0,0,0,341958,8630122,11191294,1439626,14.12,4828446.96,8630122,1439626,376153,0.023127244,0,10.02,7822895,16.74,1.787349446
1109,信大,2018,M1100,11092018,0,0,0,0,0,341958,7690087,10172476,1222069,14.32,4896838.56,7690087,1222069,273566,0.02485357,0,18.6,6701130,24.65,1.570418732
1109,信大,2017,M1100,11092017,0,0,0,0,0,359956,6795076,8576925,708939,11.67,4200686.52,6795076,708939,35995,0.027890891,0,-0.77,5375877,23.69,1.617610828
1110,東泥,2022,M1100,11102022,0,0,0,0,0,572001,8726668,11989689,41631,19.15,10953819.15,8726668,41631,57200,0.015751263,0,9.41,1794015,-2.86,0.796678116
1110,東泥,2021,M1100,11102021,0,0,0,0,0,572001,8710709,10958500,115778,19.48,11142579.48,8710709,115778,114400,0.018989216,0,11.08,1846785,16.08,0.781749775
1110,東泥,2020,M1100,11102020,0,0,0,0,0,572001,8548719,9865320,12863,15.27,8734455.27,8548719,12863,57200,0.009474,0,1.28,1590986,0.38,0.97873522
1110,東泥,2019,M1100,11102019,0,0,0,0,0,572001,8570984,9740348,10103,15.96,9129135.96,8570984,10103,57200,0.010183351,0,5.33,1584940,-5.44,0.938860374
1110,東泥,2018,M1100,11102018,0,0,0,0,0,572001,8512138,9247751,58718,16.25,9295016.25,8512138,58718,57200,0.012515311,0,-1.26,1676187,-2.36,0.915774408
1110,東泥,2017,M1100,11102017,0,0,0,0,0,572001,8579809,9365291,-108408,13.69,7830693.69,8579809,-108408,57200,0.015198126,0,1.71,1716725,16.11,1.095663978
1201,味全,2022,M1200,12012022,0,0,0,0,0,506063,7232656,17608226,455999,20.05,10146563.15,7232656,455999,120442,0.20565391,0.010531206,-1.95,19972832,0.78,0.71281831
1201,味全,2021,M1200,12012021,0,0,0,0,0,506063,7052053,17959094,576643,19.46,9847985.98,7052053,576643,253537,0.20287254,0.011383115,-0.4,19817862,6.26,0.716090885
1201,味全,2020,M1200,12012020,0,0,0,0,0,506063,6855788,18031521,678202,20.1,10171866.3,6855788,678202,268213,0.205154601,0.012287898,-5.58,18650871,-7.8,0.673995096
1201,味全,2019,M1200,12012019,0,0,0,0,0,506063,6943795,19096943,176864,20.31,10278139.53,6943795,176864,675037,0.217668682,0.011642012,-10.1,20228119,4.07,0.675588707
1201,味全,2018,M1200,12012018,0,0,0,0,0,506063,6200442,21242697,104659,28.21,14276037.23,6200442,104659,404850,0.225401524,0.012653496,-35.36,19436763,9.51,0.434325149
1201,味全,2017,M1200,12012017,0,0,0,0,0,506063,7807916,32862642,444045,20.73,10490685.99,7807916,444045,0,0.232328488,0.01382824,-2.97,17749330,3.95,0.744271252
1203,味王,2022,M1200,12032022,0,0,0,0,0,240000,6575579,10000966,779655,44.64,10713600,6575579,779655,264000,0.103569352,0.001242335,4.36,6385557,9.63,0.613759987
1203,味王,2021,M1200,12032021,0,0,0,0,0,240000,6251420,9582739,699389,31.63,7591200,6251420,699389,264000,0.119302717,0.001677128,2.69,5824838,-3.62,0.8235088
1203,味王,2020,M1200,12032020,0,0,0,0,0,240000,6312382,9331602,692673,31.46,7550400,6312382,692673,264000,0.121043069,0.0014051,-0.99,6043700,-4.42,0.836032793
1203,味王,2019,M1200,12032019,0,0,0,0,0,240000,6215574,9425026,711057,25.99,6237600,6215574,711057,240000,0.111740079,0.001401023,4.43,6323237,3.98,0.996468834
1203,味王,2018,M1200,12032018,0,0,0,0,0,240000,5879648,9025005,697733,22.52,5404800,5879648,697733,240000,0.111022621,0.001688365,-1.82,6081031,-1.84,1.08785672
1203,味王,2017,M1200,12032017,0,0,0,0,0,240000,5609073,9192281,743410,20.78,4987200,5609073,743410,312000,0.103683659,0.001266955,6.88,6195171,-2.39,1.124693816
1210,大成,2022,M1200,12102022,0,0,0,0,0,894767,28896226,62341521,1147885,51.78,46331035.26,28896226,1147885,1342150,0.049476984,0.001341488,9.89,113297286,11.69,0.623690488
1210,大成,2021,M1200,12102021,0,0,0,0,0,852159,27739609,56732130,2306606,43.99,37486474.41,27739609,2306606,1704317,0.055679733,0.001363298,9.75,101437842,24.23,0.739989808
1210,大成,2020,M1200,12102020,0,0,0,0,0,827339,27886752,51693036,4117566,49.97,41342129.83,27886752,4117566,2482016,0.066879208,0.00207138,9.29,81650892,4.99,0.67453593
1210,大成,2019,M1200,12102019,0,0,0,0,0,827339,24324519,47300737,3182623,33.87,28021971.93,24324519,3182623,1820145,0.069888993,0.002134808,11.23,77769986,7.35,0.868051651
1210,大成,2018,M1200,12102018,0,0,0,0,0,787942,22222633,42526281,2133268,29.06,22897594.52,22222633,2133268,1575882,0.077246527,0.000605884,4.36,72442933,-4.59,0.970522601
1210,大成,2017,M1200,12102017,0,0,0,0,0,736394,21722937,40747852,2728953,26.36,19411345.84,21722937,2728953,1988264,0.064926131,0.001808089,7.62,75931014,0.18,1.119084538
1213,大飲,2022,M1200,12132022,0,0,0,0,0,56623,365894,1058384,-75809,6.45,365218.35,365894,-75809,0,0.060505601,0,-5.74,393947,-8.04,1.001849989
1213,大飲,2021,M1200,12132021,0,0,0,0,0,56623,441715,1122852,-92898,7.53,426371.19,441715,-92898,0,0.059175036,0,-10.55,428407,4.59,1.035986977
1213,大飲,2020,M1200,12132020,0,0,0,0,0,56623,536146,1255281,-27252,8.88,502812.24,536146,-27252,0,0.049429705,0,-0.85,409612,-5.92,1.066294647
1213,大飲,2019,M1200,12132019,0,0,0,0,0,56623,563407,1266002,-43093,6,339738,563407,-43093,0,0.054553848,0,-7.58,435368,-26.74,1.658357322
6689,伊雲谷,2020,M2331,66892020,1,0.693147181,1,0,0,49224,1619896,3454826,164967,#N/A,#N/A,1619896,164967,112678,0.032590977,0.005822822,5.12,7025288,3.86,#N/A
1213,大飲,2017,M1200,12132017,0,0,0,0,0,56623,696026,864866,1989,14.7,832358.1,696026,1989,0,0.066002383,0,1.6,649522,-3.31,0.8362098
1215,卜蜂,2022,M1200,12152022,0,0,0,0,0,294790,9487764,26393745,1544863,90.73,26746296.7,9487764,1544863,1031765,0.039754006,0,13.88,28959220,16.58,0.354731876
1215,卜蜂,2021,M1200,12152021,0,0,0,0,0,267991,8593007,23177472,1315857,68.33,18311825.03,8593007,1315857,1071963,0.042958986,0,18.58,24841345,11.95,0.469259999
