代號,名稱,FY,Page,Key,LEN,Text
5703,亞都,110,47,5703_110,1015,"
43

(十五)董事及監察人進修情形
職稱
姓名
就任
日期
進修日期
主辦單位
課程名稱
進修
時數
起
迄
法人董事
代表人
周永銘
105/06/20
110/09/01
110/09/01
社團法人中華公
司治理協會
公司法令遵循與
董事的監督義務
3
110/09/01
110/09/01
社團法人中華公
司治理協會
董事會應瞭解之
法律事項-小心
誤觸聯合行為的
紅線暨內線交易
解析
3
董事
林進呈
105/06/20
110/08/27
110/08/27
證券暨期貨市場
發展基金會
企業財務危機預
警與類型分析
3
110/08/27
110/08/27
證券暨期貨市場
發展基金會
董監事背信與特
殊背信罪之成立
實務案例解
3
法人董事
代表人
張素真
105/06/20
110/12/17
110/12/17
證券暨期貨市場
發展基金會
董監事非常規交
易分析與案例探
討
3
110/12/24
110/12/24
證券暨期貨市場
發展基金會
洗錢防制與打擊
資恐實務探討
3
董事
周淑惠
99/06/23
110/11/02
110/11/02
會計研究發展基
金會
企業投資與併購
之法遵稽核實務
6
獨立董事
沙荃
108/06/25
110/09/17
110/09/17
會計研究發展基
金會
企業適用納稅者
權利保護法之法
律責任與實務案
例解析
3
110/09/24
110/09/24
會計研究發展基
金會
獨立董事於公司
致理之角色運作
實務
3
獨立董事
林克武
105/06/20
110/09/01
110/09/01
金融監督管理委
員會
第十三屆台北公
司治理論壇
3
110/09/15
110/09/15
證券暨期貨市場
發展基金會
董事與監察人
(含獨立)暨公司
治理主管實務進
階研討會-薪酬
3
法人監察
人代表人
周淑婷
105/06/20
110/11/02
110/11/02
會計研究發展基
金會
企業投資與併購
之法遵稽核實務
6
監察人
阮呂芳周
103/12/11
110/09/01
110/09/01
中華民國會計師
公會全國聯合會
談公司掏空及洗
錢防制
6
法人董事
代表人
林峻正
99/06/23
110/12/02
110/12/02
會計研究發展基
金會
如何應用機器人
流程自動化
(RPA)提升內部
控制效能
6


"
5876,上海商銀,111,107,5876_111,1365,"105
www.scsb.com.tw
營運概況
3.本行未來研究發展計畫，在服務據點方面，將繼續評估國內外設立服務據點之可行性；在產品方面，將繼續研發
新種商品及加強產品之組合與包裝，並強化數位金融，掌握第三方支付與行動支付之市場商機；在作業方面，將
建置全新核心系統，更新資訊基礎設施，打造關鍵應用平台，並優化資安、風控與法遵；另將持續導入機器人流
程自動化(RPA)，持續擴建資料市集(DataMart)，並強化數據治理，以提升數據運用效能。
(五)長、短期業務發展計畫
1.長期業務發展計畫
(1)持續創造優於同業平均水準之經營績效，創造股東最大價值。
(2)強化國際金融業務，來自海外稅前盈餘比重維持65%以上。
(3)提高授信、外匯與存款業務規模，擴大優質客戶碁盤，維持允當之存放比兼顧充裕之資金流動性。
(4)加強拓展兩岸三地金融業務，善用滬港台“上海銀行”策略聯盟平台，創造差異化競爭優勢。
(5)積極拓展海外服務網點，參與海外參股併購機會，擴大國際金融服務畛域，建構亞洲區域性銀行。
(6)加強資源整合，深耕核心價值客戶關係，開發優質客群，提供完整金融服務解決方案。
(7)運用本行全功能分行客戶基礎優勢，結合通路資源，追求價量質兼顧。
(8)積極研發新種金融商品與服務，拓展財富管理、保險與財務行銷，加強財務操作，提高非利息收入。
(9)加強客戶關係維護，掌握客戶需求，以利獲客及行銷，深耕客戶長期往來關係，推動客戶傳承之家族業務往
來。
(10)加速數位轉型，提高網路銀行、行動銀行與行動支付滲透率，推展普惠金融，提升數位金融競爭力。
(11)強化數位文化，善用智慧科技，建構數位生態圈，優化客戶數位體驗。
(12)善用資本市場，加強資本管理，充實自有資本。
(13)強化風險管理，控制逾期放款比率並穩健提存準備。
(14)更新升級資訊新核心系統，整合提升資訊系統之應用與穩定性，強化資訊安全。
(15)優化資產結構，平衡風險與報酬，提升資本與資金運用效益。
(16)培育優秀人才，厚植人力資本，強化策略與預算執行能力，落實績效目標管理。
(17)強化內部控制與法令遵循，落實三道防線、防制洗錢與打擊資恐作業，嚴控營運風險。
(18)強化當責、誠信、遵法企業文化，提升公司治理，保護金融消費者，善盡企業社會責任。
(19)加強推動ESG永續發展，善盡企業社會責任，妥善因應氣候變遷，打造綠色金融生態系，創造永續新價值。
2.短期業務發展計畫
(1)總體營運：誠信穩健經營，營運管理並重，健全財務業務，創造永續價值。
(2)通路發展：持續布局亞太，善用三行聯盟，連結跨境服務，智慧化全通路。
(3)業務拓展：驅動多元核心，發展永續金融，深耕高端財管，強化家庭金融。
(4)客群經營：落實公平待客，分群分級經營，聚焦優質客群，推動整合行銷。
(5)數位金融：加速數位轉型，跨域跨業融合，建構場景金融，推展普惠金融。
(6)資訊科技：穩定系統維運，升級核心系統，強化資訊運用，精實資安治理。
(7)人力資源：培育多元人才，強化核心職能，儲備主管傳承，厚植人力資本。
(8)內控管理：完善內部控制，力行三道防線，強化法遵文化，優化風控管理。
(9)永續發展：推動環境永續，善盡社會責任，強化公司治理，韌性創新共融。
"
5876,上海商銀,111,110,5876_111,1133,"108
TheShanghaiCommercial&SavingsBank,Ltd.
SCSBAnnualReport2022
五、資訊設備
(一)資訊系統硬體、軟體之配置及維護
本行資訊系統主要硬體設備係採用IBM大型主機，總行與備援中心皆配置IBM2965主機。所使用之系統軟體包
括操作系統IBMz/OS；台幣、外匯、越南分行、新加坡分行及信用卡業務之IBMCICS/TS、IMS/DBCTL及MQ。另相
關之主機、伺服器與端末工作站係委託IBM及國內具規模之資訊專業公司維護。
(二)未來展望
年度內配合業務發展，除了持續進行各項基礎設備之提升與汰舊換新外，亦完成多項關鍵應用系統建置及數位
轉型相關專案，例如：新外匯電文系統建置、財富管理高資產客戶專案、新型結構型商品開發、新財富管理網、防
制洗錢各項表徵專案、LINE官方帳號推出個人化綁定及刷卡通知服務、全方位綜合貸款服務平台-信貸線上申請、智
能理財服務、全球一路通金融網行動APP等。
另為因應數位轉型之發展，本行將依資訊科技之發展規劃，建置全新核心系統，更新資訊基礎設施，打造關鍵
應用平台，作為本行業務成長及永續發展之基礎；同時亦規劃各項法遵科技(RegTech)及購置資安設備，如建置風險
管理決策支援系統、風險管理資料超市等，以期達到優化資安、風控與法遵之目標；另持續導入機器人流程自動化
(RPA)，持續擴建資料市集(DataMart)，以提升作業效率；尤其在金融科技持續發展及新冠疫情之衝擊下，現有消費
與商業模式有重大改變，本行將加強建構數位金融生態圈，持續發展OPENAPI、區塊鏈(BlockChain)等技術，以達
到跨業與跨領域結盟擴展商機之目的。
(三)緊急備援
本行IBM主機系統異地備援採用與主機中心非同步磁碟機遠程拷貝(XRC)機制，透過光纖傳輸方式進行資料即時
備份；資料備援方面，已完成磁碟機同地備援高速切換(Hyperswap)、異地即時備援及磁帶第三地備援機制；並定期
舉行備援演練，透過簡化作業程序及縮減回復作業時間，對客戶資料及服務提供更週全保障。
(四)安全防護措施
本行資訊系統相關實體環境之資訊作業，如：系統存取權限、網路、系統備份、變更管理、門禁、消防、電
力、空調及亂碼化設備作業程序等均依主管機關之安全基準及ISO27001要求辦理，如：防火牆、防毒、郵件過
濾、APT入侵偵測及漏洞修補；定期執行弱點掃描、滲透測試與社交工程演練，並將資訊資產依重要性及影響程度
進行分類，定期辦理電腦系統資訊安全評估，以確保資訊系統之穩定性及安全性。
為維持業務持續運作，系統除同地備援外，並依每半年辦理一次異地備援復原演練程序，以確保備援機制之有
效性。
"
5876,上海商銀,110,6,5876_110,395,"在存匯業務方面，持續優化存款結構，降低資金成本，積極推廣活期性與零售性存款，並加強
與證券商及電支機構之業務合作，推廣分戶帳業務及存款帳戶綁定支付業務；在數位金融方面，持
續推動數位轉型，形塑數位文化，加強培育數位人才，成立跨功能型團隊，規劃設立「FinTech
Space」創新發展基地，以中小企業為核心打造場景金融，升級數位平台，建構新數據分析平台，導
入機器人流程自動化(RPA)與法遵科技(RegTech)，強化智能金融，以及深耕社群媒體，提升數位副
品牌知名度與市場能見度。
除此，為強化資訊科技競爭力，積極規劃升級建置資訊新核心系統，朝「小核心、大中台、敏
前台」發展方向，強化業務發展引擎，更新資訊基礎設施，以滿足業務發展需求，並打造關鍵應用
平台，推動業務營運創新；為因應氣候變遷之風險與機會，建立永續發展治理架構，訂定相關管理
機制，俾符合國際潮流，厚植永續發展競爭力。
"
5876,上海商銀,110,36,5876_110,32,"座談會議
本行總稽核
1.機器人流程自動化(RPA)之管理進程
"
5876,上海商銀,110,90,5876_110,839,"(二)本年度經營計劃
1.存款業務：持續擴大存款規模，加強推廣提升零售性存款，提高流動性覆蓋比率，並提高活期性存款比重，優化
存款結構，降低資金成本。
2.企業金融業務：加強維繫外匯客戶關係，強化外匯競爭優勢；配合政府政策，深耕中小企業；善用滬港台“上海
銀行”策略聯盟平台，強化海外分行功能，拓展國際金融版圖；持續推動危老建物重建及都更相關放款、振興信
保及趨勢產業貸款；配合政府各部會之紓困方案，協助企業取得營運所需資金；優化金流平台以滿足客戶資金管
理需求；積極爭取主辦優良企業聯貸案件；優化風險控管，維持優質授信資產品質；加強推動永續發展，推展
ESG有關之授信。
3.個人金融業務：慎選優質客群及擔保品，推展小規模營業人與特定優質族群貸款，及綠色建築房貸，並優化個人
信貸線上貸款平台；加強交叉銷售，深耕客戶往來關係；以分行優良客戶為目標客群，加強拓展信用卡業務。
4.財富管理業務：持續以客戶需求為導向，創新金融理財產品，增進理財產品多元化，推廣定期定額及數位金融理
財，擴大業務規模；成立「傳富理財中心」加強推動高資產財富管理業務，並善用貴賓理財VVIP中心功能，深
耕VVIP客戶關係。
5.信託業務：掌握市場發展趨勢，並配合政府政策推廣信託2.0，積極辦理高齡者安養信託相關業務，同時以客戶
需求為導向，加強建置資產管理運用及信託規劃等更完整之信託產品與服務。
6.投資業務：積極參與票債券市場，研發新種證券業務，掌握利率波動趨勢，加強利用避險工具，擴大票債券交易
規模；積極培訓交易員，掌握市場趨勢，以及產業發展脈動，加強財務操作與投資高股息股票，並適時長期投資
具發展前景之企業，增進收益來源之多元化。
7.數位金融業務：升級網路銀行及行動銀行，並強化其交易與服務功能，提高其滲透率與交易比重，加強金融科技
之應用；導入機器人流程自動化(RPA)與法遵科技(RegTech)，強化智能金融；善用社群媒體，加強數位行銷，
提升數位副品牌知名度與市場能見度。
"
5876,上海商銀,110,93,5876_110,311,"(3)新種金融商品及服務之研發：「行動銀行掌上銀APP」、「網路銀行、ATM及掌上銀APP之手機門號(或統
編)綁定及轉帳功能」。
3.本行未來研究發展計畫，在服務據點方面，將繼續評估國外設立服務據點之可行性；在產品方面，將繼續研發新
種商品及加強產品之組合與包裝，並強化數位金融，掌握第三方支付與行動支付之市場商機；在作業方面，將建
置全新核心系統，更新資訊基礎設施，打造關鍵應用平台；同時亦將規劃法遵科技(RegTech)，以期達到優化資
安、風控與法遵之目標；另將導入機器人流程自動化(RPA)，持續擴建資料市集(DataMart)，以提升作業效率。
上述各項總投資研發金額預估達新台幣30億元，計劃於五年內執行。
"
5876,上海商銀,110,95,5876_110,728,"93
AnnualReport2021
www.scsb.com.tw
五、資訊設備
(一)資訊系統硬體、軟體之配置及維護
本行資訊系統主要之硬體設備係採用IBM大型主機，除總行配置IBM2965主機外，另於備援中心配置IBM2965備
援主機。所使用之系統軟體包括操作系統IBMz/OS；台幣、外匯、越南分行、新加坡分行及信用卡業務之IBMCICS/
TS、IMS/DBCTL及MQ。另相關之主機、伺服器與端末工作站係委託IBM及國內具規模之資訊專業公司維護。
(二)未來展望
年度內配合業務發展，除了持續進行各項基礎設備之提升與汰舊換新外，亦完成多項關鍵應用系統建置及數位轉型
相關專案，例如：線上信用貸款系統建置、新行動銀行建置專案、新外匯電文系統建置、財富管理高資產客戶專案、
政府振興五倍券、LIBOR退場轉換專案、新型結構型商品開發、法遵風險評估建置專案、新財富管理網、防制洗錢
各項表徵專案、法遵OPENAPI專案、LINE官方帳號推出個人化綁定及刷卡通知服務等。
另為因應數位轉型之發展，本行未來將依資訊科技之發展規劃，建置全新核心系統，更新資訊基礎設施，打造關鍵
應用平台，作為本行業務成長及永續發展之基礎；同時亦將規劃各項法遵科技(RegTech)，如建置風險管理決策支
援系統、風險管理資料超市等，以期達到優化資安、風控與法遵之目標；另將導入機器人流程自動化(RPA)，持續
擴建資料市集(DataMart)，以提升作業效率；尤其在金融科技持續發展及Covid-19之衝擊下，改變現有消費與商
業模式，本行將加強建構數位金融生態圈，持續發展OPENAPI、區塊鏈(BlockChain)等技術，以達到跨業與跨領
域結盟擴展商機之目的。"
5880,合庫金,108,77,5880_108,1381,"持續關注調整銷售結構，期使基金、保險均衡發展，精選具特色、差異化及符合未來投資趨勢之商
品，俾協助客戶做好資產配置規劃暨提高本行理財資產收益率，創造客我之雙贏。
結合客群屬性數據分析結果加以應用，以辨識及發掘潛力目標客群，進而擬定差異化行銷策略，增
加理財客戶數。
積極加強推展家族理財業務，就高資產客戶與臺商回流資金，提供多元理財商品服務，掌握相關商
機趨勢，厚植本行資產管理。
貫徹內控內稽機制，除定期安排教育訓練宣導課程，落實法令遵循與服務品質，督促理財業務人員
落實合規銷售，重視客戶權益保障，另積極建立妥適之管控措施，有效降低重大作業風險事件發生。
（6）數位金融業務
掌握科技趨勢，導入設計思考模式，例如以人工智慧(自然語言處理,NLP)為基礎的i秘書，經營
FBMessenger及LINE官方帳號(@cobank)之社群客戶，打造隨時、隨地、隨身的金融諮詢服務，
吸引社群用戶並與客戶即時互動行銷。
在資料科學方面，利用多元數據來源，剖析客戶特性，為其量身挑選商品，建構細膩個人化體驗，
及輔助業務拓展，強化經營績效。
為達政府2025年行動支付普及率提升至9成的政策，持續積極推動「台灣PayQRCode共通支
付」與收單服務，精進「醫療電子支付」系統，及建置多元化支付通路與收款工具，提供客戶更便
捷之金流服務體驗。
加強金融專利布局，致力發展FinTech技術，規劃建置機器人流程自動化(RoboticProcess
Automation,RPA)應用於業務營運，透過「業務流程辨識、範圍界定、RPA設計/開發/測試」步
驟，整合日益繁多的平臺資料以迅速回應客戶需求，廣增商業創新的各種面向。
強化行員數位能力，持續推動Bank3.0轉型計畫，進行各項電子服務平臺業務宣導及教育訓練，落
實行員線上交易親身體驗，並規劃多元數位轉型課程，增強行員行銷戰力。
3.合庫證券
（1）經紀業務
加強共銷業務，提升目標客戶滲透率。
應用數位平臺工具，強化數位化線上服務，提升線上開戶及交易便利性。
善用集團資源，結合大數據分析客群，擬定差異化行銷策略，提升營運量。
強化風險控管，均衡發展各項業務，開闢多元化收入來源。
（2）承銷業務
加強與合庫銀行及金控子公司間（創投及資產管理）共同行銷策略，針對與銀行往來密切之上市
（櫃）公司，以及金控子公司所推介之公司，評估其最近三年度財務、業務及產業未來發展情形，篩
選TCRI評等適合者為目標客戶，以爭取業務機會。
依客戶需求規劃時靈活運用各項籌資工具，除可轉債及現金增資外，適時將普通公司債納入企業籌
資建議工具之一，爭取具利基之承銷業務以增裕營收。
配合銀行區域中心定期舉辦之業務宣導，並拜訪各區域中心轄下上市櫃企業較多之分行，推廣承銷
業務以利爭取承銷商機。
承銷包銷部位管理策略採於掛牌後成交量較為活絡期間處分主要包銷部位，避免持有過大部位而受
市價波動，對損益產生嚴重影響。
著眼未來長期發展及提供多元服務，持續推展IPO業務，以增裕承銷獲利來源。
（3）自營業務
交易部位方面以運用股票、可轉換公司債、ETF、期貨等操作部位，平衡資產配置，強化各個商品投
資組合，遇系統風險時搭配期、現貨交易策略，強化下檔支撐保護機制，減緩波動度，以獲取穩健
報酬。
75
2019ANNUALREPORT
"
5880,合庫金,110,82,5880_110,1241,"精進社群通路之人工智慧，優化i秘書NLP（自然語言處理）技術，創造良好的社群用戶互動與體
驗，擴大施行機器人流程自動化（RPA），撙節分行的人力成本，打造數位營運的基礎能力。
完善數位金融環境，建置新一代雙語無障礙官方網站並透過UI/UX方式重新打造網路銀行介面，持
續優化ATM、行動網銀APP服務功能，強化客戶接觸點體驗。
致力發展FinTech技術，運用數據驅動業務行銷決策，以資料科學建構數據分析專案，進行多階變
數分析，助益差異化的通路行銷專案推展，靈活經營目標客群。
積極推動「台灣PayQRCode共通支付」與收單服務，精進「醫療電子支付」系統及發展多元化支
付通路與收款工具，提供客戶更便捷之金流服務體驗，並善用「金庫幣」平台搶攻點數經濟，藉以
提升數位服務使用率及消費者黏著度。
3.合庫證券
（1）經紀業務
加強共銷業務，提升高資產客戶現貨及複委託業務滲透率。
優化電子交易平臺功能，導入智慧下單功能，提供客戶穩定、便捷、多元之電子交易系統。
發展複委託、定期定額買股等多元商品，增加多元化收入。
推廣線上開戶（信用、複委託），作業流程e化，以提升客戶便利性及增加黏著度。
（2）承銷業務
強化與合庫銀行及金控子公司間共同行銷策略，針對與銀行往來密切之上市（櫃）公司，及金控子
公司所推介之公司，評估其最近三年度財務、業務及產業未來發展情形，篩選TCRI評等適合者為目
標客戶，積極爭取業務機會。
規劃客戶需求時靈活運用各項籌資工具，除轉換公司債及現金增資外，適時將普通公司債納入企業
籌資建議工具之一，爭取具利基之承銷業務以增裕營收。
配合銀行區域中心定期舉辦之業務宣導，並拜訪各區域中心轄下上市櫃企業較多之分行，推廣承銷
業務俾利爭取商機。
承銷包銷部位管理策略採於掛牌後成交量較為活絡期間處分主要包銷部位，避免持有過大部位而受
市價波動，對損益產生嚴重影響。
著眼未來長期發展及提供多元服務，持續推廣IPO業務，以增裕承銷獲利來源。
（3）自營業務
建立多元交易平臺，以提升整體競爭力。
整合現貨及期貨資源，選擇最有利之投資方案，於適當風險下，追求最大獲利。
（4）債券業務
從事固定收益證券、利率、外匯、信用與商品等相關衍生性產品之交易，加強外幣利率期貨與外幣
匯率期貨等衍生性商品操作，兼具交易與避險功能。
提供流通債券雙向報價，掌握投資雙方買賣意願，建立交易平臺提高成交機率獲取資本利得。
（5）新金融商品業務
積極運用不同衍生性商品，建構不同風險報酬屬性之交易策略，於多空市場中追求穩定絕對報酬。
布建多空平臺雙邊操作，並運用衍生性商品作為避險工具。
進行跨市場、跨商品資產配置，多元化交易策略分散風險。
強化造市系統，穩定雙邊報價，提升造市品質。
4.合庫資產管理
（1）不良債權催理
針對重大債權案件（重大收益及收回金額）專案檢討並控管回收時程。
對已拍定尚未分配案件，積極聯繫法院儘速分配及領回案款。
80
2021ANNUALREPORT
"
