Mkey,Key,YEAR,Trade,Industry,RPA,POST_RPA,POST,BIG4,SEO,INST,SG,CYCLE,CL,ZSCORE,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,NOA,Code,YICounts,Year.y,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF.y,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD,DA,DA1,DA2,ABCFO,ABPROD,ABEXP,AC,A1,A21,A2,A3,A4,A6,ROA,Median_ROA,ADJROA,CFO,R1,R2,R3,R4,R5
13262017,13032017,2017,TSE,M1300,1,0,0,1,0,0.7604,0.100756274,89.06,0.146453564,3.87779399,0.7767,0.26700499,20.11459103,0.735316219,0.325052252,0.075616079,1.359959123,4.17438727,56.82,0,0.032223625,0.789827988,1303,24,2017,367219759,544071389,132901898,53974776,48713023,53939540,37412822,82671327,73225479,41140545,306139952,56120375,537184804,275294431,47763430,299781414,0.037449879,0.48689228,0.08211376,0.080566344,0.018490526,0.006263746,-0.01789,-0.000925714,0.023891649,1.86E-09,0.057420688,0.041863761,0.247404426,0.100477109,0.076585459,0.100477109,0.061792311,0.038684798,0.076585459,1.86E-09,0.569896895,0.057420688,-0.045583909,0.512476207
13262018,13032018,2018,TSE,M1300,1,0,0,1,0,0.7767,0.080830727,87.62,0.143431199,3.722016832,0.7931,0.263084926,20.16158427,0.809440516,0.321516112,0.097428984,1.235421233,4.17438727,59.74,0,0.030810301,0.813476057,1303,24,2018,386904992,570249344,140907261,52658851,53974776,52566367,53939540,81101843,82671327,55558814,333061560,48246064,544071389,306139952,56120375,275294431,0.036103372,0.537363248,0.009348199,0.008379475,0.005775543,0.045878385,-0.011203865,-0.009049851,-0.005330115,1.84E-09,0.049481757,0.063954694,0.258986714,0.096786657,0.102116772,0.096786657,0.026557275,0.070229383,0.102116772,1.84E-09,0.61216518,0.049481757,0.056693885,0.562683424
13262019,13032019,2019,TSE,M1300,1,0,0,1,0,0.7931,-0.163318203,90.33,0.150566721,3.164502542,0.7871,0.265220408,20.13389955,0.847363987,0.358960938,0.094287657,1.180130399,4.17438727,59.24,0,0.033745871,0.769009221,1303,25,2019,355570700,554678679,156095364,23209523,52658851,22874076,52566367,44854100,81101843,52299353,286303059,44063533,570249344,333061560,48246064,306139952,0.032006774,0.439631731,-0.022567759,-0.021171454,-0.021928643,0.042574969,-0.005301061,-0.012318937,-0.051012474,1.75E-09,-0.081996589,-0.074662024,0.273731773,0.040700657,0.091713131,0.040700657,0.038767402,0.001933255,0.091713131,1.75E-09,0.502066442,-0.081996589,0.047210239,0.584063031
13262020,13032020,2020,TSE,M1300,1,0,0,1,0,0.7871,-0.047371768,98.64,0.20503644,2.838144259,0.7729,0.291729566,20.18663057,0.638122457,0.390150593,0.071203506,1.567097332,4.17438727,60.94,0,0.034735693,0.80818979,1303,25,2020,356586478,584712347,173463751,26888091,23209523,27075070,22874076,48531535,44854100,41633569,273353806,52051383,554678679,286303059,44063533,333061560,0.033128744,0.420687192,-0.018123343,-0.018515796,0.023262384,-0.032417327,0.043688835,-0.010019854,-0.02658382,1.80E-09,-0.023345503,-0.037746363,0.312728355,0.048475076,0.075058895,0.048475076,0.039728756,0.00874632,0.075058895,1.80E-09,0.492814699,-0.023345503,-0.084298356,0.516160202
13262021,13032021,2021,TSE,M1300,1,1,1,1,0,0.7729,0.335988665,100.76,0.170449923,3.654432186,0.7936,0.29989061,20.32083919,0.747615367,0.358839946,0.117955514,1.337586203,4.17438727,61,0,0.031422189,0.845395611,1303,25,2021,428740770,668695386,184787735,84832825,26888091,85115251,27075070,124755842,48531535,78876308,411670391,62127981,584712347,273353806,52051383,286303059,0.039070952,0.554520497,-0.023657748,-0.023898113,-0.038558544,0.109834591,-0.063239809,-0.007928473,0.010187089,1.71E-09,0.236554924,0.219321497,0.316031868,0.145084716,0.134897627,0.145084716,0.065325152,0.079759564,0.134897627,1.71E-09,0.704056265,0.236554924,-0.022146365,0.46750134
13262022,13032022,2022,TSE,M1300,1,1,1,1,0,0.7936,-0.15903645,83.23,0.256364189,2.678705113,0.7987,0.278420491,20.31577291,0.685412154,0.407647888,0.113173766,1.458976171,4.17438727,59.09,0,0.03420203,0.71636255,1303,25,2022,394101430,665316156,211967022,38484719,84832825,37659764,85115251,70410418,124755842,75296335,355183300,50583345,668695386,411670391,62127981,273353806,0.032718277,0.443692921,0.006695408,0.006212199,0.026839981,0.03781308,-0.025053142,-0.011775727,-0.055049903,1.50E-09,-0.084473577,-0.06720916,0.31698592,0.057551943,0.112601846,0.057551943,0.002687803,0.05486414,0.112601846,1.50E-09,0.531158592,-0.084473577,0.206845431,0.615632169
13142017,13042017,2017,TSE,M1300,1,0,0,1,0,0.5178,0.086557796,75.46,0.199759663,1.956215142,0.5535,0.050702474,17.98052871,2.740076344,0.459444986,0.067263922,0.364953335,4.060443011,59.42,0.006690067,0.035057815,0.733347813,1304,24,2017,34808419,64393851,23758495,2712050,2357701,2703828,2388934,5670078,5092772,4331383,58133943,8068099,61995475,53101997,7050070,52373585,0.06047643,0.82579185,-0.027678175,-0.027792024,-0.011249036,-0.005130775,0.005772641,0.007342437,-0.026120181,1.61E-08,0.081166343,0.064745322,0.383229502,0.043745935,0.069866115,0.043745935,0.061792311,-0.018046376,0.069866115,1.61E-08,0.93771268,0.081166343,0.011749438,0.856546337
13142018,13042018,2018,TSE,M1300,1,0,0,1,0,0.5535,0.045302285,68.86,0.212372279,1.682807403,0.5078,0.048098923,18.04948717,3.234816531,0.471602254,0.0321796,0.309136543,4.060443011,62,0.006923675,0.033633478,0.803000134,1304,24,2018,36454709,68991038,23825239,1868349,2712050,1488759,2703828,4819121,5670078,2220104,60892513,8548733,64393851,58133943,8068099,53101997,0.059973754,0.853235552,0.009763991,0.01242713,0.012894904,-0.034355295,0.002434698,0.00369885,-0.005462556,1.55E-08,0.042839028,0.035375055,0.369992455,0.029014401,0.034476957,0.029014401,0.026557275,0.002457126,0.034476957,1.55E-08,0.945626206,0.042839028,0.078143269,0.902787178
13142019,13042019,2019,TSE,M1300,1,0,0,1,0,0.5078,-0.094072558,70.35,0.176888246,1.664561626,0.4701,0.051558316,18.08416951,3.253310382,0.451501353,0.085018217,0.307379218,4.060443011,65.5,0.007475878,0.036699544,0.787719515,1304,25,2019,39176947,71425786,23228911,2541226,1868349,2270814,1488759,5883108,4819121,6072493,55656741,7045512,68991038,60892513,8548733,58133943,0.055088836,0.683288371,-0.01169961,-0.012640233,-0.013614834,0.003630734,-0.025349946,0.002828071,-0.051184431,1.45E-08,-0.075890611,-0.054101969,0.336694615,0.036834146,0.088018577,0.036834146,0.038767402,-0.001933255,0.088018577,1.45E-08,0.806724215,-0.075890611,0.039984469,0.882614826
13142020,13042020,2020,TSE,M1300,1,1,1,1,0,0.4701,-0.108671906,71.55,0.164292344,1.94399122,0.4781,0.053575971,18.16352162,1.288083249,0.369881048,0.139874409,0.776347337,4.060443011,70.05,0.007230115,0.040249019,0.798785917,1304,25,2020,48723643,77324516,23169313,5682637,2541226,5344689,2270814,9697886,5883108,10815721,50201273,7481916,71425786,55656741,7045512,60892513,0.050308022,0.547394928,-0.061737525,-0.061905095,-0.05149883,0.018782735,0.002682463,0.000604627,-0.071865978,0.000000014,-0.07637953,-0.082489425,0.324383032,0.079560021,0.151425999,0.079560021,0.039728756,0.039831265,0.151425999,0.000000014,0.70284523,-0.07637953,-0.073303667,0.779224761
