Code,Key,Industry,YICounts,Year,Equity,Asset,PPE,NI_Ctd,NI_Ctd_1,NI,NI_1,EBITDA,EBITDA_1,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1201,12012022,M1200,29,2022,7232656,17608226,9093780,241083,507826,455999,576643,1539119,1936466,848680,19972832,2525151,17959094,19817862,2628999,18650871,5163869,14642952
1203,12032022,M1200,29,2022,6575579,10000966,2961880,889374,697030,779655,699389,1280247,1070745,184910,6385557,493355,9582739,5824838,463708,6043700,992023,5197706
1210,12102022,M1200,29,2022,28896226,62341521,22235611,2850126,2262023,1147885,2306606,6036074,5104355,2340094,113297286,8507643,56732130,101437842,7534571,81650892,8300566,104663898
1215,12152022,M1200,29,2022,9487764,26393745,13789365,1550174,1313657,1544863,1315857,3035680,2534208,1402518,28959220,3211035,23177472,24841345,2846531,22189635,1894607,25853292
1216,12162022,M1200,29,2022,192194954,551399914,125862298,26525917,28796395,26297163,27718528,72240209,71576870,62772368,524831664,21915791,514039630,473501669,20668592,447319979,138633361,363506798
1217,12172022,M1200,29,2022,7517472,13755189,2449187,287793,217167,130615,210361,553429,543458,128573,4800625,728909,13836774,4710880,664786,4614486,1265682,3526208
1218,12182022,M1200,29,2022,12567859,16654604,1988740,5918572,592011,-285606,581097,6344950,751764,-430901,11069440,1482855,10638276,9944978,1385063,8356125,1837971,10482368
1219,12192022,M1200,29,2022,4433806,10275495,3728725,305533,281356,307401,295079,719514,674031,-246026,16999408,1964234,9150195,14778782,1833277,12324165,1144381,16216876
1220,12202022,M1200,29,2022,2434031,3202925,1190394,71606,208240,72368,193481,169871,319606,-103425,3537556,775876,3291690,3219386,725783,2775071,246681,3373657
1225,12252022,M1200,29,2022,3852374,9441163,3286771,347147,486847,347147,486847,654427,752831,-537,15274361,2081374,9109168,13103954,1931095,10213493,638921,14617512
1227,12272022,M1200,29,2022,17853740,27929413,4282791,1244108,2501106,1317280,2564015,2336946,3885055,1870846,28922800,4980126,28289140,34307044,5728649,34466244,4915721,22521833
1229,12292022,M1200,29,2022,53432123,69909548,4524144,4839212,4744105,4840308,4744160,5458412,5261373,3640573,12326365,1986588,71670249,11322814,1992508,9544161,1138131,9661103
1231,12312022,M1200,29,2022,5171248,10518025,4564570,870986,813681,958044,778335,1390872,1309232,776644,10772839,2250080,9208709,9517892,2089376,8817321,1324260,8529830
1232,12322022,M1200,29,2022,5271072,7393401,823356,1267799,1273922,1156882,1238735,1816508,1796050,324841,24676960,1403584,7003498,20477990,1071165,17440979,929712,23310710
1233,12332022,M1200,29,2022,1489549,2353960,884271,51592,43429,51623,17198,223761,221583,202066,1835662,222855,2309476,1773001,248207,1906194,1008251,831503
1234,12342022,M1200,29,2022,18345327,22759247,5938938,886135,796809,883293,795714,1460262,1365879,813242,9558497,788957,22788396,9222874,737508,9204945,2083947,7114738
1235,12352022,M1200,29,2022,1697508,3605307,172143,195633,82080,195624,81793,235543,100377,-37633,63027,6232,4677445,41090,3466,78579,14833,37238
1236,12362022,M1200,29,2022,2932606,4122836,1811357,424156,-27357,-29486,-27478,666457,153076,151410,2108653,448542,3456496,1755115,370941,1637280,564358,1520413
1256,12562022,M1200,29,2022,4100050,4673081,1905660,464692,705291,468455,717313,852225,1209359,316626,4101393,354027,4821556,4581970,280080,3479683,616066,2939770
1259,12592022,M2700,44,2022,2005546,5324339,539135,117951,88945,157481,77237,901237,847172,1028016,5725450,132303,5286602,5034182,114261,5342094,1332309,4286699
1264,12642022,M1200,29,2022,3641232,4706617,1510369,731162,721920,734676,722642,1035477,1033094,611565,5340996,1097234,4262500,4948371,1015819,4375430,877891,3697338
1268,12682022,M2700,44,2022,1850455,6281228,1056774,130052,75343,131004,83546,540905,475553,603988,3756874,206538,4662620,2929855,168987,3459267,1497629,2253633
1301,13012022,M1300,25,2022,357684863,511254407,107315483,36142868,71355311,35919340,71433319,53287713,95091633,56801615,251647354,15853065,543678922,273598301,25604440,185813405,15759527,206974836
1303,13032022,M1300,25,2022,394101430,665316156,211967022,38484719,84832825,37659764,85115251,70410418,124755842,75296335,355183300,50583345,668695386,411670391,62127981,273353806,21878561,296695409
1304,13042022,M1300,25,2022,50924885,77741569,25520104,-61189,10079451,55390,9807075,3322096,15255459,9749787,66437122,7939581,84825213,71755542,9391222,50201273,5204155,55096787
1305,13052022,M1300,25,2022,10041228,16683779,8447505,-337717,2631418,-399256,2681983,225081,4017358,816378,17637479,1421840,16975315,20221524,2043000,13733148,1662631,16419117
1307,13072022,M1300,25,2022,8482298,15400050,4886692,470114,115933,562999,119168,1382787,950265,1579109,10763499,1377320,14740117,8384007,1275542,8441756,1440771,8663724
1308,13082022,M1300,25,2022,14216958,16390069,3363478,1447369,3101127,1497351,2974177,2133289,4073393,3622699,9815332,1070835,18978546,9565813,1419309,5703546,285964,6539218
1309,13092022,M1300,25,2022,7206214,9240876,1960833,412078,1849932,428234,1849407,759837,2614108,1102890,18083799,1642328,10744659,20771165,2468514,15498381,1534668,16088933
1310,13102022,M1300,25,2022,6722246,8912648,3650870,-332128,105239,-412899,103102,-92763,247316,-8880,12853960,975107,9299190,11714016,917966,8113225,210322,12922974
1312,13122022,M1300,25,2022,36107841,60371545,18822036,-454388,6076588,-456334,6078852,1311568,8715173,2154072,18176626,1880614,48912979,22547353,2452342,16575784,1658353,16618798
