代號,名稱,Key,RPA_Count,FY,,上傳日期,Page
1103,嘉泥,11032022,1,111,2022,112/05/11,35
1303,南亞,13032021,1,110,2021,0111/05/20,182
1304,台聚,13042020,1,109,2020,0110/05/25,191
1313,聯成,13132019,1,108,2019,109/05/22,5
1313,聯成,13132020,1,109,2020,0110/05/24,6
1313,聯成,13132022,1,111,2022,112/05/05,5
1402,遠東新,14022019,1,108,2019,109/06/12,7
1454,台富,14542021,1,110,2021,0111/06/08,36
1460,宏遠,14602017,1,106,2017,0107/05/28,6
1460,宏遠,14602018,1,107,2018,0108/06/06,34
1460,宏遠,14602019,1,108,2019,109/05/29,38
1466,聚隆,14662020,1,109,2020,0110/06/04,6
1466,聚隆,14662021,1,110,2021,0111/06/06,6
1466,聚隆,14662022,1,111,2022,112/05/24,6
1473,台南,14732022,1,111,2022,112/05/29,5
1473,台南,14732021,1,110,2021,0111/05/31,72
1474,弘裕,14742022,1,111,2022,112/06/06,65
1504,東元,15042022,1,111,2022,112/05/04,70
1532,勤美,15322019,2,108,2019,109/06/05,"53, 54"
1560,中砂,15602020,1,109,2020,0110/06/07,12
1718,中纖,17182022,2,111,2022,112/05/19,98
1718,中纖,17182020,4,109,2020,0110/05/17,"78, 96"
1718,中纖,17182021,4,110,2021,0111/05/26,"82, 102"
1734,杏輝,17342019,1,108,2019,109/05/08,5
1734,杏輝,17342020,1,109,2020,0110/06/04,65
1734,杏輝,17342021,2,110,2021,0111/06/13,72
1734,杏輝,17342022,1,111,2022,112/06/01,73
1784,訊聯,17842021,1,110,2021,0111/06/14,95
1784,訊聯,17842020,2,109,2020,0110/06/15,"59, 91"
1904,正隆,19042022,1,111,2022,112/05/08,4
2049,上銀,20492021,1,110,2021,0111/06/08,71
2201,裕隆,22012022,1,111,2022,112/05/12,82
2337,旺宏,23372022,1,111,2022,112/05/05,44
2340,台亞,23402022,1,111,2022,112/06/01,79
2345,智邦,23452018,1,107,2018,0108/05/28,44
2414,精技,24142021,9,110,2021,0111/05/31,"47, 53, 54"
2425,承啟,24252020,1,109,2020,0110/05/26,58
2425,承啟,24252021,6,110,2021,0111/05/26,59
2454,聯發科,24542020,1,109,2020,0110/05/24,41
2464,盟立,24642018,1,107,2018,0108/05/29,10
2464,盟立,24642019,1,108,2019,109/05/26,11
2464,盟立,24642022,1,111,2022,112/05/11,75
2464,盟立,24642020,13,109,2020,0110/05/25,"52, 58, 63, 68"
2464,盟立,24642021,13,110,2021,0111/05/20,"61, 68, 73, 77"
2468,華經,24682022,1,111,2022,112/05/31,8
2480,敦陽科,24802018,4,107,2018,0108/05/14,"7, 75, 90"
2480,敦陽科,24802019,4,108,2019,109/05/11,"7, 92, 107"
2480,敦陽科,24802020,4,109,2020,0110/05/11,"7, 96, 108"
2489,瑞軒,24892021,2,110,2021,0111/06/06,"49, 56"
2515,中工,25152020,1,109,2020,0110/05/28,140
2607,榮運,26072020,1,109,2020,0110/05/21,60
2609,陽明,26092019,1,108,2019,109/05/28,8
2609,陽明,26092020,4,109,2020,0110/05/05,"8, 85"
2609,陽明,26092021,2,110,2021,0111/05/06,"8, 94"
2609,陽明,26092018,1,107,2018,0108/05/29,8
2618,長榮航,26182019,1,108,2019,109/05/05,93
2801,彰銀,28012022,4,111,2022,112/05/16,"9, 66"
2812,台中銀,28122019,2,108,2019,109/06/09,77
2812,台中銀,28122020,5,109,2020,0110/05/11,"6, 83, 93"
2812,台中銀,28122021,5,110,2021,0111/04/28,"68, 93, 104"
2812,台中銀,28122022,4,111,2022,112/04/26,"80, 97, 106"
2834,臺企銀,28342022,1,111,2022,112/05/25,9
