Test,代號,名稱,FY,Page
,1103,嘉泥,111,35
,1303,南亞,110,182
,1304,台聚,109,191
,1313,聯成,108,5
,1313,聯成,109,6
,1313,聯成,111,5
,1402,遠東新,108,7
,1454,台富,110,36
,1460,宏遠,106,6
,1460,宏遠,107,34
,1460,宏遠,108,38
,1466,聚隆,109,6
,1466,聚隆,110,6
,1466,聚隆,111,6
,1473,台南,111,5
,1473,台南,110,72
,1474,弘裕,111,65
,1504,東元,111,70
,1532,勤美,108,53
,1532,勤美,108,54
,1560,中砂,109,12
,1718,中纖,111,98
,1718,中纖,109,78
,1718,中纖,109,96
,1718,中纖,110,82
,1718,中纖,110,102
,1734,杏輝,108,5
,1734,杏輝,109,65
,1734,杏輝,110,72
,1734,杏輝,111,73
,1784,訊聯,110,95
,1784,訊聯,109,59
,1784,訊聯,109,91
,1904,正隆,111,4
,2049,上銀,110,71
,2201,裕隆,111,82
,2337,旺宏,111,44
,2340,台亞,111,79
,2345,智邦,107,44
,2414,精技,110,47
,2414,精技,110,53
,2414,精技,110,54
,2425,承啟,109,58
,2425,承啟,110,59
,2454,聯發科,109,41
,2464,盟立,107,10
,2464,盟立,108,11
,2464,盟立,111,75
,2464,盟立,109,52
,2464,盟立,109,58
,2464,盟立,109,63
,2464,盟立,109,68
,2464,盟立,110,61
,2464,盟立,110,68
,2464,盟立,110,73
,2464,盟立,110,77
,2468,華經,111,8
,2480,敦陽科,107,7
,2480,敦陽科,107,75
,2480,敦陽科,107,90
,2480,敦陽科,108,7
,2480,敦陽科,108,92
,2480,敦陽科,108,107
,2480,敦陽科,109,7
,2480,敦陽科,109,96
,2480,敦陽科,109,108
,2489,瑞軒,110,49
,2489,瑞軒,110,56
,2515,中工,109,140
,2607,榮運,109,60
,2609,陽明,108,8
,2609,陽明,109,8
,2609,陽明,109,85
,2609,陽明,110,8
,2609,陽明,110,94
,2609,陽明,107,8
,2618,長榮航,108,93
,2801,彰銀,111,9
,2801,彰銀,111,66
,2812,台中銀,108,77
,2812,台中銀,109,6
,2812,台中銀,109,83
,2812,台中銀,109,93
,2812,台中銀,110,68
,2812,台中銀,110,93
,2812,台中銀,110,104
,2812,台中銀,111,80
,2812,台中銀,111,97
,2812,台中銀,111,106
,2834,臺企銀,111,9
,2834,臺企銀,110,96
,2834,臺企銀,109,90
,2834,臺企銀,109,97
,2834,臺企銀,109,101
,2855,統一證,110,56
,2855,統一證,110,111
,2855,統一證,109,90
,2855,統一證,109,91
,2855,統一證,109,109
,2880,華南金,108,61
,2880,華南金,108,93
,2880,華南金,109,62
,2880,華南金,109,91
,2880,華南金,109,92
,2880,華南金,109,93
,2880,華南金,111,66
,2880,華南金,111,79
,2880,華南金,111,98
,2880,華南金,111,101
,2880,華南金,110,67
,2880,華南金,110,98
,2880,華南金,110,99
,2880,華南金,110,101
,2881,富邦金,109,171
,2881,富邦金,109,177
,2881,富邦金,109,179
,2881,富邦金,109,216
,2881,富邦金,111,10
,2881,富邦金,111,181
,2881,富邦金,111,187
,2881,富邦金,111,197
,2881,富邦金,111,198
,2881,富邦金,111,252
,2881,富邦金,108,200
,2881,富邦金,110,193
,2881,富邦金,110,195
,2881,富邦金,110,198
,2881,富邦金,110,205
,2881,富邦金,110,206
,2881,富邦金,110,259
,2882,國泰金,107,122
,2882,國泰金,108,136
,2882,國泰金,110,190
,2882,國泰金,110,200
,2882,國泰金,111,219
,2882,國泰金,111,230
,2882,國泰金,109,69
,2882,國泰金,109,180
,2883,開發金,111,172
,2883,開發金,108,174
,2883,開發金,108,175
,2883,開發金,110,181
,2883,開發金,110,182
,2884,玉山金,111,75
,2884,玉山金,110,79
,2885,元大金,111,164
,2885,元大金,111,169
,2885,元大金,111,175
,2885,元大金,111,197
,2885,元大金,111,199
,2885,元大金,111,204
,2885,元大金,111,212
,2885,元大金,111,235
,2886,兆豐金,106,70
,2886,兆豐金,110,90
,2886,兆豐金,111,10
,2886,兆豐金,111,93
,2886,兆豐金,109,80
,2886,兆豐金,109,83
,2886,兆豐金,109,87
,2887,台新金,109,90
,2887,台新金,110,90
,2887,台新金,111,90
,2888,新光金,108,7
,2888,新光金,108,121
,2888,新光金,108,126
,2888,新光金,108,127
,2888,新光金,108,156
,2888,新光金,108,178
,2888,新光金,108,181
,2888,新光金,109,8
,2888,新光金,109,77
,2888,新光金,109,78
,2888,新光金,109,136
,2888,新光金,109,139
,2888,新光金,109,141
,2888,新光金,109,142
,2888,新光金,109,162
,2888,新光金,109,166
,2888,新光金,109,172
,2888,新光金,109,193
,2888,新光金,109,195
,2888,新光金,109,198
,2888,新光金,110,85
,2888,新光金,110,146
,2888,新光金,110,147
,2888,新光金,110,149
,2888,新光金,110,150
,2888,新光金,110,151
