,CFO,A1,A2,A3,ABCFO
1,0.013993029,2.26E-09,0.258,0.015595415,-0.037208673
2,0.048283671,3.15E-09,0.287,-0.00918476,-0.003196362
3,-0.009735649,2.48E-08,0.056,0.000829986,-0.051335923
4,0.040366346,3.98E-08,0.281,0.038916561,-0.011363512
5,0.080166159,1.24E-07,0.516,0.047282357,0.021268747
6,0.127654585,8.55E-08,0.546,-0.084589114,0.070953437
7,-0.025244148,9.13E-08,0.164,-0.00481544,-0.068870529
8,0.047256281,5.57E-08,1.11,0.008629054,-0.037006391
9,0.019296153,1.04E-07,0.666,0.058513438,-0.046849508
10,0.041248125,1.76E-08,2,0.209042812,-0.088116268
11,0.008724213,8.91E-07,0.351,-0.030689708,-0.014975874
12,0.060512121,4.31E-08,1.25,0.177667133,-0.035985182
13,0.122115814,1.95E-09,1.02,0.099856104,0.036501959
14,0.009292123,7.23E-08,0.347,0.006485977,-0.04291093
15,-0.040504777,9.40E-08,1.04,0.105699645,-0.124077788
16,-0.026887514,1.09E-07,1.86,0.242686194,-0.148636738
17,-0.03142003,3.04E-07,1.07,0.096658555,-0.108893069
18,-5.90E-05,1.10E-07,1.68,0.238266217,-0.114202351
19,0.066133011,3.53E-08,1.02,-0.19032901,-0.007986144
20,0.050796154,1.40E-08,0.172,0.014002337,0.003585878
21,0.084337989,1.09E-07,1.17,0.136278277,-0.005182882
22,0.046382679,1.43E-07,3.1891,0.599553252,-0.141744605
23,0.087494306,4.33E-07,0.795,0.027132129,0.028143534
24,0.035686671,4.39E-08,0.419,0.014727803,-0.020725295
25,-0.008045632,2.14E-07,0.0135,0.004689954,-0.041715665
26,0.043804477,2.89E-07,0.61,0.102282196,-0.015422808
27,-0.04359651,4.69E-07,1.58,0.174089164,-0.139337272
28,0.065668842,2.07E-07,0.851,-0.099672595,0.001001164
29,0.194456855,1.89E-07,1.08,0.130758472,0.111511968
30,0.14347566,2.35E-07,1.25,0.092111437,0.0564469
31,0.129538328,2.14E-07,0.806,0.177372164,0.057046979
32,0.104476397,1.84E-09,0.463,-0.040374835,0.046818819
33,0.112601846,1.50E-09,0.531,-0.084473577,0.053709523
34,0.114939729,1.18E-08,0.783,-0.062698575,0.045232257
35,0.048092068,5.89E-08,1.04,-0.152223685,-0.02742604
36,0.107130018,6.78E-08,0.73,0.161429655,0.033457634
37,0.190883906,5.27E-08,0.517,0.013147424,0.130785617
38,0.102645417,9.31E-08,1.68,-0.2501118,0.005408987
39,-0.000954922,1.08E-07,1.38,0.1225853,-0.098669419
40,0.044038863,2.04E-08,0.372,-0.089357203,-0.007498298
41,0.012519619,1.86E-08,1.35,-0.169657284,-0.076489682
42,-0.068123926,7.39E-09,0.185,-0.074944446,-0.112908419
43,0.041261889,7.84E-08,0.209,0.022772739,-0.005635775
44,-0.054490973,9.43E-08,0.22,0.122259521,-0.10486985
45,0.162299326,2.90E-08,0.618,0.084238598,0.094706156
46,0.004340309,7.70E-08,0.501,0.001217471,-0.053860725
47,0.122939008,1.75E-07,0.655,-0.007891788,0.061992841
