,TAC,A1,A2,A3,DA
1,-0.007293005,3.75E-09,0.00514,0.354731887,0.019358539
2,0.001433805,3.67E-09,0.0563,0.334219296,0.024111499
3,-0.010224868,2.91E-09,-0.0115,0.261218269,0.008961199
4,-0.008441156,2.72E-09,-0.02,0.250648673,0.010182946
5,0.00266101,2.57E-09,-0.0101,0.252103876,0.020989603
6,-0.004391017,2.26E-09,0.0175,0.259778117,0.013430324
7,-0.005964062,4.19E-09,0.021,0.225347679,0.008707023
8,0.014965289,4.05E-09,0.0447,0.212694958,0.027519765
9,-0.050551747,3.58E-09,0.0373,0.181531016,-0.040406851
10,-0.002861281,3.36E-09,-0.0319,0.177679213,0.009896342
11,0.028168715,3.37E-09,0.0546,0.139459997,0.033898893
12,-0.008362537,3.15E-09,-0.00781,0.125516206,-0.001190959
13,0.020266943,3.83E-08,-0.0335,0.109163728,0.027243485
14,0.027843692,3.53E-08,-0.0036,0.122449527,0.0346948
15,0.025508312,3.13E-08,-0.0042,0.20432845,0.039523896
16,0.032122637,2.58E-08,0.0037,0.160003398,0.041906662
17,0.023411329,2.46E-08,0.0048,0.12995307,0.030517717
18,0.00598564,2.48E-08,0.000111,0.120464993,0.012463791
19,0.035008183,4.91E-08,-0.00871,0.290104609,0.056782097
20,0.019894251,4.71E-08,0.00805,0.285016615,0.040500972
21,0.016742335,4.43E-08,0.0074,0.273772608,0.036383123
22,0.010190294,4.27E-08,0.0121,0.28544954,0.030644914
23,-0.010678045,4.15E-08,0.0167,0.285886168,0.009613712
24,0.042083612,3.98E-08,0.0261,0.315240631,0.064533238
25,-0.02533422,1.29E-07,-0.0821,0.212645002,-0.006884933
26,-0.03793626,1.38E-07,-0.014,0.259239929,-0.018282306
27,-0.02958748,1.37E-07,0.0116,0.234703051,-0.013173285
28,-0.054786493,1.36E-07,0.0872,0.303441714,-0.035591288
29,0.022393496,1.25E-07,-0.0515,0.286775378,0.045998589
30,-0.006567258,1.24E-07,0.0123,0.375979114,0.022111953
31,0.014187369,1.16E-07,0.0525,0.404821728,0.04363893
32,0.025225324,1.17E-07,-0.00843,0.385556595,0.055594581
33,-0.060735783,9.83E-08,0.118,0.304070808,-0.042949306
34,-0.059161279,8.94E-08,0.02,0.261690739,-0.04093548
35,0.005005749,8.47E-08,-0.00691,0.232361755,0.021797399
36,-0.084953681,8.55E-08,-0.00821,0.235443665,-0.067834194
37,0.023385499,1.09E-07,0.0213,0.024789194,0.020930521
38,0.005370171,1.07E-07,-0.0092,0.023104781,0.004061105
39,-0.014838176,1.08E-07,-0.0114,0.024448431,-0.015930679
40,-0.009504,1.03E-07,-0.00145,0.025635429,-0.010938564
41,-0.012117808,1.01E-07,0.0335,0.121753679,-0.006648346
42,0.032091074,9.13E-08,-0.00786,0.144211708,0.041246356
43,-0.002743115,2.95E-08,0.0108,0.331397254,0.021729866
44,0.011161718,3.04E-08,0.0479,0.302306004,0.031514496
45,-0.004061069,4.71E-08,0.0477,0.46041216,0.030181871
46,-0.074174386,5.24E-08,-0.0747,0.493633353,-0.031789343
47,-0.03522249,5.55E-08,0.0583,0.508587046,0.002811351
48,-0.034506429,5.57E-08,0.0144,0.506360733,0.005205321
49,-0.008449263,1.16E-07,-0.019,0.323443419,0.016941675
50,-0.002600996,1.09E-07,-0.00666,0.318842951,0.021832294
51,0.02889679,1.11E-07,0.022,0.338763469,0.053856921
52,-0.041852728,1.06E-07,-0.0217,0.311072458,-0.017467866
53,-0.027971126,1.07E-07,-0.0264,0.308480044,-0.003608232
54,0.070439596,1.04E-07,0.0554,0.309084908,0.09135691
55,-0.043627846,2.64E-08,-0.000172,0.354699805,-0.016663143
56,0.011924109,2.45E-08,-0.0853,0.355471842,0.04257812
57,-0.050953371,2.35E-08,0.128,0.408158546,-0.024792976
58,-0.046361235,2.11E-08,0.0752,0.404202243,-0.01830493
59,-0.035599668,1.93E-08,0.36,0.392512001,-0.020713745
60,0.008181257,1.76E-08,0.192,0.391940352,0.030172711
61,0.055992489,1.17E-06,-0.0728,0.416944402,0.096027347
62,0.019234567,7.30E-07,-0.0821,0.546960592,0.069270869
63,-0.018697806,7.90E-07,-0.0194,0.58595958,0.032309819
64,-0.059482461,7.97E-07,0.0275,0.532328618,-0.015134138
65,-0.080882742,8.91E-07,0.000595,0.586240217,-0.030305381
66,-0.017271489,8.94E-08,0.135,0.582377611,0.024074512
67,-2.04E-05,7.20E-08,0.0755,0.54855236,0.040837863
68,-0.007383771,6.33E-08,0.0195,0.555234638,0.036411539
69,-0.03834578,5.36E-08,0.052,0.584230943,0.006559426
70,0.026507636,5.12E-08,0.102,0.638052815,0.073974664
71,0.005594356,4.31E-08,0.162,0.594946895,0.046705024
72,0.032563508,2.64E-09,-0.0355,0.380616496,0.063205173
73,-0.039670152,2.41E-09,0.0738,0.330318781,-0.018084335
74,-0.063645201,2.46E-09,0.04,0.320244466,-0.041498559
75,-0.0624216,2.09E-09,-0.000318,0.265945828,-0.043302344
76,-0.053607795,2.02E-09,0.0465,0.247473447,-0.038098995
77,-0.065735322,1.95E-09,0.0974,0.244849406,-0.052626107
78,0.005415246,8.66E-08,0.00831,0.252852905,0.023356306
79,-0.029217347,8.17E-08,0.0101,0.253389236,-0.011325194
80,-0.012393779,7.95E-08,0.0102,0.237406055,0.004088662
81,-0.018544158,7.75E-08,0.0137,0.22973412,-0.002888905
82,0.007069928,7.50E-08,0.00176,0.217810637,0.022182085
83,0.011575268,7.23E-08,0.00185,0.177005637,0.023107286
84,0.032640948,1.27E-07,-0.0448,0.226783956,0.050727144
85,0.005070511,1.34E-07,0.0281,0.224631393,0.019887531
86,0.023946223,1.14E-07,0.00862,0.194624913,0.036892244
87,0.04785274,1.08E-07,0.029,0.194858531,0.059929806
88,0.081362995,1.08E-07,0.148,0.210740493,0.089754106
89,0.272046036,9.40E-08,0.0965,0.186941944,0.280496959
90,0.043439288,1.25E-07,-0.00832,0.483446775,0.082389278
91,-0.049836375,1.18E-07,0.0905,0.479910331,-0.015433512
92,0.028301649,1.17E-07,0.0604,0.469334311,0.063060638
93,-0.030140246,1.12E-07,0.00146,0.433792022,0.004003787
94,0.042274181,1.17E-07,0.236,0.433497391,0.066413453
95,0.053677122,1.09E-07,0.228,0.407502244,0.075855611
96,-0.004477617,3.32E-07,-0.148,0.286513824,0.024036716
97,-0.0014611,3.30E-07,0.0733,0.29305999,0.018185015
98,-0.015325628,3.22E-07,0.0617,0.288970158,0.004424446
99,-0.088289541,3.17E-07,-0.0373,0.311604275,-0.062358448
100,-0.017363421,3.22E-07,0.115,0.339376828,0.004521221
101,0.054647237,3.04E-07,0.0814,0.36163612,0.079835783
102,0.033155813,1.50E-07,-0.0141,0.314346395,0.057676643
103,-0.072065092,1.43E-07,0.0696,0.29487318,-0.052844359
104,-0.002099724,1.56E-07,-0.0737,0.416669403,0.033925008
105,-0.013590621,1.29E-07,-0.0616,0.390019038,0.01948507
106,0.1192492,1.30E-07,0.307,0.420556909,0.139282203
