TAC,A1,A2,A3,A4,DA_ROA
-0.004391017,2.26E-09,0.0175,0.259778117,0.009411887,0.025411117
-0.008362537,3.15E-09,-0.00781,0.125516206,0.039731572,0.00158766
0.00598564,2.48E-08,0.000111,0.120464993,-0.004320401,0.027133961
0.042083612,3.98E-08,0.0261,0.315240631,0.087002729,0.056059731
-0.006567258,1.24E-07,0.0123,0.375979114,0.072275797,0.016154962
-0.084953681,8.55E-08,-0.00821,0.235443665,0.044242244,-0.066986931
0.032091074,9.13E-08,-0.00786,0.144211708,0.009866679,0.051228082
-0.034506429,5.57E-08,0.0144,0.506360733,0.013424007,0.015392178
0.070439596,1.04E-07,0.0554,0.309084908,0.092809999,0.08229324
0.008181257,1.76E-08,0.192,0.391940352,0.050238304,0.039765596
-0.080882742,8.91E-07,0.000595,0.586240217,-0.067514686,-0.005972513
0.005594356,4.31E-08,0.162,0.594946895,0.06688279,0.05007527
-0.065735322,1.95E-09,0.0974,0.244849406,0.051602864,-0.047855533
0.011575268,7.23E-08,0.00185,0.177005637,0.02079914,0.03080187
0.272046036,9.40E-08,0.0965,0.186941944,0.333376352,0.20991304
0.053677122,1.09E-07,0.228,0.407502244,0.033390873,0.090962233
0.054647237,3.04E-07,0.0814,0.36163612,0.021753567,0.089274875
0.036826395,1.10E-07,0.222,0.36082011,0.038109628,0.068767728
-0.022440071,3.53E-08,-0.164,0.151393468,0.04397829,-0.012561131
0.017145569,1.40E-08,0.0141,0.063124435,0.067520513,0.014431454
0.008969555,1.09E-07,0.119,0.495679688,0.094582856,0.03695344
0.127540492,1.43E-07,0.552,0.117563538,0.181023683,0.102655401
-0.063923771,4.33E-07,0.0381,0.382888153,0.022339267,-0.028406548
0.003202786,4.39E-08,0.0125,0.260612375,0.038885361,0.025074994
0.064700731,2.14E-07,0.0041,0.036802784,0.041824757,0.065660229
0.066154948,2.89E-07,0.0798,0.524044292,0.122712713,0.088179611
0.033420285,4.69E-07,0.149,0.198694862,-0.008889925,0.061847487
0.031684878,2.07E-07,-0.115,0.395237554,0.096378016,0.04850196
-0.170925443,1.89E-07,0.127,0.101981386,0.022311307,-0.158208284
0.025410396,2.35E-07,0.073,0.354338768,0.171533607,0.019949324
-0.075452762,2.14E-07,0.169,0.226648108,0.027892472,-0.053211023
-0.040407959,1.84E-09,-0.0224,0.19738761,0.066478332,-0.031401638
-0.055329509,1.50E-09,-0.0672,0.31698592,0.057551943,-0.033889487
-0.126199871,1.18E-08,-0.0456,0.300855171,-0.000721354,-0.090618791
-0.069174676,5.89E-08,-0.116,0.497634654,-0.019894594,-0.012111156
-0.072012429,6.78E-08,0.155,0.331523284,0.031893505,-0.041258576
-0.132722443,5.27E-08,0.0315,0.177225273,0.076263429,-0.127887123
-0.074756116,9.31E-08,-0.173,0.182493739,0.038351892,-0.060976337
-0.036268458,1.08E-07,0.116,0.392600861,-0.035715799,0.017265932
-0.043206779,2.04E-08,-0.0777,0.384806577,-0.009289722,0.001672937
-0.037763757,1.86E-08,-0.144,0.300078867,-0.022990173,0.002949693
0.066740154,7.39E-09,-0.0593,0.201048777,0.001518745,0.092994448
0.016033581,7.84E-08,0.0218,0.154454773,0.055761614,0.024157012
0.053670713,9.43E-08,0.124,0.156900034,0.005291556,0.076008007
-0.105993881,2.90E-08,0.0777,0.528016985,0.059115111,-0.06578151
-0.008410817,7.70E-08,0.0109,0.260263357,-0.003286317,0.024459776
-0.073551311,1.75E-07,0.0245,0.414065848,0.050816838,-0.041957979
-0.064904298,8.03E-07,-0.0415,0.273112864,0.003856862,-0.036000752
-0.021428467,3.11E-07,-0.19,0.363203064,0.004204039,0.016103721
-0.0423524,1.67E-09,0.0353,0.238739985,0.015382191,-0.015832534
-0.046418529,4.41E-07,0.188,0.405257631,0.069622476,-0.020491797
-0.029010558,1.82E-07,-0.0877,0.228291655,-0.086582831,0.022064557
-0.079127899,8.54E-08,0.0268,0.337103493,0.011162295,-0.043342998
-0.062591581,1.98E-07,0.00759,0.588854809,0.079375241,-0.023605478
-0.014052282,1.94E-07,-0.0221,0.137168606,-0.083418473,0.028681536
-0.076303192,4.22E-07,0.0662,0.280849396,0.126799036,-0.077067226
-0.036044282,4.16E-07,0.204,0.42588417,0.207923343,-0.044749162
-0.038265905,1.57E-09,0.0399,0.270810826,0.020998852,-0.010419935
0.006305509,5.10E-09,0.0202,0.103932245,0.018468901,0.020198205
-0.041095861,7.03E-07,-0.0292,0.148814903,0.03934158,-0.031897658
0.00140252,3.53E-07,0.0632,0.397335013,0.034950076,0.035316398
-0.00768204,2.17E-07,-0.0217,0.335194471,0.022678295,0.024043053
-0.015876576,2.58E-07,0.00982,0.009228254,0.024834343,-0.012941802
0.019493835,2.51E-07,0.0437,0.212381021,-0.012165744,0.05010771
0.034399216,2.81E-07,-0.00521,0.179188391,0.006133468,0.056836837
0.107119337,6.20E-08,0.0422,0.039074628,0.128352647,0.086212886
-0.072831018,2.92E-07,-0.00485,0.09570443,0.021427019,-0.061725615
-0.082567237,2.04E-07,0.0655,0.126682347,-0.007545268,-0.060278475
-0.002905417,1.23E-08,0.0341,0.141738909,0.041859963,0.008138533
-0.076830159,7.30E-08,0.0993,0.002575759,0.046062083,-0.078762081
0.005204522,8.37E-08,0.00849,0.000487592,0.034046795,0.005612217
0.039475157,1.91E-07,0.109,0.003347756,0.071244292,0.030546809
0.158155572,2.05E-07,-0.00885,0.000487592,0.029443535,0.159190855
-0.030176583,1.99E-08,0.0433,0.409946276,0.023741827,0.008963293
-0.008853183,4.21E-07,0.0213,0.396237677,-0.134727566,0.069351595
0.140006369,7.10E-08,-0.17,0.001708399,0.04573566,0.136255934
-0.028042236,1.56E-07,0.0071,0.689223763,0.022354311,0.034911785
-0.050579703,4.83E-08,0.0893,0.344654979,0.022631618,-0.016606113
-0.060019777,4.97E-07,0.147,0.399583466,0.005465576,-0.018092198
0.06644534,2.30E-07,-0.00726,0.000487592,-0.008712128,0.077499052
-0.043285666,5.06E-08,0.239,0.282215786,-0.000906827,-0.007481693
-0.001504498,1.57E-07,-0.0467,0.062811138,0.015517811,0.008553824
0.025696416,1.10E-07,0.0823,0.152266272,0.047121996,0.036207658
-0.189186554,3.13E-07,-0.0597,0.16673102,0.040127864,-0.177329178
0.007049256,5.28E-07,0.108,0.05300197,-0.006489789,0.021693421
-0.04559731,4.87E-07,0.111,0.387630584,0.015672705,-0.007616404
-0.13440086,9.28E-08,-0.105,0.421987387,-0.026148171,-0.082300016
0.272046036,1.40E-07,-0.241,0.008708642,-0.010590457,0.283066518
0.117979275,5.40E-08,0.00298,0.178477276,0.109619849,0.113889438
-0.089088616,1.54E-07,-0.067,0.326334639,-0.068206583,-0.034125486
-0.0210635,6.85E-08,0.0385,0.385083961,0.001495233,0.021589225
-0.025674553,3.65E-07,0.015,0.167959243,0.02512289,-0.009429896
-0.080090097,5.23E-08,0.105,0.257862558,0.021233218,-0.053183042
0.000191808,5.48E-07,0.0825,0.241936968,0.053006612,0.015215278
-0.024816684,2.71E-07,-0.176,0.484924947,-0.018112696,0.029435626
-0.08065152,1.16E-07,0.00375,0.224705321,-0.004835544,-0.050655883
-0.099880766,2.91E-07,0.0796,0.197401289,0.010433529,-0.076462499
-0.136557908,7.97E-07,0.00814,0.319019094,0.026172203,-0.109220293
-0.091412066,8.41E-07,-0.094,0.037167717,-0.132365341,-0.047404007
-0.058711446,4.12E-07,0.251,0.041442796,0.001353636,-0.045718893
-0.05533805,1.92E-07,0.332,0.202037349,0.0577437,-0.041938795
-0.074594252,2.35E-07,-0.00686,0.350020726,0.018900492,-0.040551578
0.045345261,1.12E-06,0.645,0.000487592,0.333376352,-0.033220894
-0.165679536,3.42E-08,0.167,0.465427864,0.231920559,-0.176072761
-0.007160299,4.50E-08,0.14,0.235226543,0.159295703,-0.018513741
0.022250161,2.21E-08,0.0508,0.156669511,0.046955092,0.033315526
-0.018843289,7.32E-09,0.0503,0.140044169,0.029221422,-0.004469196
0.007346416,4.11E-07,0.0383,0.459847058,0.037791464,0.045533931
-0.077434836,5.37E-07,-0.115,0.229418681,-0.09907967,-0.024523521
-0.072143384,2.92E-08,-0.00941,0.418290658,0.071993997,-0.045454712
