Year,Industry,Key,LGTA,MVE,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,DA_ROA,ABCFO,ABPROD,ABEXP,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ROA,ADJROA_I,ADJROA
2022,M1100,11012022,19.94849411,268571510.5,0,0,0,0,0,0,0.887196783,0.013430324,0.013430324,0.025411117,-0.037208673,0.078439037,-0.045681605,0.482918519,0.013412293,1.127145656,73,61,1,0,61.79,0.00593193,0.009411887,-0.037416701,-0.030319685
2021,M1100,11012021,19.90610652,211749339.4,0,0,0,0,0,0,1.065668841,0.020989603,0.020989603,0.020401448,-0.00195208,0.027307265,-0.050878137,0.489104456,0.042954569,0.938377816,73,61,1,0,63.26,0.003340313,0.05172625,0.004897663,0.005498438
2020,M1100,11012020,19.78039043,242229531,0,0,0,0,0,0,0.903399565,0.010182946,0.010182946,0.002631074,0.033125474,-0.001452206,-0.054459745,0.438186009,0.080304943,1.106929911,73,61,1,0,63.9,0.000253971,0.076170707,0.029342119,0.022337761
2019,M1100,11012019,19.72218594,172112342.3,0,0,0,0,0,0,1.211196502,0.008961199,0.008961199,0.002401867,0.030387556,0.012910286,-0.056782856,0.432729634,0.07949374,0.825629861,73,61,1,0,63.97,0.00033187,0.07397905,0.027150462,0.023409725
2018,M1100,11012018,19.65639962,149717238.6,0,0,0,0,0,0,1.318348227,0.024111499,0.024111499,0.018442018,0.019026628,0.038067043,-0.053603244,0.42636445,0.064375699,0.758524933,73,61,1,0,60.89,0.000189944,0.083080115,0.036251528,0.033546096
2017,M1100,11012017,19.4233585,100599798.2,0,0,0,0,0,0,1.517370996,0.019358539,0.019358539,0.022908255,-0.010188197,0.065117637,-0.053083753,0.43994398,0.045166911,0.659034608,73,61,1,0,60.43,0.000329554,0.038663809,-0.008164778,0.00126046
2022,M1100,11022022,19.59700418,149354487.4,0,0,0,0,0,0,1.233530028,0.001190959,-0.001190959,0.00158766,-0.003196362,0.068490137,-0.058712461,0.431805242,0.047213433,0.810681522,66,61,1,0,64.49,0,0.039731572,-0.007097016,0
2021,M1100,11022021,19.57458919,136043597.6,0,0,0,0,0,0,1.325111135,0.033898893,0.033898893,0.034650673,-0.025797591,0.037283408,-0.055006069,0.431416385,0.027114157,0.754653684,66,61,1,0,67.84,0,0.058998807,0.012170219,0.012770995
2020,M1100,11022020,19.5095351,139331978.2,0,0,0,0,0,0,1.219296203,0.009896342,0.009896342,0.005245651,0.016763824,0.016706622,-0.058131792,0.428157291,0.066054272,0.820145259,66,61,1,0,64.18,0,0.06315225,0.016323663,0.009319304
2019,M1100,11022019,19.51018001,112037028.5,0,0,0,0,0,0,1.51243781,0.040406851,-0.040406851,-0.046014927,0.078322536,0.028299077,-0.056900868,0.429999037,0.125377044,0.661184211,66,61,1,0,63.42,0,0.079673744,0.032845156,0.029104419
