代號,名稱,Year,Industry,Key,LGTA,MVE,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY,BM,ABSDA,DA,ABCFO,DA_ROA,LGTA,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD
1101,台泥,2022,M1100,11012022,19.94849411,268571510.5,0,0,0,0,0,0,0.887196783,0.014373325,0.014373325,-0.036321396,0.025163792,19.94849411,0.482918519,0.013412293,1.127145656,73,61,1,0,61.79,0.00593193
1101,台泥,2021,M1100,11012021,19.90610652,211749339.4,0,0,0,0,0,0,1.065668841,0.021924825,0.021924825,-0.000972704,0.020800873,19.90610652,0.489104456,0.042954569,0.938377816,73,61,1,0,63.26,0.003340313
1101,台泥,2020,M1100,11012020,19.78039043,242229531,0,0,0,0,0,0,0.903399565,0.011112771,0.011112771,0.034065037,0.003404377,19.78039043,0.438186009,0.080304943,1.106929911,73,61,1,0,63.9,0.000253971
1101,台泥,2019,M1100,11012019,19.72218594,172112342.3,0,0,0,0,0,0,1.211196502,0.009889852,0.009889852,0.031265827,0.00313811,19.72218594,0.432729634,0.07949374,0.825629861,73,61,1,0,63.97,0.00033187
1101,台泥,2018,M1100,11012018,19.65639962,149717238.6,0,0,0,0,0,0,1.318348227,0.024975724,0.024975724,0.019496386,0.019298514,19.65639962,0.42636445,0.064375699,0.758524933,73,61,1,0,60.89,0.000189944
1101,台泥,2017,M1100,11012017,19.4233585,100599798.2,0,0,0,0,0,0,1.517370996,0.020177759,0.020177759,-0.009469359,0.0230701,19.4233585,0.43994398,0.045166911,0.659034608,73,61,1,0,60.43,0.000329554
1102,亞泥,2022,M1100,11022022,19.59700418,149354487.4,0,0,0,0,0,0,1.233530028,9.97E-05,-9.97E-05,-0.002261385,0.001855031,19.59700418,0.431805242,0.047213433,0.810681522,66,61,1,0,64.49,0
1102,亞泥,2021,M1100,11022021,19.57458919,136043597.6,0,0,0,0,0,0,1.325111135,0.035006521,0.035006521,-0.025095433,0.035215655,19.57458919,0.431416385,0.027114157,0.754653684,66,61,1,0,67.84,0
1102,亞泥,2020,M1100,11022020,19.5095351,139331978.2,0,0,0,0,0,0,1.219296203,0.010909664,0.010909664,0.017845123,0.005847357,19.5095351,0.428157291,0.066054272,0.820145259,66,61,1,0,64.18,0
1102,亞泥,2019,M1100,11022019,19.51018001,112037028.5,0,0,0,0,0,0,1.51243781,0.039359657,-0.039359657,0.079557811,-0.045152648,19.51018001,0.429999037,0.125377044,0.661184211,66,61,1,0,63.42,0
1102,亞泥,2018,M1100,11022018,19.44739594,114894258.5,0,0,0,0,0,0,1.384301949,0.028536083,0.028536083,-0.012503232,0.02794843,19.44739594,0.430318111,0.038365073,0.722385749,66,61,1,0,63.13,0
1102,亞泥,2017,M1100,11022017,19.32515938,78792317.68,0,0,0,0,0,0,1.850388062,0.009691668,0.009691668,-0.018404977,0.016010102,19.32515938,0.409885056,0.032943029,0.540427179,66,61,1,0,57.4,0
1103,嘉泥,2022,M1100,11032022,17.41041757,16092201.37,1,1,0.693147181,1,0,0,1.367086236,0.013532312,0.013532312,-0.050386985,0.02674527,17.41041757,0.395824528,-0.010761112,0.73148275,69,54,1,0,56.67,0
1103,嘉泥,2021,M1100,11032021,17.5105622,13055059.85,0,0,0,0,0,0,1.984688948,0.031571993,0.031571993,-0.045509712,0.039355948,17.5105622,0.356229933,-0.004837947,0.503857293,69,54,1,0,56.31,0
1103,嘉泥,2020,M1100,11032020,17.52041657,15139220.74,0,0,0,0,0,0,1.652485913,0.042920558,0.042920558,-0.026944917,0.043404091,17.52041657,0.384509932,0.013059785,0.60514888,69,54,1,0,61,0
1103,嘉泥,2019,M1100,11032019,17.47188319,11257567.93,0,0,0,0,0,0,2.103138542,0.040475368,0.040475368,-0.045593238,0.045994032,17.47188319,0.388537259,-0.004369453,0.475479851,69,54,1,0,60.05,0
1103,嘉泥,2018,M1100,11032018,17.28079727,10242604.82,0,0,0,0,0,0,2.042431527,0.03573413,0.03573413,-0.063570464,0.045393341,17.28079727,0.345961932,-0.019883961,0.489612497,69,54,1,0,57.84,0
1103,嘉泥,2017,M1100,11032017,17.15900771,7445645.41,0,0,0,0,0,0,2.586859693,0.028286012,0.028286012,-0.024252988,0.029361375,17.15900771,0.319837223,0.01424501,0.386569091,69,54,1,0,51.83,0
1104,環泥,2022,M1100,11042022,17.14097436,18542887.33,0,0,0,0,0,0,1.160902162,0.065347273,0.065347273,-0.010766411,0.057004042,17.14097436,0.225997437,0.036425673,0.861399033,63,52,1,0,61.72,0.013089252
1104,環泥,2021,M1100,11042021,17.03825178,12693086.78,0,0,0,0,0,0,1.527168004,0.010456889,0.010456889,0.007855853,0.011812132,17.03825178,0.227612325,0.055075141,0.654806804,63,52,1,0,64.68,0.012943184
