公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別
1101,台泥,111/01/01~111/12/31,112/06/28,水泥工業
1102,亞泥,111/01/01~111/12/31,112/06/30,水泥工業
1103,嘉泥,111/01/01~111/12/31,112/06/28,水泥工業
1104,環泥,111/01/01~111/12/31,112/06/28,水泥工業
1108,幸福,111/01/01~111/12/31,112/06/08,水泥工業
1109,信大,111/01/01~111/12/31,112/09/22,水泥工業
1110,東泥,111/01/01~111/12/31,112/06/29,水泥工業
1201,味全,111/01/01~111/12/31,112/09/28,食品工業
1203,味王,111/01/01~111/12/31,112/09/23,食品工業
1210,大成,111/01/01~111/12/31,112/09/25,食品工業
1213,大飲,111/01/01~111/12/31,112/09/28,食品工業
1215,卜蜂,111/01/01~111/12/31,112/09/28,食品工業
1216,統一,111/01/01~111/12/31,112/07/26,食品工業
1217,愛之味,111/01/01~111/12/31,112/09/21,食品工業
1218,泰山,111/01/01~111/12/31,112/08/25,食品工業
1219,福壽,111/01/01~111/12/31,112/06/30,食品工業
1220,台榮,111/01/01~111/12/31,112/09/28,食品工業
1225,福懋油,111/01/01~111/12/31,112/06/30,食品工業
1227,佳格,111/01/01~111/12/31,112/09/25,食品工業
1229,聯華,111/01/01~111/12/31,112/09/04,食品工業
1231,聯華食,111/01/01~111/12/31,112/09/28,食品工業
1232,大統益,111/01/01~111/12/31,112/08/24,食品工業
1233,天仁,111/01/01~111/12/31,112/09/14,食品工業
1234,黑松,111/01/01~111/12/31,112/09/27,食品工業
1235,興泰,111/01/01~111/12/31,112/09/27,食品工業
1236,宏亞,111/01/01~111/12/31,112/08/14,食品工業
1256,鮮活果汁-KY,111/01/01~111/12/31,112/09/28,食品工業
1301,台塑,111/01/01~111/12/31,112/06/28,塑膠工業
1303,南亞,111/01/01~111/12/31,112/06/30,塑膠工業
1304,台聚,111/01/01~111/12/31,112/06/30,塑膠工業
1305,華夏,111/01/01~111/12/31,112/06/30,塑膠工業
1307,三芳,111/01/01~111/12/31,112/06/02,塑膠工業
1308,亞聚,111/01/01~111/12/31,112/06/30,塑膠工業
1309,台達化,111/01/01~111/12/31,112/06/30,塑膠工業
1310,台苯,111/01/01~111/12/31,112/06/30,塑膠工業
1312,國喬,111/01/01~111/12/31,112/06/29,塑膠工業
1313,聯成,111/01/01~111/12/31,112/06/27,塑膠工業
1314,中石化,111/01/01~111/12/31,112/06/30,塑膠工業
1316,上曜,111/01/01~111/12/31,112/06/30,建材營造
1319,東陽,111/01/01~111/12/31,112/06/29,汽車工業
1321,大洋,111/01/01~111/12/31,112/06/26,塑膠工業
1323,永裕,111/01/01~111/12/31,112/09/13,塑膠工業
1326,台化,111/01/01~111/12/31,112/06/21,塑膠工業
1337,再生-KY,111/01/01~111/12/31,112/09/28,塑膠工業
1338,廣華-KY,111/01/01~111/12/31,112/09/25,汽車工業
1402,遠東新,111/01/01~111/12/31,112/06/29,紡織纖維
1409,新纖,111/01/01~111/12/31,112/06/27,紡織纖維
1413,宏洲,111/01/01~111/12/31,112/06/20,紡織纖維
1414,東和,111/01/01~111/12/31,112/09/13,紡織纖維
1419,新紡,111/01/01~111/12/31,112/09/28,紡織纖維
1434,福懋,111/01/01~111/12/31,112/06/27,紡織纖維
1437,勤益控,111/01/01~111/12/31,112/08/25,其他
1440,南紡,111/01/01~111/12/31,112/06/21,紡織纖維
1442,名軒,111/01/01~111/12/31,112/09/28,建材營造
1444,力麗,111/01/01~111/12/31,112/06/28,紡織纖維
1447,力鵬,111/01/01~111/12/31,112/06/28,紡織纖維
1451,年興,111/01/01~111/12/31,112/06/30,紡織纖維
1455,集盛,111/01/01~111/12/31,112/06/28,紡織纖維
1457,宜進,111/01/01~111/12/31,112/06/20,紡織纖維
1459,聯發,111/01/01~111/12/31,112/06/26,紡織纖維
1460,宏遠,111/01/01~111/12/31,112/06/30,紡織纖維
1464,得力,111/01/01~111/12/31,112/06/30,紡織纖維
1466,聚隆,111/01/01~111/12/31,112/07/13,紡織纖維
1467,南緯,111/01/01~111/12/31,112/09/26,紡織纖維
1473,台南,111/01/01~111/12/31,112/09/27,紡織纖維
1476,儒鴻,111/01/01~111/12/31,112/09/08,紡織纖維
1477,聚陽,111/01/01~111/12/31,112/09/15,紡織纖維
1503,士電,111/01/01~111/12/31,112/06/30,電機機械
1504,東元,111/01/01~111/12/31,112/06/29,電機機械
1506,正道,111/01/01~111/12/31,112/06/30,電機機械
1513,中興電,111/01/01~111/12/31,112/06/16,電機機械
1514,亞力,111/01/01~111/12/31,112/10/02,電機機械
1515,力山,111/01/01~111/12/31,112/08/04,電機機械
1517,利奇,111/01/01~111/12/31,112/09/28,電機機械
1519,華城,111/01/01~111/12/31,112/09/27,電機機械
1522,堤維西,111/01/01~111/12/31,112/06/29,汽車工業
1525,江申,111/01/01~111/12/31,112/06/30,汽車工業
1526,日馳,111/01/01~111/12/31,112/06/28,電機機械
1527,鑽全,111/01/01~111/12/31,112/09/07,電機機械
1531,高林股,111/01/01~111/12/31,112/09/18,電機機械
1532,勤美,111/01/01~111/12/31,112/06/30,電機機械
1533,車王電,111/01/01~111/12/31,112/07/26,汽車工業
1535,中宇,111/01/01~111/12/31,112/06/20,電機機械
1536,和大,111/01/01~111/12/31,112/09/27,汽車工業
1558,伸興,111/01/01~111/12/31,112/12/26,電機機械
1560,中砂,111/01/01~111/12/31,112/09/28,電機機械
1582,信錦,111/01/01~111/12/31,112/09/28,電子零組件業
1589,永冠-KY,111/01/01~111/12/31,112/09/13,電機機械
1590,亞德客-KY,111/01/01~111/12/31,113/01/02,電機機械
1598,岱宇,111/01/01~111/12/31,112/09/15,運動休閒
1604,聲寶,111/01/01~111/12/31,112/08/24,電器電纜
1605,華新,111/01/01~111/12/31,112/05/18,電器電纜
1608,華榮,111/01/01~111/12/31,112/06/19,電器電纜
1609,大亞,111/01/01~111/12/31,112/06/30,電器電纜
1611,中電,111/01/01~111/12/31,112/09/28,電器電纜
1612,宏泰,111/01/01~111/12/31,112/06/29,電器電纜
1614,三洋電,111/01/01~111/12/31,112/09/23,電器電纜
1626,艾美特-KY,111/01/01~111/12/31,112/09/27,電器電纜
1701,中化,111/01/01~111/12/31,112/09/28,生技醫療業
1702,南僑,111/01/01~111/12/31,112/09/25,食品工業
1707,葡萄王,111/01/01~111/12/31,112/04/20,生技醫療業
1708,東鹼,111/01/01~111/12/31,112/08/08,化學工業
1709,和益,111/01/01~111/12/31,112/09/28,化學工業
1710,東聯,111/01/01~111/12/31,112/06/29,化學工業
1711,永光,111/01/01~111/12/31,112/06/29,化學工業
1712,興農,111/01/01~111/12/31,112/09/01,化學工業
1713,國化,111/01/01~111/12/31,112/08/14,化學工業
1714,和桐,111/01/01~111/12/31,112/09/28,化學工業
1717,長興,111/01/01~111/12/31,112/08/17,化學工業
1718,中纖,111/01/01~111/12/31,112/09/18,化學工業
1720,生達,111/01/01~111/12/31,112/09/20,生技醫療業
1721,三晃,111/01/01~111/12/31,112/09/26,化學工業
1722,台肥,111/01/01~111/12/31,112/09/28,化學工業
1723,中碳,111/01/01~111/12/31,112/06/29,化學工業
1725,元禎,111/01/01~111/12/31,112/09/25,化學工業
1726,永記,111/01/01~111/12/31,112/09/19,化學工業
1727,中華化,111/01/01~111/12/31,112/06/30,化學工業
1730,花仙子,111/01/01~111/12/31,112/09/28,化學工業
1732,毛寶,111/01/01~111/12/31,112/08/14,化學工業
1733,五鼎,111/01/01~111/12/31,112/06/09,生技醫療業
1735,日勝化,111/01/01~111/12/31,112/09/28,化學工業
1736,喬山,111/01/01~111/12/31,112/06/19,運動休閒
1737,臺鹽,111/01/01~111/12/31,112/09/22,食品工業
1762,中化生,111/01/01~111/12/31,112/09/28,生技醫療業
1773,勝一,111/01/01~111/12/31,112/09/26,化學工業
1776,展宇,111/01/01~111/12/31,112/09/28,化學工業
1789,神隆,111/01/01~111/12/31,112/09/14,生技醫療業
1795,美時,111/01/01~111/12/31,112/09/28,生技醫療業
1802,台玻,111/01/01~111/12/31,112/08/17,玻璃陶瓷
1806,冠軍,111/01/01~111/12/31,112/09/28,玻璃陶瓷
1808,潤隆,111/01/01~111/12/31,112/09/14,建材營造
1810,和成,111/01/01~111/12/31,112/09/08,玻璃陶瓷
1903,士紙,111/01/01~111/12/31,112/08/18,造紙工業
1904,正隆,111/01/01~111/12/31,112/06/26,造紙工業
1905,華紙,111/01/01~111/12/31,112/06/30,造紙工業
1907,永豐餘,111/01/01~111/12/31,112/06/29,造紙工業
1909,榮成,111/01/01~111/12/31,112/06/30,造紙工業
2002,中鋼,111/01/01~111/12/31,112/06/29,鋼鐵工業
2006,東和鋼鐵,111/01/01~111/12/31,112/06/30,鋼鐵工業
2007,燁興,111/01/01~111/12/31,112/06/28,鋼鐵工業
2008,高興昌,111/01/01~111/12/31,112/08/22,鋼鐵工業
2009,第一銅,111/01/01~111/12/31,112/06/30,鋼鐵工業
2010,春源,111/01/01~111/12/31,112/06/27,鋼鐵工業
