公司代號,公司名稱,報告書內容涵蓋期間,中文版上傳日期,產業類別,Year,Key,BVE,LNAT,NIS,Industry,Price,RPA,LN_RPA_Count,RPA_Count,KY,Price9m,Price6m,Price12m,Finance
1101,台泥,111/01/01~111/12/31,112/06/28,水泥工業,2022,11012022,33.3,20,0.6,M1100,35.91,0,0,0,0,33.25,37.53,34.85,0
1102,亞泥,111/01/01~111/12/31,112/06/30,水泥工業,2022,11022022,51.96,20,3.11,M1100,41.08,0,0,0,0,39.75,42.12,41.45,0
1103,嘉泥,111/01/01~111/12/31,112/06/28,水泥工業,2022,11032022,28.39,17,0.19,M1100,18.31,0,0,0,0,18.55,20.77,19.05,0
1104,環泥,111/01/01~111/12/31,112/06/28,水泥工業,2022,11042022,32.93,17,2.58,M1100,24.49,0,0,0,0,26.05,28.37,29.7,0
1108,幸福,111/01/01~111/12/31,112/06/08,水泥工業,2022,11082022,12.12,16,1.5,M1100,13.46,0,0,0,0,14.4,16.17,15.8,0
1109,信大,111/01/01~111/12/31,112/09/22,水泥工業,2022,11092022,28.33,16,1.52,M1100,16.29,0,0,0,0,17.75,17.68,18.25,0
1110,東泥,111/01/01~111/12/31,112/06/29,水泥工業,2022,11102022,15.26,16,0.07,M1100,17.46,0,0,0,0,18.75,19.15,18.8,0
1201,味全,111/01/01~111/12/31,112/09/28,食品工業,2022,12012022,14.29,17,0.9,M1200,19.76,0,0,0,0,18.45,20.05,19.05,0
1203,味王,111/01/01~111/12/31,112/09/23,食品工業,2022,12032022,27.4,16,3.25,M1200,37.73,0,0,0,0,41.55,44.64,56.9,0
1210,大成,111/01/01~111/12/31,112/09/25,食品工業,2022,12102022,32.29,18,1.28,M1200,49.64,0,0,0,0,53.8,51.78,58.5,0
1213,大飲,111/01/01~111/12/31,112/09/28,食品工業,2022,12132022,6.46,14,-1.34,M1200,7,0,0,0,0,6.6,6.45,6.92,0
1215,卜蜂,111/01/01~111/12/31,112/09/28,食品工業,2022,12152022,32.18,17,5.24,M1200,80.21,0,0,0,0,94.1,90.73,96.1,0
1216,統一,111/01/01~111/12/31,112/07/26,食品工業,2022,12162022,33.83,20,4.63,M1200,68.93,0,0,0,0,70.1,73.15,74.5,0
1217,愛之味,111/01/01~111/12/31,112/09/21,食品工業,2022,12172022,15.2,16,0.26,M1200,11.21,0,0,0,0,12.35,12.8,12.05,0
1218,泰山,111/01/01~111/12/31,112/08/25,食品工業,2022,12182022,25.14,17,-0.57,M1200,28.31,0,0,0,0,22.35,27.53,22.5,0
1219,福壽,111/01/01~111/12/31,112/06/30,食品工業,2022,12192022,13.77,16,0.95,M1200,20.38,0,0,0,0,19.95,20.38,19.3,0
