代號,名稱,年月,Key6,PRC,PrePRC,PRC_YE,常續性EPS,Pre常續性EPS,NEG,PreNEG,Key,PRC_YE,Year,Industry,dNEG,dEPSS,EPSS,Annret,RPA,RPA_Ctd,LN_RPA_Count,RPA_Count,Finance,KY
1101,台泥,23-Jun,11012023,37.53,34.57,33.19,0.72,2.99,0,0,11012022,33.19,2022,M1100,0,-0.068394095,0.021693281,0.085623373,0,0,0,0,0,0
1101,台泥,22-Jun,11012022,34.57,41.69,42.01,2.99,4.35,0,0,11012021,42.01,2021,M1100,0,-0.032373244,0.07117353,-0.170784361,0,0,0,0,0,0
1101,台泥,21-Jun,11012021,41.69,31.49,35.32,4.35,4.57,0,0,11012020,35.32,2020,M1100,0,-0.006228766,0.123159683,0.323912353,0,0,0,0,0,0
1101,台泥,20-Jun,11012020,31.49,29.31,32.19,4.57,4.17,0,0,11012019,32.19,2019,M1100,0,0.012426219,0.141969556,0.074377346,0,0,0,0,0,0
1101,台泥,19-Jun,11012019,29.31,23.69,22.66,4.17,1.94,0,0,11012018,22.66,2018,M1100,0,0.098411297,0.184024713,0.237230899,0,0,0,0,0,0
1101,台泥,18-Jun,11012018,23.69,18.9,20.39,1.94,1.94,0,0,11012017,20.39,2017,M1100,0,0,0.095144679,0.253439153,0,0,0,0,0,0
1102,亞泥,23-Jun,11022023,42.12,38.37,38.9,2.95,4.37,0,0,11022022,38.9,2022,M1100,0,-0.036503856,0.075835476,0.097732604,0,0,0,0,0,0
1102,亞泥,22-Jun,11022022,38.37,41.45,38.81,4.37,4.4,0,0,11022021,38.81,2021,M1100,0,-0.000772997,0.112599845,-0.074306393,0,0,0,0,0,0
1102,亞泥,21-Jun,11022021,41.45,33.33,35.32,4.4,4.8,0,0,11022020,35.32,2020,M1100,0,-0.011325028,0.124575311,0.243624362,0,0,0,0,0,0
1102,亞泥,20-Jun,11022020,33.33,34.18,36.66,4.8,3.61,0,0,11022019,36.66,2019,M1100,0,0.032460447,0.130932897,-0.024868344,0,0,0,0,0,0
1102,亞泥,19-Jun,11022019,34.18,23.44,24.4,3.61,1.6,0,0,11022018,24.4,2018,M1100,0,0.082377049,0.14795082,0.458191126,0,0,0,0,0,0
1102,亞泥,18-Jun,11022018,23.44,17.67,19.73,1.6,1.09,0,0,11022017,19.73,2017,M1100,0,0.025848961,0.08109478,0.326542162,0,0,0,0,0,0
1103,嘉泥,23-Jun,11032023,20.77,16.85,16.81,0.21,0.4,0,0,11032022,16.81,2022,M1100,0,-0.011302796,0.012492564,0.23264095,1,1,0.693147181,1,0,0
1103,嘉泥,22-Jun,11032022,16.85,19.54,19.32,0.4,2.07,0,0,11032021,19.32,2021,M1100,0,-0.086438923,0.020703934,-0.137666325,0,0,0,0,0,0
1103,嘉泥,21-Jun,11032021,19.54,14.53,16.62,2.07,-0.35,0,1,11032020,16.62,2020,M1100,-1,0.145607702,0.124548736,0.344803854,0,0,0,0,0,0
1103,嘉泥,20-Jun,11032020,14.53,13.22,18.4,-0.35,-0.19,1,1,11032019,18.4,2019,M1100,0,-0.008695652,-0.019021739,0.099092284,0,0,0,0,0,0
1103,嘉泥,19-Jun,11032019,13.22,9.61,10.51,-0.19,-0.61,1,1,11032018,10.51,2018,M1100,0,0.039961941,-0.018078021,0.375650364,0,0,0,0,0,0
1103,嘉泥,18-Jun,11032018,9.61,7.96,9.98,-0.61,-0.12,1,1,11032017,9.98,2017,M1100,0,-0.049098196,-0.061122244,0.207286432,0,0,0,0,0,0
1104,環泥,23-Jun,11042023,28.37,19.42,20.51,2.37,1.67,0,0,11042022,20.51,2022,M1100,0,0.034129693,0.115553389,0.460865088,0,0,0,0,0,0
1104,環泥,22-Jun,11042022,19.42,19.61,19.07,1.67,2.05,0,0,11042021,19.07,2021,M1100,0,-0.019926586,0.087572103,-0.009688934,0,0,0,0,0,0
1104,環泥,21-Jun,11042021,19.61,14.3,19.48,2.05,1.74,0,0,11042020,19.48,2020,M1100,0,0.015913758,0.10523614,0.371328671,0,0,0,0,0,0
1104,環泥,20-Jun,11042020,14.3,15.05,15.57,1.74,1.61,0,0,11042019,15.57,2019,M1100,0,0.00834939,0.111753372,-0.049833887,0,0,0,0,0,0
1104,環泥,19-Jun,11042019,15.05,14.34,14.26,1.61,2.11,0,0,11042018,14.26,2018,M1100,0,-0.035063114,0.112903226,0.049511855,0,0,0,0,0,0
1104,環泥,18-Jun,11042018,14.34,16.55,16.37,2.11,2.68,0,0,11042017,16.37,2017,M1100,0,-0.034819792,0.128894319,-0.133534743,0,0,0,0,0,0
1108,幸福,23-Jun,11082023,16.17,9.66,10.22,1.5,0.61,0,0,11082022,10.22,2022,M1100,0,0.087084149,0.146771037,0.673913043,0,0,0,0,0,0
1108,幸福,22-Jun,11082022,9.66,11.69,10.74,0.61,0.93,0,0,11082021,10.74,2021,M1100,0,-0.029795158,0.05679702,-0.173652695,0,0,0,0,0,0
1108,幸福,21-Jun,11082021,11.69,8.26,10.83,0.93,0.1,0,0,11082020,10.83,2020,M1100,0,0.076638966,0.085872576,0.415254237,0,0,0,0,0,0
1108,幸福,20-Jun,11082020,8.26,5.86,7.05,0.1,-0.43,0,1,11082019,7.05,2019,M1100,-1,0.075177305,0.014184397,0.409556314,0,0,0,0,0,0
1108,幸福,19-Jun,11082019,5.86,6.68,6.17,-0.43,-0.25,1,1,11082018,6.17,2018,M1100,0,-0.02917342,-0.069692058,-0.122754491,0,0,0,0,0,0
1108,幸福,18-Jun,11082018,6.68,7.46,7.04,-0.25,0.78,1,0,11082017,7.04,2017,M1100,1,-0.146306818,-0.035511364,-0.104557641,0,0,0,0,0,0
1109,信大,23-Jun,11092023,17.68,17.53,14.96,1.17,2.41,0,0,11092022,14.96,2022,M1100,0,-0.082887701,0.078208556,0.00855676,0,0,0,0,0,0
1109,信大,22-Jun,11092022,17.53,21.59,18.37,2.41,2.87,0,0,11092021,18.37,2021,M1100,0,-0.025040827,0.131192161,-0.188050023,0,0,0,0,0,0
1109,信大,21-Jun,11092021,21.59,14.12,16.61,2.87,2.76,0,0,11092020,16.61,2020,M1100,0,0.006622517,0.172787477,0.529036827,0,0,0,0,0,0
1109,信大,20-Jun,11092020,14.12,14.32,15.68,2.76,2.37,0,0,11092019,15.68,2019,M1100,0,0.024872449,0.176020408,-0.01396648,0,0,0,0,0,0
1109,信大,19-Jun,11092019,14.32,11.67,10.32,2.37,1.36,0,0,11092018,10.32,2018,M1100,0,0.097868217,0.229651163,0.227077978,0,0,0,0,0,0
1109,信大,18-Jun,11092018,11.67,7.86,9.89,1.36,0.46,0,0,11092017,9.89,2017,M1100,0,0.091001011,0.137512639,0.484732824,0,0,0,0,0,0
1110,東泥,23-Jun,11102023,19.15,19.48,18.61,0.14,0.21,0,0,11102022,18.61,2022,M1100,0,-0.003761419,0.007522837,-0.016940452,0,0,0,0,0,0
1110,東泥,22-Jun,11102022,19.48,15.27,19.93,0.21,0.03,0,0,11102021,19.93,2021,M1100,0,0.009031611,0.010536879,0.275703995,0,0,0,0,0,0
1110,東泥,21-Jun,11102021,15.27,15.96,17.53,0.03,0.02,0,0,11102020,17.53,2020,M1100,0,0.000570451,0.001711352,-0.043233083,0,0,0,0,0,0
1110,東泥,20-Jun,11102020,15.96,16.25,16.98,0.02,0.1,0,0,11102019,16.98,2019,M1100,0,-0.004711425,0.001177856,-0.017846154,0,0,0,0,0,0
1110,東泥,19-Jun,11102019,16.25,13.69,16.4,0.1,-0.18,0,1,11102018,16.4,2018,M1100,-1,0.017073171,0.006097561,0.186997809,0,0,0,0,0,0
1110,東泥,18-Jun,11102018,13.69,14.69,14.17,-0.18,-0.22,1,1,11102017,14.17,2017,M1100,0,0.002822865,-0.012702893,-0.068073519,0,0,0,0,0,0
1201,味全,23-Jun,12012023,20.05,19.46,18.82,0.9,1.14,0,0,12012022,18.82,2022,M1200,0,-0.012752391,0.047821467,0.030318602,0,0,0,0,0,0
1201,味全,22-Jun,12012022,19.46,20.1,21.44,1.14,1.34,0,0,12012021,21.44,2021,M1200,0,-0.009328358,0.053171642,-0.031840796,0,0,0,0,0,0
1201,味全,21-Jun,12012021,20.1,20.31,20.94,1.34,0.35,0,0,12012020,20.94,2020,M1200,0,0.047277937,0.063992359,-0.010339734,0,0,0,0,0,0
1201,味全,20-Jun,12012020,20.31,28.21,22.12,0.35,0.43,0,0,12012019,22.12,2019,M1200,0,-0.003616637,0.015822785,-0.280042538,0,0,0,0,0,0
1201,味全,19-Jun,12012019,28.21,20.73,19.14,0.43,0.42,0,0,12012018,19.14,2018,M1200,0,0.000522466,0.02246604,0.360829715,0,0,0,0,0,0
1201,味全,18-Jun,12012018,20.73,16.21,18.19,0.42,-2.77,0,1,12012017,18.19,2017,M1200,-1,0.175371083,0.02308961,0.278840222,0,0,0,0,0,0
1203,味王,23-Jun,12032023,44.64,31.63,33.98,2.17,1.89,0,0,12032022,33.98,2022,M1200,0,0.008240141,0.063861095,0.411318369,0,0,0,0,0,0
1203,味王,22-Jun,12032022,31.63,31.46,30.64,1.89,1.8,0,0,12032021,30.64,2021,M1200,0,0.002937337,0.061684073,0.005403687,0,0,0,0,0,0
1203,味王,21-Jun,12032021,31.46,25.99,33.33,1.8,1.9,0,0,12032020,33.33,2020,M1200,0,-0.0030003,0.054005401,0.210465564,0,0,0,0,0,0
1203,味王,20-Jun,12032020,25.99,22.52,23.87,1.9,1.79,0,0,12032019,23.87,2019,M1200,0,0.004608295,0.079597822,0.154085258,0,0,0,0,0,0
1203,味王,19-Jun,12032019,22.52,20.78,22.09,1.79,1.85,0,0,12032018,22.09,2018,M1200,0,-0.002716161,0.081032141,0.08373436,0,0,0,0,0,0
1203,味王,18-Jun,12032018,20.78,19.25,20.37,1.85,1.64,0,0,12032017,20.37,2017,M1200,0,0.010309278,0.090819833,0.079480519,0,0,0,0,0,0
1210,大成,23-Jun,12102023,51.78,43.99,44.25,0.58,2.38,0,0,12102022,44.25,2022,M1200,0,-0.040677966,0.013107345,0.177085701,0,0,0,0,0,0
1210,大成,22-Jun,12102022,43.99,49.97,48.05,2.38,4.05,0,0,12102021,48.05,2021,M1200,0,-0.034755463,0.049531738,-0.119671803,0,0,0,0,0,0
1210,大成,21-Jun,12102021,49.97,33.87,42.24,4.05,3.19,0,0,12102020,42.24,2020,M1200,0,0.020359848,0.095880682,0.475346915,0,0,0,0,0,0
1210,大成,20-Jun,12102020,33.87,29.06,34.66,3.19,2.36,0,0,12102019,34.66,2019,M1200,0,0.023946913,0.09203693,0.165519615,0,0,0,0,0,0
1210,大成,19-Jun,12102019,29.06,26.36,24.37,2.36,3.39,0,0,12102018,24.37,2018,M1200,0,-0.04226508,0.096840378,0.102427921,0,0,0,0,0,0
1210,大成,18-Jun,12102018,26.36,19.93,21.71,3.39,2.76,0,0,12102017,21.71,2017,M1200,0,0.029018885,0.15614924,0.322629202,0,0,0,0,0,0
1213,大飲,23-Jun,12132023,6.45,7.53,7.13,-1.34,-1.64,1,1,12132022,7.13,2022,M1200,0,0.042075736,-0.187938289,-0.143426295,0,0,0,0,0,0
1213,大飲,22-Jun,12132022,7.53,8.88,8.42,-1.64,-0.48,1,1,12132021,8.42,2021,M1200,0,-0.137767221,-0.194774347,-0.152027027,0,0,0,0,0,0
1213,大飲,21-Jun,12132021,8.88,6,7.73,-0.48,-0.76,1,1,12132020,7.73,2020,M1200,0,0.03622251,-0.062095731,0.48,0,0,0,0,0,0
1213,大飲,20-Jun,12132020,6,#N/A,6.26,-0.76,-1.58,1,1,12132019,6.26,2019,M1200,0,0.130990415,-0.121405751,#N/A,0,0,0,0,0,0
1213,大飲,18-Jun,12132018,14.7,16.95,15.6,0.04,0.32,0,0,12132017,15.6,2017,M1200,0,-0.017948718,0.002564103,-0.132743363,0,0,0,0,0,0
1215,卜蜂,23-Jun,12152023,90.73,68.33,75.57,5.26,5.07,0,0,12152022,75.57,2022,M1200,0,0.002514225,0.06960434,0.327820869,0,0,0,0,0,0
1215,卜蜂,22-Jun,12152022,68.33,68.08,68.08,5.07,5.88,0,0,12152021,68.08,2021,M1200,0,-0.011897767,0.07447121,0.00367215,0,0,0,0,0,0
1215,卜蜂,21-Jun,12152021,68.08,54.59,57.95,5.88,2.52,0,0,12152020,57.95,2020,M1200,0,0.057981018,0.101466782,0.247114856,0,0,0,0,0,0
1215,卜蜂,20-Jun,12152020,54.59,50.06,50.05,2.52,3.56,0,0,12152019,50.05,2019,M1200,0,-0.020779221,0.05034965,0.09049141,0,0,0,0,0,0
1215,卜蜂,19-Jun,12152019,50.06,41.28,38.49,3.56,5.34,0,0,12152018,38.49,2018,M1200,0,-0.046245778,0.092491556,0.212693798,0,0,0,0,0,0
1215,卜蜂,18-Jun,12152018,41.28,49.18,44.09,5.34,4.71,0,0,12152017,44.09,2017,M1200,0,0.014288954,0.121115899,-0.160634404,0,0,0,0,0,0
1216,統一,23-Jun,12162023,73.15,61.7,63.85,2.98,3.31,0,0,12162022,63.85,2022,M1200,0,-0.005168363,0.046671887,0.185575365,0,0,0,0,0,0
1216,統一,22-Jun,12162022,61.7,64.84,63.17,3.31,3.46,0,0,12162021,63.17,2021,M1200,0,-0.002374545,0.05239829,-0.048426897,0,0,0,0,0,0
1216,統一,21-Jun,12162021,64.84,60.92,59.79,3.46,3.28,0,0,12162020,59.79,2020,M1200,0,0.003010537,0.057869209,0.064346684,0,0,0,0,0,0
1216,統一,20-Jun,12162020,60.92,68.48,63.4,3.28,2.99,0,0,12162019,63.4,2019,M1200,0,0.004574132,0.051735016,-0.110397196,0,0,0,0,0,0
1216,統一,19-Jun,12162019,68.48,59.62,57.8,2.99,-0.94,0,1,12162018,57.8,2018,M1200,-1,0.06799308,0.051730104,0.14860785,0,0,0,0,0,0
