代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,NI,Price,BVLAG,MV,BV,ADJEBEI,RD,ADV,CAPEX
1101,台泥,2022,M1100,11012022,0,0,0,0,0,7156182,238275780,4279352,37.53,225654673,1.190188117,1.055931069,0.02559553,0.002994944,0.003636424,0.137076638
1101,台泥,2021,M1100,11012021,0,0,0,0,0,6125234,225654673,19578311,34.57,218830053,0.967642865,1.03118685,0.094342101,0.001633925,0.003240067,0.105818098
1101,台泥,2020,M1100,11012020,0,0,0,0,0,5810255,218830053,28194434,41.69,208461867,1.161984849,1.049736607,0.140696274,0.000139335,0.0053071,0.078751089
1101,台泥,2019,M1100,11012019,0,0,0,0,0,5465619,208461867,26211318,31.49,197379456,0.871987115,1.056147743,0.138135855,0.000206445,0.005132824,0.076559548
1101,台泥,2018,M1100,11012018,0,0,0,0,0,5108060,197379456,22753293,29.31,152647216,0.980805563,1.293043274,0.155119567,0.000155037,0.005906501,0.068441772
1101,台泥,2017,M1100,11012017,0,0,0,0,0,4246509,152647216,10983992,23.69,147396671,0.682510653,1.03562187,0.080109889,0.000219808,0.005370135,0.051585846
1102,亞泥,2022,M1100,11022022,0,0,0,0,0,3545928,184233245,11027153,42.12,180272886,0.828491132,1.021968689,0.061169227,0,0,0.039632555
1102,亞泥,2021,M1100,11022021,0,0,0,0,0,3545572,180272886,17961642,38.37,169886952,0.800788972,1.061134383,0.105727025,0,0,0.046273048
1102,亞泥,2020,M1100,11022020,0,0,0,0,0,3361447,169886952,18849027,41.45,169449038,0.822264793,1.00258434,0.111237144,0,0,0.064457521
1102,亞泥,2019,M1100,11022019,0,0,0,0,0,3361447,169449038,20920406,33.33,159048346,0.704421211,1.065393274,0.131534886,0,0,0.053960127
1102,亞泥,2018,M1100,11022018,0,0,0,0,0,3361447,159048346,15923255,34.18,145796364,0.788046117,1.090893776,0.109215721,0,0,0.061209764
1102,亞泥,2017,M1100,11022017,0,0,0,0,0,3361447,145796364,6581964,23.44,140663221,0.560148681,1.036492432,0.046792359,0,0,0.042635623
1103,嘉泥,2022,M1100,11032022,1,0.693147181,1,0,0,774781,21999427,145499,20.77,25910233,0.621075132,0.849063264,0.007237102,0,0.001621599,0.021240334
1103,嘉泥,2021,M1100,11032021,0,0,0,0,0,774781,25910233,351163,16.85,25017349,0.521840258,1.035690592,0.015354465,0,0.001317686,0.025361
1103,嘉泥,2020,M1100,11032020,0,0,0,0,0,774781,25017349,1405267,19.54,23676225,0.639427136,1.056644334,0.060654137,0,0.00130063,0.05583597
1103,嘉泥,2019,M1100,11032019,0,0,0,0,0,774781,23676225,-117351,14.53,20919819,0.538129318,1.131760509,-0.004977003,0,0.000632558,0.161826352
