代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,MVE,BVE,Earnings,NetDiv,ADV,RD,ROA,S,SG,BM
1101,台泥,2022,M1100,11012022,0,0,0,0,0,7156182,238275780,460808961,4279352,37.53,268571510.5,238275780,4279352,3566090,0.007202476,0.00593193,-3.14,113929706,6.44,1.003208655
1101,台泥,2021,M1100,11012021,0,0,0,0,0,6125234,225654673,441684559,19578311,34.57,211749339.4,225654673,19578311,12232346,0.006623826,0.003340313,-2.12,107041452,-6.41,0.876938153
1101,台泥,2020,M1100,11012020,0,0,0,0,0,5810255,218830053,389506236,28194434,41.69,242229531,218830053,28194434,20594434,0.009673469,0.000253971,0.63,114367247,-6.85,1.066328649
1101,台泥,2019,M1100,11012019,0,0,0,0,0,5465619,208461867,367482385,26211318,31.49,172112342.3,208461867,26211318,16372857,0.008251255,0.00033187,0.95,122783014,-1.45,1.184857964
1101,台泥,2018,M1100,11012018,0,0,0,0,0,5108060,197379456,344085118,22753293,29.31,149717238.6,197379456,22753293,20431958,0.007236357,0.000189944,4.6,124594602,26.73,1.705242124
1101,台泥,2017,M1100,11012017,0,0,0,0,0,4246509,152647216,272557049,10983992,23.69,100599798.2,152647216,10983992,10601272,0.008051324,0.000329554,0.39,98311776,9.77,1.76294845
1102,亞泥,2022,M1100,11022022,0,0,0,0,0,3545928,184233245,324243127,11027153,42.12,149354487.4,184233245,11027153,8155633,0,0,-1.49,91122104,-3.1,1.335637141
1102,亞泥,2021,M1100,11022021,0,0,0,0,0,3545572,180272886,317056069,17961642,38.37,136043597.6,180272886,17961642,12054945,0,0,-0.5,94034188,17.63,1.310087973
1102,亞泥,2020,M1100,11022020,0,0,0,0,0,3361447,169886952,297086855,18849027,41.45,139331978.2,169886952,18849027,11933137,0,0,-1.66,79939010,-15.85,1.430912447
1102,亞泥,2019,M1100,11022019,0,0,0,0,0,3361447,169449038,297278512,20920406,33.33,112037028.5,169449038,20920406,10084341,0,0,3.02,94999021,10.95,1.375055979
1102,亞泥,2018,M1100,11022018,0,0,0,0,0,3361447,159048346,279187998,15923255,34.18,114894258.5,159048346,15923255,9412052,0,0,3.13,85624732,22.85,1.939157403
1102,亞泥,2017,M1100,11022017,0,0,0,0,0,3361447,145796364,247064348,6581964,23.44,78792317.68,145796364,6581964,4033736,0,0,0.79,69700034,14.36,2.198332294
1103,嘉泥,2022,M1100,11032022,1,0.693147181,1,0,0,774781,21999427,36412314,145499,20.77,16092201.37,21999427,145499,386672,0.018643459,0,-2.33,2253659,1.5,1.689136295
1103,嘉泥,2021,M1100,11032021,0,0,0,0,0,774781,25910233,40247651,351163,16.85,13055059.85,25910233,351163,502674,0.0148474,0,-2.78,2220254,7.86,1.730952835
1103,嘉泥,2020,M1100,11032020,0,0,0,0,0,774781,25017349,40646227,1405267,19.54,15139220.74,25017349,1405267,1079560,0.01496004,0,3.23,2058417,9.26,1.942814364
1103,嘉泥,2019,M1100,11032019,0,0,0,0,0,774781,23676225,38720634,-117351,14.53,11257567.93,23676225,-117351,771780,0.007023878,0,2.04,1884002,-9.96,1.660793642
