代號,名稱,Year,Industry,Key,RPA_Ctd,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,Price,eps2,eps1,dvps1
1101,台泥,2022,M1100,11012022,0,0,0,0,0,0,7156182,238275780,460808961,37.53,0.72,2.99,0.902681
1101,台泥,2021,M1100,11012021,0,0,0,0,0,0,6125234,225654673,441684559,34.57,2.99,4.35,3.569175
1101,台泥,2020,M1100,11012020,0,0,0,0,0,0,5810255,218830053,389506236,41.69,4.35,4.57,2.575195
1101,台泥,2019,M1100,11012019,0,0,0,0,0,0,5465619,208461867,367482385,31.49,4.57,4.17,3.318486
1101,台泥,2018,M1100,11012018,0,0,0,0,0,0,5108060,197379456,344085118,29.31,4.17,1.94,1.624944
1101,台泥,2017,M1100,11012017,0,0,0,0,0,0,4246509,152647216,272557049,23.69,1.94,1.94,1.63348
1102,亞泥,2022,M1100,11022022,0,0,0,0,0,0,3545928,184233245,324243127,42.12,2.95,4.37,3.496
1102,亞泥,2021,M1100,11022021,0,0,0,0,0,0,3545572,180272886,317056069,38.37,4.37,4.4,3.56928
1102,亞泥,2020,M1100,11022020,0,0,0,0,0,0,3361447,169886952,297086855,41.45,4.4,4.8,2.77248
1102,亞泥,2019,M1100,11022019,0,0,0,0,0,0,3361447,169449038,297278512,33.33,4.8,3.61,3.056226
1102,亞泥,2018,M1100,11022018,0,0,0,0,0,0,3361447,159048346,279187998,34.18,3.61,1.6,1.18016
1102,亞泥,2017,M1100,11022017,0,0,0,0,0,0,3361447,145796364,247064348,23.44,1.6,1.09,0.835703
1103,嘉泥,2022,M1100,11032022,1,1,0.693147181,1,0,0,774781,21999427,36412314,20.77,0.21,0.4,0.30564
1103,嘉泥,2021,M1100,11032021,0,0,0,0,0,0,774781,25910233,40247651,16.85,0.4,2.07,1.266633
1103,嘉泥,2020,M1100,11032020,0,0,0,0,0,0,774781,25017349,40646227,19.54,2.07,-0.35,-0.20818
1103,嘉泥,2019,M1100,11032019,0,0,0,0,0,0,774781,23676225,38720634,14.53,-0.35,-0.19,-0.209551
