代號,名稱,年/月,Year,Key,Equity,TA,NI,BVE,NB,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1101,台泥,22-Dec,2022,11012022,238275780,460808961,4279352,33.3,0.01795966,20,0.6,M1100,35.91,0,0,0,0,0,37.53
1101,台泥,21-Dec,2021,11012021,225654673,441684559,19578311,36.84,0.086762267,20,3.2,M1100,43.67,0,0,0,0,0,34.57
1101,台泥,20-Dec,2020,11012020,218830053,389506236,28194434,37.66,0.128841691,20,4.85,M1100,38.26,0,0,0,0,0,41.69
1101,台泥,19-Dec,2019,11012019,208461867,367482385,26211318,38.14,0.125736752,20,4.8,M1100,29.1,0,0,0,0,0,31.49
1101,台泥,18-Dec,2018,11012018,197379456,344085118,22753293,38.64,0.115276906,20,4.45,M1100,26.26,0,0,0,0,0,29.31
1101,台泥,17-Dec,2017,11012017,152647216,272557049,10983992,35.95,0.071956714,19,2.59,M1100,20.44,0,0,0,0,0,23.69
1102,亞泥,22-Dec,2022,11022022,184233245,324243127,11027153,51.96,0.059854306,20,3.11,M1100,41.08,0,0,0,0,0,42.12
1102,亞泥,21-Dec,2021,11022021,180272886,317056069,17961642,50.84,0.099635849,20,5.07,M1100,42.58,0,0,0,0,0,38.37
1102,亞泥,20-Dec,2020,11022020,169886952,297086855,18849027,50.54,0.11095041,20,5.61,M1100,39.08,0,0,0,0,0,41.45
1102,亞泥,19-Dec,2019,11022019,169449038,297278512,20920406,50.41,0.123461344,20,6.22,M1100,30.12,0,0,0,0,0,33.33
1102,亞泥,18-Dec,2018,11022018,159048346,279187998,15923255,47.32,0.100115816,19,4.74,M1100,28.82,0,0,0,0,0,34.18
1102,亞泥,17-Dec,2017,11022017,145796364,247064348,6581964,43.37,0.045144912,19,1.96,M1100,19.98,0,0,0,0,0,23.44
1103,嘉泥,22-Dec,2022,11032022,21999427,36412314,145499,28.39,0.006613763,17,0.19,M1100,18.31,1,0.693147181,1,0,0,20.77
1103,嘉泥,21-Dec,2021,11032021,25910233,40247651,351163,33.44,0.013553062,18,0.45,M1100,19.51,0,0,0,0,0,16.85
1103,嘉泥,20-Dec,2020,11032020,25017349,40646227,1405267,32.29,0.056171699,18,1.81,M1100,18.19,0,0,0,0,0,19.54
1103,嘉泥,19-Dec,2019,11032019,23676225,38720634,-117351,30.56,-0.004956491,17,-0.15,M1100,12.47,0,0,0,0,0,14.53
1103,嘉泥,18-Dec,2018,11032018,20919819,31985629,-54842,27,-0.002621533,17,-0.07,M1100,11.75,0,0,0,0,0,13.22
1103,嘉泥,17-Dec,2017,11032017,19260840,28317986,-307313,24.86,-0.015955327,17,-0.4,M1100,8.71,0,0,0,0,0,9.61
