,名稱,年/月,Year,Key,Equity,PreEquity,AT,NI,PreSale,OS,BVBV,PrePBRatio,PreAB,PBRatio,AB,NB,BVE,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1101,台泥,22-Dec,2022,11012022,238275780,225654673,460808961,4279352,107041452,7156182,1.055931069,1.190188117,2.04209802,1.127027027,1.933931183,0.01795966,33.3,20,0.6,M1100,35.91,0,0,0,0,0,37.53
1101,台泥,21-Dec,2021,11012021,225654673,218830053,441684559,19578311,114367247,6125234,1.03118685,0.967642865,2.018390769,0.938382193,1.957347274,0.086762267,36.84,20,3.2,M1100,43.67,0,0,0,0,0,34.57
1101,台泥,20-Dec,2020,11012020,218830053,208461867,389506236,28194434,122783014,5810255,1.049736607,1.161984849,1.868477154,1.10701009,1.779948552,0.128841691,37.66,20,4.85,M1100,38.26,0,0,0,0,0,41.69
1101,台泥,19-Dec,2019,11012019,208461867,197379456,367482385,26211318,124594602,5465619,1.056147743,0.871987115,1.861806656,0.82564237,1.762827851,0.125736752,38.14,20,4.8,M1100,29.1,0,0,0,0,0,31.49
1101,台泥,18-Dec,2018,11012018,197379456,152647216,344085118,22753293,98311776,5108060,1.293043274,0.980805563,2.254119839,0.758540373,1.743267131,0.115276906,38.64,20,4.45,M1100,26.26,0,0,0,0,0,29.31
1101,台泥,17-Dec,2017,11012017,152647216,147396671,272557049,10983992,89564306,4246509,1.03562187,0.682510653,1.849139788,0.658970793,1.785535669,0.071956714,35.95,19,2.59,M1100,20.44,0,0,0,0,0,23.69
1102,亞泥,22-Dec,2022,11022022,184233245,180272886,324243127,11027153,94034188,3545928,1.021968689,0.828491132,1.798623932,0.810623557,1.759959919,0.059854306,51.96,20,3.11,M1100,41.08,0,0,0,0,0,42.12
1102,亞泥,21-Dec,2021,11022021,180272886,169886952,317056069,17961642,79939010,3545572,1.061134383,0.800788972,1.866276752,0.754720692,1.758756272,0.099635849,50.84,20,5.07,M1100,42.58,0,0,0,0,0,38.37
1102,亞泥,20-Dec,2020,11022020,169886952,169449038,297086855,18849027,94999021,3361447,1.00258434,0.822264793,1.753251942,0.820142461,1.748732622,0.11095041,50.54,20,5.61,M1100,39.08,0,0,0,0,0,41.45
1102,亞泥,19-Dec,2019,11022019,169449038,159048346,297278512,20920406,85624732,3361447,1.065393274,0.704421211,1.86910785,0.661178338,1.754383002,0.123461344,50.41,20,6.22,M1100,30.12,0,0,0,0,0,33.33
1102,亞泥,18-Dec,2018,11022018,159048346,145796364,279187998,15923255,69700034,3361447,1.090893776,0.788046117,1.914917426,0.722316145,1.755365617,0.100115816,47.32,19,4.74,M1100,28.82,0,0,0,0,0,34.18
1102,亞泥,17-Dec,2017,11022017,145796364,140663221,247064348,6581964,60946190,3361447,1.036492432,0.560148681,1.756424645,0.54046576,1.694585113,0.045144912,43.37,19,1.96,M1100,19.98,0,0,0,0,0,23.44
1103,嘉泥,22-Dec,2022,11032022,21999427,25910233,36412314,145499,2220254,774781,0.849063264,0.621075132,1.40532561,0.731595632,1.655148291,0.006613763,28.39,17,0.19,M1100,18.31,1,0.693147181,1,0,0,20.77
1103,嘉泥,21-Dec,2021,11032021,25910233,25017349,40247651,351163,2058417,774781,1.035690592,0.521840258,1.608789604,0.50388756,1.553349636,0.013553062,33.44,18,0.45,M1100,19.51,0,0,0,0,0,16.85
1103,嘉泥,20-Dec,2020,11032020,25017349,23676225,40646227,1405267,1884002,774781,1.056644334,0.639427136,1.716752861,0.60514091,1.624721588,0.056171699,32.29,18,1.81,M1100,18.19,0,0,0,0,0,19.54
1103,嘉泥,19-Dec,2019,11032019,23676225,20919819,38720634,-117351,2092406,774781,1.131760509,0.538129318,1.850906741,0.475458115,1.635422623,-0.004956491,30.56,17,-0.15,M1100,12.47,0,0,0,0,0,14.53
1103,嘉泥,18-Dec,2018,11032018,20919819,19260840,31985629,-54842,2095607,774781,1.086132225,0.531783911,1.660655973,0.48962963,1.52896299,-0.002621533,27,17,-0.07,M1100,11.75,0,0,0,0,0,13.22
1103,嘉泥,17-Dec,2017,11032017,19260840,15813258,28317986,-307313,3140190,774781,1.21801845,0.470848285,1.790774931,0.386564763,1.470236293,-0.015955327,24.86,17,-0.4,M1100,8.71,0,0,0,0,0,9.61
1104,環泥,22-Dec,2022,11042022,21526478,19384476,27811895,1689186,6079107,653609,1.110500898,0.956584399,1.434750932,0.861524446,1.291985387,0.078470152,32.93,17,2.58,M1100,24.49,0,0,0,0,0,28.37
1104,環泥,21-Dec,2021,11042021,19384476,18785353,25096822,1115455,5426217,653609,1.031893092,0.675690618,1.335978195,0.654753877,1.294686635,0.057543727,29.66,17,1.71,M1100,18.85,0,0,0,0,0,19.42
1104,環泥,20-Dec,2020,11042020,18785353,18103046,24102936,1353491,5005731,653609,1.037690177,0.708017451,1.33142986,0.682324287,1.283070699,0.072050336,28.74,17,2.07,M1100,19.23,0,0,0,0,0,19.61
1104,環泥,19-Dec,2019,11042019,18103046,17829273,23401933,1141628,4780994,653609,1.015355253,0.524228257,1.312556771,0.516245487,1.292706929,0.063062758,27.7,17,1.75,M1100,12.55,0,0,0,0,0,14.3
1104,環泥,18-Dec,2018,11042018,17829273,17154761,22576572,1044833,4405376,653609,1.03931923,0.573416059,1.316052844,0.551686217,1.266264306,0.058602109,27.28,17,1.6,M1100,14.86,0,0,0,0,0,15.05
1104,環泥,17-Dec,2017,11042017,17154761,16396123,21229208,1360132,4622199,653609,1.046269353,0.571644471,1.294769989,0.546285714,1.237511149,0.079285978,26.25,17,2.08,M1100,15.91,0,0,0,0,0,14.34
1108,幸福,22-Dec,2022,11082022,4905789,4645574,9661871,608472,3769022,404738,1.05601353,1.408784675,2.079801333,1.334158416,1.969483604,0.124031425,12.12,16,1.5,M1100,13.46,0,0,0,0,0,16.17
1108,幸福,21-Dec,2021,11082021,4645574,4656919,8041710,248395,4530172,404738,0.99756384,0.839561324,1.72683055,0.841463415,1.73104766,0.053469173,11.48,16,0.61,M1100,10.61,0,0,0,0,0,9.66
1108,幸福,20-Dec,2020,11082020,4656919,4320937,8027307,377083,3731696,404738,1.077756746,1.094991022,1.85776997,1.015638575,1.723737733,0.080972634,11.51,16,0.93,M1100,10.88,0,0,0,0,0,11.69
1108,幸福,19-Dec,2019,11082019,4320937,4226998,7328877,42219,3330601,404738,1.022223573,0.790900748,1.733825519,0.77340824,1.696131418,0.009770797,10.68,16,0.1,M1100,5.31,0,0,0,0,0,8.26
1108,幸福,18-Dec,2018,11082018,4226998,4428542,7293497,-197814,3434454,404738,0.954489762,0.535563325,1.646929622,0.561302682,1.725455512,-0.046797751,10.44,16,-0.49,M1100,6.3,0,0,0,0,0,5.86
1108,幸福,17-Dec,2017,11082017,4428542,4801836,7236852,-101866,4251061,404738,0.922260152,0.563045019,1.507101034,0.610603291,1.63413873,-0.023002153,10.94,16,-0.25,M1100,6.54,0,0,0,0,0,6.68
1109,信大,22-Dec,2022,11092022,9663552,9853172,11490026,518737,7378229,341159,0.980755436,0.612157295,1.166124574,0.62407342,1.189006485,0.053679744,28.33,16,1.52,M1100,16.29,0,0,0,0,0,17.68
1109,信大,21-Dec,2021,11092021,9853172,9541016,11702345,1172377,7593294,341958,1.03271727,0.628289874,1.226530277,0.608469281,1.187672863,0.118984729,28.81,16,3.43,M1100,18.76,0,0,0,0,0,17.53
1109,信大,20-Dec,2020,11092020,9541016,8630122,11811053,1425724,7822895,341958,1.105548218,0.855477271,1.368584708,0.773835125,1.237924032,0.149431046,27.9,16,4.17,M1100,19.14,0,0,0,0,0,21.59
1109,信大,19-Dec,2019,11092019,8630122,7690087,11191294,1439626,6701130,341958,1.122239839,0.627879367,1.455288347,0.559429477,1.296771239,0.166814096,25.24,16,4.21,M1100,12.48,0,0,0,0,0,14.12
1109,信大,18-Dec,2018,11092018,7690087,6795076,10172476,1222069,5375877,341958,1.131714642,0.72064515,1.497036383,0.636727434,1.32280376,0.158914847,22.49,16,3.57,M1100,10.69,0,0,0,0,0,14.32
1109,信大,17-Dec,2017,11092017,6795076,6328821,8576925,708939,4346147,359956,1.0736717,0.663739189,1.355216872,0.618114407,1.2622265,0.104331283,18.88,16,1.97,M1100,10.69,0,0,0,0,0,11.67
1110,東泥,22-Dec,2022,11102022,8726668,8710709,11989689,41631,1846785,572001,1.001832113,1.257511777,1.376430897,1.25491481,1.373913732,0.004770549,15.26,16,0.07,M1100,17.46,0,0,0,0,0,19.15
1110,東泥,21-Dec,2021,11102021,8710709,8548719,10958500,115778,1590986,572001,1.018949038,1.303420955,1.281887965,1.279054498,1.258049144,0.013291455,15.23,16,0.2,M1100,21.06,0,0,0,0,0,19.48
1110,東泥,20-Dec,2020,11102020,8548719,8570984,9865320,12863,1584940,572001,0.997402282,1.019072637,1.151013699,1.021404682,1.154011496,0.00150467,14.95,16,0.02,M1100,15.86,0,0,0,0,0,15.27
1110,東泥,19-Dec,2019,11102019,8570984,8512138,9740348,10103,1676187,572001,1.006913187,1.072484487,1.144289249,1.065420561,1.136432876,0.001178744,14.98,16,0.02,M1100,15.67,0,0,0,0,0,15.96
1110,東泥,18-Dec,2018,11102018,8512138,8579809,9247751,58718,1716725,572001,0.992112761,1.083359344,1.077850451,1.092069892,1.086419299,0.006898149,14.88,16,0.1,M1100,15.91,0,0,0,0,0,16.25
1110,東泥,17-Dec,2017,11102017,8579809,8640850,9365291,-108408,1478515,572001,0.992935764,0.906241133,1.08383909,0.912666667,1.091550057,-0.012635246,15,16,-0.19,M1100,13.45,0,0,0,0,0,13.69
1201,味全,22-Dec,2022,12012022,7232656,7052053,17608226,455999,19817862,506063,1.025609989,1.438809826,2.4968936,1.403079076,2.434544931,0.06304724,14.29,17,0.9,M1200,19.76,0,0,0,0,0,20.05
1201,味全,21-Dec,2021,12012021,7052053,6855788,17959094,576643,18650871,506063,1.028627636,1.43644844,2.619552122,1.395982783,2.546647622,0.081769522,13.94,17,1.14,M1200,20.67,0,0,0,0,0,19.46
1201,味全,20-Dec,2020,12012020,6855788,6943795,18031521,678202,20228119,506063,0.987325807,1.464885743,2.596781875,1.483394834,2.63011648,0.098924004,13.55,17,1.34,M1200,20.24,0,0,0,0,0,20.1
1201,味全,19-Dec,2019,12012019,6943795,6200442,19096943,176864,19436763,506063,1.119887098,1.657646266,3.079932527,1.4803207,2.750216992,0.025470798,13.72,17,0.35,M1200,17.62,0,0,0,0,0,20.31
1201,味全,18-Dec,2018,12012018,6200442,7807916,21242697,104659,17749330,506063,0.794122529,1.828405586,2.72066157,2.302857143,3.425997211,0.016879281,12.25,17,0.21,M1200,20.86,0,0,0,0,0,28.21
1201,味全,17-Dec,2017,12012017,7807916,7089386,32862642,444045,17074511,506063,1.101352924,1.479773564,4.635470829,1.343486714,4.208887749,0.056871129,15.43,17,0.88,M1200,21.03,0,0,0,0,0,20.73
1203,味王,22-Dec,2022,12032022,6575579,6251420,10000966,779655,5824838,240000,1.051853659,1.713786628,1.599791087,1.62919708,1.520925534,0.118568266,27.4,16,3.25,M1200,37.73,0,0,0,0,0,44.64
1203,味王,21-Dec,2021,12032021,6251420,6312382,9582739,699389,6043700,240000,0.990342473,1.202588817,1.518086041,1.214203455,1.532889967,0.111876822,26.05,16,2.91,M1200,31.54,0,0,0,0,0,31.63
1203,味王,20-Dec,2020,12032020,6312382,6215574,9331602,692673,6323237,240000,1.01557507,1.214755065,1.501325863,1.196197719,1.478301218,0.109732427,26.3,16,2.89,M1200,34.78,0,0,0,0,0,31.46
1203,味王,19-Dec,2019,12032019,6215574,5879648,9425026,711057,6081031,240000,1.057133692,1.060879835,1.60299154,1.003474903,1.516356494,0.114399249,25.9,16,2.96,M1200,23.12,0,0,0,0,0,25.99
1203,味王,18-Dec,2018,12032018,5879648,5609073,9025005,697733,6195171,240000,1.048238809,0.963581683,1.609001167,0.919183673,1.534956684,0.118669179,24.5,16,2.91,M1200,21.84,0,0,0,0,0,22.52
1203,味王,17-Dec,2017,12032017,5609073,5282872,9192281,743410,6346767,240000,1.061746906,0.944031958,1.740015847,0.889174155,1.638823563,0.132537052,23.37,16,3.1,M1200,21.26,0,0,0,0,0,20.78
1210,大成,22-Dec,2022,12102022,28896226,27739609,62341521,1147885,101437842,894767,1.041695505,1.670212268,2.247382831,1.603592443,2.15742779,0.039724392,32.29,18,1.28,M1200,49.64,0,0,0,0,0,51.78
1210,大成,21-Dec,2021,12102021,27739609,27886752,56732130,2306606,81650892,852159,0.994723552,1.34423953,2.034375678,1.351459293,2.045166895,0.083152073,32.55,18,2.71,M1200,48.68,0,0,0,0,0,43.99
1210,大成,20-Dec,2020,12102020,27886752,24324519,51693036,4117566,77769986,827339,1.146446185,1.69960729,2.125141138,1.482349451,1.853677187,0.147653122,33.71,18,4.98,M1200,45.4,0,0,0,0,0,49.97
1210,大成,19-Dec,2019,12102019,24324519,22222633,47300737,3182623,72442933,827339,1.094583122,1.260965428,2.12849382,1.152040816,1.944570291,0.130840121,29.4,18,3.85,M1200,29.34,0,0,0,0,0,33.87
1210,大成,18-Dec,2018,12102018,22222633,21722937,42526281,2133268,75931014,787942,1.023003151,1.054074526,1.957667188,1.030496454,1.913647271,0.095995286,28.2,18,2.71,M1200,25.68,0,0,0,0,0,29.06
1210,大成,17-Dec,2017,12102017,21722937,20183014,40747852,2728953,75795660,736394,1.07629797,0.961766456,2.018918086,0.893559322,1.875798471,0.125625416,29.5,18,3.71,M1200,22.35,0,0,0,0,0,26.36
1213,大飲,22-Dec,2022,12132022,365894,441715,1058384,-75809,428407,56623,0.828348596,0.82681899,2.39607892,0.998452012,2.89259731,-0.207188421,6.46,14,-1.34,M1200,7,0,0,0,0,0,6.45
1213,大飲,21-Dec,2021,12132021,441715,536146,1122852,-92898,409612,56623,0.823870737,0.795252021,2.094302671,0.965384615,2.542028231,-0.210312079,7.8,14,-1.64,M1200,7.9,0,0,0,0,0,7.53
1213,大飲,20-Dec,2020,12132020,536146,563407,1255281,-27252,435368,56623,0.95161402,0.892449402,2.228018111,0.937697994,2.341304421,-0.050829438,9.47,14,-0.48,M1200,9.68,0,0,0,0,0,8.88
1213,大飲,19-Dec,2019,12132019,563407,606465,1266002,-43093,594238,56623,0.929001674,0.560193911,2.087510409,0.603015075,2.247046984,-0.076486448,9.95,14,-0.76,M1200,5.85,0,0,0,0,0,6
1213,大飲,18-Dec,2018,12132018,606465,696026,1369872,-89640,649522,56623,0.871325209,#N/A,1.968133374,#N/A,2.258781628,-0.147807376,10.71,14,-1.58,M1200,10.7,0,0,0,0,0,#N/A
1213,大飲,17-Dec,2017,12132017,696026,694041,864866,1989,671770,56623,1.002860062,1.199292405,1.246130992,1.196094386,1.242577145,0.002857652,12.29,14,0.04,M1200,15.1,0,0,0,0,0,14.7
1215,卜蜂,22-Dec,2022,12152022,9487764,8593007,26393745,1544863,24841345,294790,1.104126181,3.11256545,3.071537705,2.819453076,2.781871999,0.162826879,32.18,17,5.24,M1200,80.21,0,0,0,0,0,90.73
1215,卜蜂,21-Dec,2021,12152021,8593007,8733486,23177472,1315857,22189635,267991,0.9839149,2.096737206,2.653862616,2.131316282,2.697248123,0.153131145,32.06,17,4.91,M1200,68.67,0,0,0,0,0,68.33
1215,卜蜂,20-Dec,2020,12152020,8733486,8626994,19546349,1557466,21173634,267991,1.012344045,2.114853364,2.265719554,2.088984351,2.238092441,0.178332684,32.59,17,5.81,M1200,61.32,0,0,0,0,0,68.08
1215,卜蜂,19-Dec,2019,12152019,8626994,7256685,18650361,1035296,21235086,267991,1.18883402,2.016020909,2.570093782,1.695868282,2.161860898,0.120006575,32.19,17,3.86,M1200,44.69,0,0,0,0,0,54.59
1215,卜蜂,18-Dec,2018,12152018,7256685,6957514,15790164,997471,19865000,267991,1.042999698,1.928221698,2.269512357,1.84859675,2.175947282,0.137455463,27.08,17,3.72,M1200,37.47,0,0,0,0,0,50.06
1215,卜蜂,17-Dec,2017,12152017,6957514,6608737,13886122,1475578,18172909,267991,1.052775137,1.673945942,2.101176367,1.590138675,1.995845355,0.212084086,25.96,16,5.51,M1200,44.92,0,0,0,0,0,41.28
1216,統一,22-Dec,2022,12162022,192194954,180993745,551399914,26297163,473501669,5682015,1.061887271,2.296429621,3.046513646,2.162281998,2.86896145,0.13682546,33.83,20,4.63,M1200,68.93,0,0,0,0,0,73.15
1216,統一,21-Dec,2021,12162021,180993745,180598593,514039630,27718528,447319979,5682015,1.002188013,1.941212939,2.84631027,1.937205651,2.840096104,0.153146331,31.85,20,4.88,M1200,60.41,0,0,0,0,0,61.7
1216,統一,20-Dec,2020,12162020,180598593,174005305,495338492,28898990,447977703,5682015,1.037891305,2.117302416,2.846686151,2.040276904,2.742759419,0.160017803,31.78,20,5.09,M1200,64.66,0,0,0,0,0,64.84
1216,統一,19-Dec,2019,12162019,174005305,170300834,477455273,28120518,431445520,5682015,1.021752512,2.032569927,2.803599147,1.989549314,2.743912164,0.161607245,30.62,20,4.95,M1200,56.05,0,0,0,0,0,60.92
1216,統一,18-Dec,2018,12162018,170300834,191300194,407150086,26497612,399860953,5682015,0.890228235,2.033998916,2.128330753,2.284951618,2.390769772,0.155592967,29.97,20,4.66,M1200,61.94,0,0,0,0,0,68.48
1216,統一,17-Dec,2017,12162017,191300194,152700266,414655454,14788021,413364315,5682015,1.252782323,2.218475077,2.715486128,1.770715771,2.167564211,0.077302697,33.67,20,2.6,M1200,53.15,0,0,0,0,0,59.62
1217,愛之味,22-Dec,2022,12172022,7517472,7397369,13755189,130615,4710880,494513,1.016235908,0.855678066,1.859470441,0.842105263,1.829762585,0.017374857,15.2,16,0.26,M1200,11.21,0,0,0,0,0,12.8
1217,愛之味,21-Dec,2021,12172021,7397369,6858474,13836774,210361,4614486,494513,1.078573601,0.708046376,2.017471233,0.656417112,1.870499363,0.028437273,14.96,16,0.43,M1200,10.8,0,0,0,0,0,9.82
1217,愛之味,20-Dec,2020,12172020,6858474,6439266,13340859,223646,4468238,494513,1.06510183,0.840153555,2.07179809,0.788752704,1.945164332,0.032608712,13.87,16,0.45,M1200,8.49,0,0,0,0,0,10.94
1217,愛之味,19-Dec,2019,12172019,6439266,6271960,12895986,23601,4321819,494513,1.026675234,0.564530558,2.05613333,0.549923195,2.002710557,0.003665169,13.02,16,0.05,M1200,6.43,0,0,0,0,0,7.16
1217,愛之味,18-Dec,2018,12172018,6271960,6123799,12584818,-35217,4146490,494513,1.024194295,0.541042758,2.055067124,0.528391167,2.006520769,-0.005614991,12.68,16,-0.07,M1200,6.8,0,0,0,0,0,6.7
1217,愛之味,17-Dec,2017,12172017,6123799,6041375,12242288,-44018,4114545,494513,1.013643252,0.602448231,2.026407565,0.59450727,1.999132891,-0.007188022,12.38,16,-0.09,M1200,6.98,0,0,0,0,0,7.36
1218,泰山,22-Dec,2022,12182022,12567859,6991127,16654604,-285606,9944978,499999,1.797687125,1.968920386,2.382248813,1.095067621,1.32517432,-0.022725112,25.14,17,-0.57,M1200,28.31,0,0,0,0,0,27.53
