代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,BV,E,CAP,RD_Null,RD,delSales,ROA,BM,TA
1101,台泥,2022,M1100,11012022,0,0,0,0,0,7156182,238275780,460808961,4279352,37.53,33.29649525,0.597993735,4.322414382,0.094439046,0.094439046,6.44,4.33,1.003208655,64.39313044
1101,台泥,2021,M1100,11012021,0,0,0,0,0,6125234,225654673,441684559,19578311,34.57,36.84017182,3.196336826,3.780456387,0.058373607,0.058373607,-6.41,13.4,0.876938153,72.10900988
1101,台泥,2020,M1100,11012020,0,0,0,0,0,5810255,218830053,389506236,28194434,41.69,37.66272788,4.852529536,2.825452411,0.004999092,0.004999092,-6.85,5.99,1.066328649,67.03771797
1101,台泥,2019,M1100,11012019,0,0,0,0,0,5465619,208461867,367482385,26211318,31.49,38.14057786,4.795672366,2.764788764,0.007455331,0.007455331,-1.45,6.8,1.184857964,67.23527289
1101,台泥,2018,M1100,11012018,0,0,0,0,0,5108060,197379456,344085118,22753293,29.31,38.64078652,4.454390316,2.045286469,0.00463307,0.00463307,26.73,26.24,1.705242124,67.36121306
1101,台泥,2017,M1100,11012017,0,0,0,0,0,4246509,152647216,272557049,10983992,23.69,35.94651889,2.586593364,1.790548896,0.007629561,0.007629561,9.77,2.09,1.76294845,64.18379167
1102,亞泥,2022,M1100,11022022,0,0,0,0,0,3545928,184233245,324243127,11027153,42.12,51.95628479,3.109807362,2.014895678,0,0,-3.1,2.27,1.335637141,91.44097878
1102,亞泥,2021,M1100,11022021,0,0,0,0,0,3545572,180272886,317056069,17961642,38.37,50.84451423,5.065936328,2.21718442,0,0,17.63,6.72,1.310087973,89.42310832
1102,亞泥,2020,M1100,11022020,0,0,0,0,0,3361447,169886952,297086855,18849027,41.45,50.53982764,5.607414604,3.249274791,0,0,-15.85,-0.06,1.430912447,88.3806453
1102,亞泥,2019,M1100,11022019,0,0,0,0,0,3361447,169449038,297278512,20920406,33.33,50.4095522,6.223631073,2.553147201,0,0,10.95,6.48,1.375055979,88.43766152
1102,亞泥,2018,M1100,11022018,0,0,0,0,0,3361447,159048346,279187998,15923255,34.18,47.31544064,4.737023966,2.654856971,0,0,22.85,13,1.939157403,83.05589765
1102,亞泥,2017,M1100,11022017,0,0,0,0,0,3361447,145796364,247064348,6581964,23.44,43.37309617,1.958074603,1.784131655,0,0,14.36,3.6,2.198332294,73.49940308
1103,嘉泥,2022,M1100,11032022,1,0.693147181,1,0,0,774781,21999427,36412314,145499,20.77,28.39438112,0.187793712,0.710319432,0,0,1.5,-9.53,1.689136295,46.99691139
1103,嘉泥,2021,M1100,11032021,0,0,0,0,0,774781,25910233,40247651,351163,16.85,33.44200877,0.453241626,0.81889592,0,0,7.86,-0.98,1.730952835,51.94713216
1103,嘉泥,2020,M1100,11032020,0,0,0,0,0,774781,25017349,40646227,1405267,19.54,32.28957473,1.813760275,1.706269255,0,0,9.26,4.97,1.942814364,52.46156914
1103,嘉泥,2019,M1100,11032019,0,0,0,0,0,774781,23676225,38720634,-117351,14.53,30.55860301,-0.151463446,4.369464403,0,0,-9.96,21.06,1.660793642,49.9762307
1103,嘉泥,2018,M1100,11032018,0,0,0,0,0,774781,20919819,31985629,-54842,13.22,27.00094478,-0.070783873,1.091531672,0,0,-0.15,12.95,2.569071816,41.28344526
1103,嘉泥,2017,M1100,11032017,0,0,0,0,0,774781,19260840,28317986,-307313,9.61,24.85972165,-0.396644987,0.613992857,0,0,-33.26,8.38,2.490954073,36.549665
1104,環泥,2022,M1100,11042022,0,0,0,0,0,653609,21526478,27811895,1689186,28.37,32.93479435,2.584398318,0.758220894,0.141300074,0.141300074,16.07,10.82,1.605792021,42.55127301
1104,環泥,2021,M1100,11042021,0,0,0,0,0,653609,19384476,25096822,1115455,19.42,29.65760263,1.706608997,0.577132506,0.120382369,0.120382369,12.03,4.12,1.555196782,38.39730175
1104,環泥,2020,M1100,11042020,0,0,0,0,0,653609,18785353,24102936,1353491,19.61,28.7409644,2.070796149,0.465247572,0.105866045,0.105866045,8.4,3,1.47540885,36.87668927
1104,環泥,2019,M1100,11042019,0,0,0,0,0,653609,18103046,23401933,1141628,14.3,27.69705742,1.746652815,0.569848334,0.105094942,0.105094942,4.7,3.66,1.778873309,35.80417803
1104,環泥,2018,M1100,11042018,0,0,0,0,0,653609,17829273,22576572,1044833,15.05,27.27819384,1.598559689,0.579032724,0.11163861,0.11163861,8.53,6.35,1.912916819,34.54140319
1104,環泥,2017,M1100,11042017,0,0,0,0,0,653609,17154761,21229208,1360132,14.34,26.24621295,2.080956658,0.670599701,0.130761663,0.130761663,-4.69,4.34,1.603311726,32.47998115
1108,幸福,2022,M1100,11082022,0,0,0,0,0,404738,4905789,9661871,608472,16.17,12.12090043,1.503372552,2.756321373,0,0,10.09,20.15,1.185998086,23.87191467
1108,幸福,2021,M1100,11082021,0,0,0,0,0,404738,4645574,8041710,248395,9.66,11.47797835,0.61371801,1.050647579,0,0,-16.8,0.18,1.068713068,19.86892755
1108,幸福,2020,M1100,11082020,0,0,0,0,0,404738,4656919,8027307,377083,11.69,11.50600883,0.931671847,2.096114029,0,0,21.4,9.53,1.062420021,19.83334157
1108,幸福,2019,M1100,11082019,0,0,0,0,0,404738,4320937,7328877,42219,8.26,10.67588662,0.104311925,0.64444406,0,0,12.04,0.49,1.514310159,18.10770671
1108,幸福,2018,M1100,11082018,0,0,0,0,0,404738,4226998,7293497,-197814,5.86,10.44378833,-0.488745806,1.747308135,0,0,-3.02,0.78,1.692672338,18.02029214
1108,幸福,2017,M1100,11082017,0,0,0,0,0,404738,4428542,7236852,-101866,6.68,10.94174997,-0.251683805,0.756941528,0,0,-19.21,-6.65,1.554225848,17.8803374
1109,信大,2022,M1100,11092022,0,0,0,0,0,341159,9663552,11490026,518737,17.68,28.32565461,1.520513895,1.643910904,0,0,-13.42,-1.81,1.89342611,33.67938703
1109,信大,2021,M1100,11092021,0,0,0,0,0,341958,9853172,11702345,1172377,17.53,28.813983,3.428423958,1.312655355,0,0,-2.83,-0.92,1.568534731,34.22158569
1109,信大,2020,M1100,11092020,0,0,0,0,0,341958,9541016,11811053,1425724,21.59,27.90113406,4.169295644,1.374086876,0,0,-2.93,5.54,1.679779293,34.53948438
1109,信大,2019,M1100,11092019,0,0,0,0,0,341958,8630122,11191294,1439626,14.12,25.23737418,4.20994976,1.443785494,0,0,16.74,10.02,1.609526415,32.72710099
1109,信大,2018,M1100,11092018,0,0,0,0,0,341958,7690087,10172476,1222069,14.32,22.48839624,3.57374005,1.416723691,0,0,24.65,18.6,2.179108162,29.7477351
1109,信大,2017,M1100,11092017,0,0,0,0,0,359956,6795076,8576925,708939,11.67,18.87751836,1.969515719,1.310468502,0,0,23.69,-0.77,1.908748065,23.82770394
1110,東泥,2022,M1100,11102022,0,0,0,0,0,572001,8726668,11989689,41631,19.15,15.25638592,0.072781341,0.517583011,0,0,-2.86,9.41,0.819795052,20.96095811
1110,東泥,2021,M1100,11102021,0,0,0,0,0,572001,8710709,10958500,115778,19.48,15.22848561,0.202408737,1.762496919,0,0,16.08,11.08,0.764098626,19.15818329
1110,東泥,2020,M1100,11102020,0,0,0,0,0,572001,8548719,9865320,12863,15.27,14.94528681,0.022487723,0.184153524,0,0,0.38,1.28,0.852554866,17.24703278
1110,東泥,2019,M1100,11102019,0,0,0,0,0,572001,8570984,9740348,10103,15.96,14.98421157,0.017662557,0.152345888,0,0,-5.44,5.33,0.882462401,17.02855065
1110,東泥,2018,M1100,11102018,0,0,0,0,0,572001,8512138,9247751,58718,16.25,14.88133412,0.102653667,0.037529655,0,0,-2.36,-1.26,0.907398422,16.16736859
1110,東泥,2017,M1100,11102017,0,0,0,0,0,572001,8579809,9365291,-108408,13.69,14.99963986,-0.189524144,0.061545347,0,0,16.11,1.71,1.058549037,16.37285774
1201,味全,2022,M1200,12012022,0,0,0,0,0,506063,7232656,17608226,455999,20.05,14.29200712,0.901071606,3.680508158,0.415635998,0.415635998,0.78,-1.95,0.759405267,34.79453349
1201,味全,2021,M1200,12012021,0,0,0,0,0,506063,7052053,17959094,576643,19.46,13.93512863,1.139468801,3.796971919,0.445772562,0.445772562,6.26,-0.4,0.649959358,35.48786218
1201,味全,2020,M1200,12012020,0,0,0,0,0,506063,6855788,18031521,678202,20.1,13.54730142,1.340153301,3.348464519,0.452868516,0.452868516,-7.8,-5.58,0.646958043,35.63098073
1201,味全,2019,M1200,12012019,0,0,0,0,0,506063,6943795,19096943,176864,20.31,13.72120665,0.349490083,4.287325886,0.465349176,0.465349176,4.07,-10.1,0.620307715,37.73629568
1201,味全,2018,M1200,12012018,0,0,0,0,0,506063,6200442,21242697,104659,28.21,12.25231246,0.206810219,4.287434568,0.485992851,0.485992851,9.51,-35.36,0.640141717,41.97638832
1201,味全,2017,M1200,12012017,0,0,0,0,0,506063,7807916,32862642,444045,20.73,15.42874306,0.877450041,3.507832029,0.485002855,0.485002855,3.95,-2.97,0.848199179,64.93784766
1203,味王,2022,M1200,12032022,0,0,0,0,0,240000,6575579,10000966,779655,44.64,27.39824583,3.2485625,1.590666667,0.033054167,0.033054167,9.63,4.36,0.806305057,41.67069167
1203,味王,2021,M1200,12032021,0,0,0,0,0,240000,6251420,9582739,699389,31.63,26.04758333,2.914120833,1.011858333,0.040704167,0.040704167,-3.62,2.69,0.85011695,39.92807917
1203,味王,2020,M1200,12032020,0,0,0,0,0,240000,6312382,9331602,692673,31.46,26.30159167,2.8861375,0.963225,0.035383333,0.035383333,-4.42,-0.99,0.789126663,38.881675
1203,味王,2019,M1200,12032019,0,0,0,0,0,240000,6215574,9425026,711057,25.99,25.898225,2.9627375,1.131379167,0.0369125,0.0369125,3.98,4.43,1.084969627,39.27094167
1203,味王,2018,M1200,12032018,0,0,0,0,0,240000,5879648,9025005,697733,22.52,24.49853333,2.907220833,1.907070833,0.042779167,0.042779167,-1.84,-1.82,1.109032745,37.6041875
1203,味王,2017,M1200,12032017,0,0,0,0,0,240000,5609073,9192281,743410,20.78,23.3711375,3.097541667,1.15765,0.032704167,0.032704167,-2.39,6.88,1.147331247,38.30117083
1210,大成,2022,M1200,12102022,0,0,0,0,0,894767,28896226,62341521,1147885,51.78,32.29469348,1.282887053,6.685443249,0.169862098,0.169862098,11.69,9.89,0.729823581,69.67346918
1210,大成,2021,M1200,12102021,0,0,0,0,0,852159,27739609,56732130,2306606,43.99,32.55215165,2.706778899,5.942751294,0.162281922,0.162281922,24.23,9.75,0.677464134,66.57458291
1210,大成,2020,M1200,12102020,0,0,0,0,0,827339,27886752,51693036,4117566,49.97,33.70656043,4.976878885,6.365666311,0.204426481,0.204426481,4.99,9.29,0.797977283,62.48108212
1210,大成,2019,M1200,12102019,0,0,0,0,0,827339,24324519,47300737,3182623,33.87,29.40090942,3.846818535,8.519183793,0.200672276,0.200672276,7.35,11.23,0.848266285,57.172135
1210,大成,2018,M1200,12102018,0,0,0,0,0,787942,22222633,42526281,2133268,29.06,28.2033868,2.707392168,5.200917073,0.055704608,0.055704608,-4.59,4.36,1.157299417,53.97133418
1210,大成,2017,M1200,12102017,0,0,0,0,0,736394,21722937,40747852,2728953,26.36,29.49906843,3.705832747,5.908599201,0.186435522,0.186435522,0.18,7.62,1.35877791,55.33430745
1213,大飲,2022,M1200,12132022,0,0,0,0,0,56623,365894,1058384,-75809,6.45,6.46193243,-1.338837575,0.44208184,0,0,-8.04,-5.74,0.906301884,18.69176836
1213,大飲,2021,M1200,12132021,0,0,0,0,0,56623,441715,1122852,-92898,7.53,7.800981933,-1.640640729,0.463610194,0,0,4.59,-10.55,0.926482415,19.8303163
1213,大飲,2020,M1200,12132020,0,0,0,0,0,56623,536146,1255281,-27252,8.88,9.468696466,-0.481288522,0.446126132,0,0,-5.92,-0.85,1.224928391,22.1691009
1213,大飲,2019,M1200,12132019,0,0,0,0,0,56623,563407,1266002,-43093,6,9.950143934,-0.761051163,1.597054201,0,0,-26.74,-7.58,1.589479862,22.35844092
6689,伊雲谷,2020,M2331,66892020,1,0.693147181,1,0,0,49224,1619896,3454826,164967,#N/A,32.90866244,3.351352999,0.699699334,0.831037705,0.831037705,3.86,5.12,#N/A,70.18580367
1213,大飲,2017,M1200,12132017,0,0,0,0,0,56623,696026,864866,1989,14.7,12.29228405,0.035127069,0.594564046,0,0,-3.31,1.6,0.787966927,15.27411123
1215,卜蜂,2022,M1200,12152022,0,0,0,0,0,294790,9487764,26393745,1544863,90.73,32.18482309,5.240554293,10.88717053,0,0,16.58,13.88,0.425894179,89.53405814
1215,卜蜂,2021,M1200,12152021,0,0,0,0,0,267991,8593007,23177472,1315857,68.33,32.06453575,4.91007907,11.67529507,0,0,11.95,18.58,0.470983193,86.48600886
1215,卜蜂,2020,M1200,12152020,0,0,0,0,0,267991,8733486,19546349,1557466,68.08,32.58872873,5.811635465,13.23274289,0,0,4.8,4.8,0.562359426,72.93658742
1215,卜蜂,2019,M1200,12152019,0,0,0,0,0,267991,8626994,18650361,1035296,54.59,32.19135717,3.86317451,9.773067006,0,0,-0.29,18.11,0.643183959,69.59323634
1215,卜蜂,2018,M1200,12152018,0,0,0,0,0,267991,7256685,15790164,997471,50.06,27.07809217,3.72203171,8.474459963,0,0,6.9,13.71,0.703509799,58.92050106
1215,卜蜂,2017,M1200,12152017,0,0,0,0,0,267991,6957514,13886122,1475578,41.28,25.96174498,5.506072965,11.4489106,0,0,9.31,24.13,0.588835223,51.81562814
1216,統一,2022,M1200,12162022,0,0,0,0,0,5682015,192194954,551399914,26297163,73.15,33.8251402,4.628140369,9.510796962,0.161709886,0.161709886,10.84,7.27,0.529759439,97.04302329
1216,統一,2021,M1200,12162021,0,0,0,0,0,5682015,180993745,514039630,27718528,61.7,31.8537957,4.878291944,8.643124138,0.164123643,0.164123643,5.85,3.78,0.504255116,90.46784107
1216,統一,2020,M1200,12162020,0,0,0,0,0,5682015,180598593,495338492,28898990,64.84,31.78425136,5.086046059,8.466574446,0.158901376,0.158901376,-0.15,3.75,0.531598116,87.1765548
1216,統一,2019,M1200,12162019,0,0,0,0,0,5682015,174005305,477455273,28120518,60.92,30.62387287,4.949039733,8.075366749,0.160722209,0.160722209,3.83,17.27,0.483026386,84.02921728
1216,統一,2018,M1200,12162018,0,0,0,0,0,5682015,170300834,407150086,26497612,68.48,29.97190856,4.663418171,5.946391377,0.166824973,0.166824973,7.9,-1.81,0.518545131,71.65593297
1216,統一,2017,M1200,12162017,0,0,0,0,0,5682015,191300194,414655454,14788021,59.62,33.6676679,2.602601542,6.031516284,0.171332001,0.171332001,-3.27,9.53,0.662227929,72.97683199
1217,愛之味,2022,M1200,12172022,0,0,0,0,0,494513,7517472,13755189,130615,12.8,15.2017682,0.264128547,0.386345758,0.098179421,0.098179421,1.91,-0.59,1.470190349,27.81562669
1217,愛之味,2021,M1200,12172021,0,0,0,0,0,494513,7397369,13836774,210361,9.82,14.95889693,0.425390232,0.519262385,0.105724218,0.105724218,2.09,3.72,1.467997737,27.98060718
1217,愛之味,2020,M1200,12172020,0,0,0,0,0,494513,6858474,13340859,223646,10.94,13.86914803,0.452255047,0.366516148,0.084709603,0.084709603,3.27,3.45,1.481746584,26.97777207
1217,愛之味,2019,M1200,12172019,0,0,0,0,0,494513,6439266,12895986,23601,7.16,13.02142916,0.047725742,0.383361004,0.085846075,0.085846075,3.39,2.47,1.949315743,26.07815366
1217,愛之味,2018,M1200,12172018,0,0,0,0,0,494513,6271960,12584818,-35217,6.7,12.68310439,-0.071215519,0.91356749,0.082487215,0.082487215,4.23,2.8,1.972489018,25.44891236
1217,愛之味,2017,M1200,12172017,0,0,0,0,0,494513,6123799,12242288,-44018,7.36,12.38349447,-0.089012827,0.493635152,0.094956048,0.094956048,0.78,6.03,1.759019101,24.7562511
1218,泰山,2022,M1200,12182022,0,0,0,0,0,499999,12567859,16654604,-285606,27.53,25.13576827,-0.571213142,0.502855006,0,0,11.31,56.55,0.788202204,33.30927462
1218,泰山,2021,M1200,12182021,0,0,0,0,0,499999,6991127,10638276,581097,29.88,13.98228196,1.162196324,0.702493405,0,0,19.01,15.13,0.541109983,21.27659455
1218,泰山,2020,M1200,12182020,0,0,0,0,0,499999,7031602,9240265,831313,26.6,14.06323213,1.662629325,0.547827096,0,0,4.44,0.12,0.565242449,18.48056696
1218,泰山,2019,M1200,12182019,0,0,0,0,0,499999,6605173,9229347,568667,20.87,13.21037242,1.137336275,0.426110852,0,0,1.25,4.8,0.687682063,18.45873092
1218,泰山,2018,M1200,12182018,0,0,0,0,0,499999,6402709,8807002,458649,17.13,12.80544361,0.917299835,0.310900622,0,0,2.86,17.71,0.804362036,17.61403923
1218,泰山,2017,M1200,12182017,0,0,0,0,0,499999,3821989,7482013,265285,15.29,7.643993288,0.530571061,0.383782768,0,0,-5.29,-5.08,0.551912873,14.96405593
1219,福壽,2022,M1200,12192022,0,0,0,0,0,322014,4433806,10275495,307401,20.38,13.7689852,0.954619985,1.65433801,0.17562901,0.17562901,15.03,12.3,0.774408616,31.91008776
1219,福壽,2021,M1200,12192021,0,0,0,0,0,322014,4474177,9150195,295079,18.52,13.89435552,0.916354568,1.264988479,0.111790171,0.111790171,19.92,7.02,0.761334549,28.4155192
1219,福壽,2020,M1200,12192020,0,0,0,0,0,322014,4443414,8550063,281614,20.58,13.79882241,0.874539616,1.408982218,0.111392672,0.111392672,0.53,-4.34,0.741473531,26.55183626
1219,福壽,2019,M1200,12192019,0,0,0,0,0,322014,3959290,8937571,-1823,17.96,12.29539709,-0.005661245,1.491379257,0.122830063,0.122830063,4.69,4.96,0.78816648,27.75522493
1219,福壽,2018,M1200,12192018,0,0,0,0,0,322014,3816632,8515527,-94723,15.1,11.85237909,-0.294158018,2.012173384,0.129435366,0.129435366,8.2,0.64,0.77214196,26.44458626
1219,福壽,2017,M1200,12192017,0,0,0,0,0,322014,3947659,8461787,41066,15.31,12.25927755,0.127528617,2.000801207,0.112889502,0.112889502,-1.3,5.39,0.834532168,26.27769911
1220,台榮,2022,M1200,12202022,0,0,0,0,0,177078,2434031,3202925,72368,14.65,13.74553022,0.408678661,0.996526954,0,0,9.88,-2.7,0.907894995,18.08765064
1220,台榮,2021,M1200,12202021,0,0,0,0,0,177078,2593610,3291690,193481,14.64,14.64670936,1.092631496,1.449807429,0,0,16.01,6.14,1.006646691,18.58892691
1220,台榮,2020,M1200,12202020,0,0,0,0,0,177078,2548594,3101296,180606,14.51,14.3924937,1.019923424,0.886790002,0,0,-6.95,-1.54,1.310791776,17.51372841
1220,台榮,2019,M1200,12202019,0,0,0,0,0,177078,2478489,3149822,153765,9.27,13.99659472,0.868346153,0.917742464,0,0,8.56,1.39,1.603275455,17.78776584
1220,台榮,2018,M1200,12202018,0,0,0,0,0,177078,2420348,3106563,110331,8.89,13.66825919,0.623064412,0.725781859,0,0,16.08,2.61,1.580145571,17.54347237
1220,台榮,2017,M1200,12202017,0,0,0,0,0,177078,2386159,3027503,81361,9.48,13.47518608,0.459464191,0.591948181,0,0,-17.36,0.43,1.688619809,17.09700245
1225,福懋油,2022,M1200,12252022,0,0,0,0,0,218703,3852374,9441163,347147,52,17.6146372,1.587298757,1.834743922,0.176421906,0.176421906,16.56,3.64,0.329307108,43.16887743
1225,福懋油,2021,M1200,12252021,0,0,0,0,0,218703,3872444,9109168,486847,44.73,17.70640549,2.226064572,2.089088856,0.167917221,0.167917221,28.3,18.4,0.373316582,41.65085984
1225,福懋油,2020,M1200,12252020,0,0,0,0,0,218703,3733141,7693394,417787,39.73,17.06945492,1.910293869,2.583197304,0.160560212,0.160560212,-4.07,-0.62,0.523121512,35.17735925
1225,福懋油,2019,M1200,12252019,0,0,0,0,0,218703,3648429,7741017,395480,31.7,16.68211684,1.808297097,3.787638944,0.151205059,0.151205059,-5.31,20.46,0.572481704,35.39511118
1225,福懋油,2018,M1200,12252018,0,0,0,0,0,218703,3601285,6426121,300502,61.56,16.4665551,1.374018646,0.838936823,0.143601139,0.143601139,4.52,-8.42,0.257853979,29.38286626
1225,福懋油,2017,M1200,12252017,0,0,0,0,0,218703,3637558,7017020,320546,68.64,16.63241016,1.465668052,0.882882265,0.131264775,0.131264775,-1.48,5.35,0.308980311,32.08469934
1227,佳格,2022,M1200,12272022,0,0,0,0,0,915090,17853740,27929413,1317280,40.24,19.5103651,1.439508682,1.073121769,0.187454786,0.187454786,-15.69,-1.27,0.505580853,30.52094657
1227,佳格,2021,M1200,12272021,0,0,0,0,0,915090,18477217,28289140,2564015,43.13,20.19169371,2.801926586,1.337949273,0.194380881,0.194380881,-0.46,1.67,0.411907256,30.91405217
1227,佳格,2020,M1200,12272020,0,0,0,0,0,915090,18015627,27823862,3257860,47.84,19.68727338,3.560152553,0.960431214,0.18144117,0.18144117,10.23,9.16,0.363233826,30.40560163
1227,佳格,2019,M1200,12272019,0,0,0,0,0,915090,16950691,25488265,3488852,53.52,18.52352337,3.812577998,1.071590772,0.162152357,0.162152357,14.36,6.21,0.313267772,27.85328765
1227,佳格,2018,M1200,12272018,0,0,0,0,0,915090,16040325,23997656,2602819,49.47,17.5286857,2.844331159,0.939379733,0.183363385,0.183363385,3.26,5.67,0.432700215,26.224367
1227,佳格,2017,M1200,12272017,0,0,0,0,0,915090,15023608,22709488,2278310,48.62,16.41762887,2.489711395,1.552946705,0.105602728,0.105602728,-2.2,4.08,0.281557689,24.81667158
1229,聯華,2022,M1200,12292022,0,0,0,0,0,1480130,53432123,69909548,4840308,62.17,36.0996149,3.270191132,0.363469425,0.032194469,0.032194469,8.86,-2.46,0.785799192,47.23203232
1229,聯華,2021,M1200,12292021,0,0,0,0,0,1409648,56423056,71670249,4744160,49,40.02634417,3.365492662,0.398415775,0.03390279,0.03390279,18.64,28.01,0.761246561,50.84265646
1229,聯華,2020,M1200,12292020,0,0,0,0,0,1281498,44450094,55988518,3497207,38.61,34.68604243,2.728999187,0.410749763,0.031014485,0.031014485,15.39,20.29,1.089385755,43.68989885
1229,聯華,2019,M1200,12292019,0,0,0,0,0,1104740,37630191,46544943,2606996,26.45,34.0624862,2.359827652,0.406874921,0.037268498,0.037268498,62.25,53.16,1.480977661,42.13203378
1229,聯華,2018,M1200,12292018,0,0,0,0,0,1052133,24620602,30389304,2474643,21.18,23.40065562,2.352024887,0.420625529,0.036604688,0.036604688,6.2,2.48,1.393725767,28.88351948
1229,聯華,2017,M1200,12292017,0,0,0,0,0,956485,25285915,29653231,2735161,18.58,26.43629017,2.859596334,0.54076227,0.035118167,0.035118167,-8.1,12.98,1.467867305,31.00229591
1231,聯華食,2022,M1200,12312022,0,0,0,0,0,224233,5171248,10518025,958044,84.44,23.06194004,4.27253794,6.129271784,0.428964515,0.428964515,13.19,14.22,0.345135289,46.90667743
1231,聯華食,2021,M1200,12312021,0,0,0,0,0,201762,4568168,9208709,778335,70.09,22.64136953,3.857688762,3.173724487,0.440013481,0.440013481,7.95,4.38,0.412561398,45.64144388
1231,聯華食,2020,M1200,12312020,0,0,0,0,0,183325,4065573,8822575,610730,45.37,22.17686077,3.331405973,10.60558025,0.450380472,0.450380472,2.66,18.17,0.671822501,48.12532388
1231,聯華食,2019,M1200,12312019,0,0,0,0,0,174595,3654089,7466043,531956,28.31,20.92894413,3.046799737,3.674584037,0.493639566,0.493639566,5.82,6.61,0.772856135,42.7620665
1231,聯華食,2018,M1200,12312018,0,0,0,0,0,166281,3437917,7003241,552027,27.59,20.67534475,3.319844119,2.357846056,0.55547537,0.55547537,15.44,8.01,0.951465474,42.11690452
1231,聯華食,2017,M1200,12312017,0,0,0,0,0,159886,3127240,6483870,380721,20.34,19.55918592,2.381202857,2.386925685,0.535093754,0.535093754,4.67,1.72,1.052134799,40.55308157
1232,大統益,2022,M1200,12322022,0,0,0,0,0,159975,5271072,7393401,1156882,146.5,32.94934834,7.231642444,2.215839975,0.058977965,0.058977965,20.5,5.57,0.24329431,46.2159775
1232,大統益,2021,M1200,12322021,0,0,0,0,0,159975,4957653,7003498,1238735,145.52,30.99017346,7.743303641,2.340434443,0.059559306,0.059559306,17.41,10.31,0.211306242,43.77870292
1232,大統益,2020,M1200,12322020,0,0,0,0,0,159975,4641004,6348688,1320636,147.02,29.01080794,8.255264885,2.601081419,0.057552743,0.057552743,1.7,9.32,0.228485532,39.68550086
1232,大統益,2019,M1200,12322019,0,0,0,0,0,159975,4131485,5807485,1000370,104.42,25.82581653,6.253289576,1.997849664,0.045613377,0.045613377,1.19,6.15,0.249356151,36.30245351
1232,大統益,2018,M1200,12322018,0,0,0,0,0,159975,3942280,5470902,894321,106.58,24.64310048,5.590379747,1.505866542,0.04978903,0.04978903,0.38,0.33,0.305556113,34.19848101
