Mcode,subclass,Code,Industry,AvgTotalAsset,RPA,weights
3545,1,3707,M2324,16.35148362,0,1
3707,1,3545,M2324,16.38307269,1,1
5347,2,3034,M2324,18.82399902,0,1
3034,2,5347,M2324,18.77880793,1,1
8028,3,8110,M2324,15.75730603,0,1
8110,3,8028,M2324,15.74744431,1,1
2345,4,4904,M2327,19.23121564,0,1
4904,4,2345,M2327,18.42465961,1,1
3025,5,8048,M2327,14.35868474,0,1
8048,5,3025,M2327,14.32000056,1,1
3045,6,2412,M2327,20.57548609,0,1
2412,6,3045,M2327,19.69934327,1,1
4979,7,6190,M2327,14.96055463,0,1
6190,7,4979,M2327,14.96773336,1,1
6216,8,6417,M2327,14.65604658,0,1
6417,8,6216,M2327,14.66135247,1,1
6218,9,4903,M2327,14.03635269,0,1
4903,9,6218,M2327,14.06115852,1,1
6263,10,6143,M2327,15.1916187,0,1
6143,10,6263,M2327,15.24163286,1,1
2489,11,2323,M2326,16.14597904,0,1
2323,11,2489,M2326,16.14228892,1,1
3297,12,5251,M2326,13.33453613,0,1
5251,12,3297,M2326,13.33360121,1,1
3434,13,6225,M2326,12.73626226,0,1
6225,13,3434,M2326,12.77731511,1,1
3481,14,2409,M2326,18.6781242,0,1
2409,14,3481,M2326,18.6014394,1,1
3535,15,3531,M2326,14.17461753,0,1
3531,15,3535,M2326,14.17274614,1,1
3563,16,6120,M2326,16.1918147,0,1
6120,16,3563,M2326,16.23596199,1,1
5371,17,3673,M2326,16.80448312,0,1
3673,17,5371,M2326,16.79586863,1,1
2414,18,2430,M2329,15.20319251,0,1
2430,18,2414,M2329,15.21518362,1,1
3702,19,2347,M2329,18.16796933,0,1
2347,19,3702,M2329,18.10502658,1,1
2468,20,2471,M2330,13.80119821,0,1
2471,20,2468,M2330,13.80031972,1,1
2480,21,4994,M2330,15.74342319,0,1
4994,21,2480,M2330,15.59805301,1,1
3029,22,6516,M2330,15.27519675,0,1
6516,22,3029,M2330,15.21718298,1,1
3147,23,3570,M2330,13.97522567,0,1
3570,23,3147,M2330,13.97621313,1,1
5202,24,5212,M2330,14.02344644,0,1
5212,24,5202,M2330,14.05762238,1,1
6112,25,4953,M2330,15.29429032,0,1
4953,25,6112,M2330,15.50094755,1,1
6183,26,5203,M2330,15.77389696,0,1
5203,26,6183,M2330,15.66327391,1,1
6214,27,5403,M2330,14.98971277,0,1
5403,27,6214,M2330,16.78595618,1,1
6221,28,2427,M2330,14.55510111,0,1
2427,28,6221,M2330,14.53091859,1,1
8099,29,8284,M2330,14.46375135,0,1
8284,29,8099,M2330,14.52227417,1,1
2903,30,2905,M2900,16.67215394,0,1
2905,30,2903,M2900,17.16960352,1,1
2201,31,2204,M2200,17.21794615,0,1
2204,31,2201,M2200,17.50349698,1,1
