MKEY,KEY,Mcode,Code,Industry,YEAR,IndustryY,RPA,TMP,POST,POST_RPA,BIG4,Asset,Asset_1,Debt,Equity,CA,CL,SLTD,PPE,Cash,S,S_1,S_2,OPCOST,EXP,RD,ADV,RE,EBIT,CFO,NI_Ctd,CYCLE,CYCLE_1,MV,COGS,INV,INV_1,INST_1,TotalSales,MarketShare,IndustryY_Count,LEV,OCF,MTB,INST,NOA,ZSCORE,LGTA,ROA,MS,Median_ROA,ADJROA,AC,A1,A2,A3,A4,PROD,R1,R2,R3,R4,R5,DA,DA1,ABCFO,ABPROD,ABOPCOST,ABEXP,Code_Count
99412020,99332020,9941,9933,M9900,2020,2020M9900,1,0,0,0,1,70787963,69494511,51753726,19034237,47518372,0.492302667,20106692,14123460,13422837,55558409,58211022,64069542,0.747153282,0.022827285,0.002046603,0,5191503,2048489,-2809642,1305146,-31.35,-31.35,29160314,51914759,152700,144407,0.8362,435906608,12.74548446,90,0.731109129,-0.040429697,1.531992798,0.8362,0.370073717,2.126627014,18.07519953,0.018780562,12.74548446,0.025042818,-0.006262255,0.059210259,1.44E-08,-0.038170108,0.203231303,0.018780562,0.747153282,1.44E-08,0.799464709,-0.038170108,-0.08430191,0.837634817,0.07305817,0.089135092,-0.138181454,0.093951321,0.092525816,-0.059306866,6
99412021,99332021,9941,9933,M9900,2021,2021M9900,1,1,1,1,1,87424705,70787963,66863840,20560865,61324660,0.555674349,19548414,16127549,21399753,70540414,55558409,58211022,0.94011075,0.02580467,0.00177202,0,5169971,3311000,14564487,2403011,-46.18,-46.18,28415704,66538507,162718,152700,0.738,526139802,13.4071617,90,0.764816307,0.205748073,1.382028626,0.738,0.264303777,2.111376232,18.28628847,0.033946605,13.4071617,0.03961158,-0.005664975,-0.171801469,1.41E-08,0.211646223,0.227828974,0.033946605,0.94011075,1.41E-08,0.996502951,0.211646223,-0.037472656,0.784856728,-0.236840944,-0.21362859,0.171103806,0.06688874,0.06535615,-0.058190678,6
99412022,99332022,9941,9933,M9900,2022,2022M9900,1,1,1,1,1,93590953,87424705,71758906,21832047,65473950,0.575424261,20421369,16783393,21209400,95100568,70540414,55558409,1.026702544,0.020991675,0.001439792,0,5862334,4290431,120334,3270077,-33.67,-33.67,33087698,89720344,201541,162718,0.6762,579275697,16.41715137,90,0.766729088,0.00137643,1.515556375,0.6762,0.240710175,2.371250662,18.35444428,0.037404496,16.41715137,0.032433432,0.004971064,0.036028066,1.14E-08,0.280929218,0.191975403,0.037404496,1.026702544,1.14E-08,1.087799701,0.280929218,0.171370381,0.806870484,0.043638957,0.060038123,-0.10076426,0.093203968,0.091834541,-0.054600597,6
99412017,99332017,9941,9933,M9900,2017,2017M9900,1,0,0,0,1,70067989,66224889,49027832,21040157,54762209,0.627395143,8804167,6660116,19354880,71606604,70509675,67057640,1.004135001,0.03165689,0.001821773,0,7105963,4095493,4819401,3290098,-59.79,-59.79,34461776,66495104,193174,189549,0.8535,397985246,17.99227603,86,0.699717984,0.072773259,1.637904888,0.8535,0.158391266,2.716437311,18.0649766,0.049680687,17.99227603,0.031560524,0.018120164,-0.023092572,1.51E-08,0.016563697,0.100568172,0.049680687,1.004135001,1.51E-08,1.081264236,0.016563697,0.052125946,1.064700539,-0.054839939,-0.046777448,0.009363173,0.094278969,0.09209662,-0.061674102,6
99412018,99332018,9941,9933,M9900,2018,2018M9900,1,0,0,0,1,76497333,70067989,55871174,20626159,56534559,0.672181421,14966313,10432036,15070992,64069542,71606604,70509675,0.848375426,0.026887813,0.002262417,0,6540307,3223181,-4425705,2300063,-52.81,-52.81,33889321,59469789,167345,193174,0.8816,434768189,14.7364834,88,0.730367606,-0.063163009,1.643026266,0.8816,0.292879534,2.347064257,18.15276644,0.03282616,14.7364834,0.038999804,-0.006173645,0.095989168,1.43E-08,-0.107567837,0.148884478,0.03282616,0.848375426,1.43E-08,0.91439105,-0.107567837,0.015655209,1.021958886,0.072011984,0.08318613,-0.134133332,0.07108079,0.069124627,-0.067753891,6
99412019,99332019,9941,9933,M9900,2019,2019M9900,1,0,0,0,1,69494511,76497333,50147514,19346997,49174593,0.520681007,17877578,11788472,20767581,58211022,64069542,71606604,0.708474229,0.023838021,0.002239301,0,5985087,2466132,8892352,1674325,-28.67,-28.67,29082416,54219327,144407,167345,0.8376,442427892,13.15717726,89,0.721603955,0.116243948,1.503200523,0.8376,0.215131605,2.272400587,18.05675833,0.021887364,13.15717726,0.024483685,-0.002596321,-0.094356584,1.31E-08,-0.076584631,0.154103046,0.021887364,0.708474229,1.31E-08,0.760954921,-0.076584631,-0.098527121,0.837539552,-0.090456642,-0.080382607,0.037607715,0.037114788,0.034523999,-0.035667579,6
99212017,99042017,9921,9904,M3700,2017,2017M3700,1,0,0,0,1,301904430,293889861,143524484,158379946,154667365,0.279760797,91777529,71517038,34108353,278631872,274895346,269081173,0.723103782,0.190548343,0.023081663,0.107854661,63449395,26803579,16808648,21730590,101.23,101.23,113598639,205563548,52554475,45605153,0.8642,491993224,56.63327428,20,0.475397078,0.057193698,0.717253932,0.8642,0.735136358,2.599785759,19.52562107,0.073941271,56.63327428,0.052467887,0.021473385,0.016747573,3.40E-09,0.012714035,0.243346394,0.073941271,0.723103782,3.40E-09,0.948082629,0.012714035,0.01978351,0.935368594,-0.002308503,-0.007971233,0.022465909,0.009017101,0.009017101,0.01925284,6
99212018,99042018,9921,9904,M3700,2018,2018M3700,1,0,0,0,1,304262413,301904430,152064707,152197706,164383958,0.306653323,98471386,79162641,32252001,293316089,278631872,274895346,0.74408241,0.204242882,0.021241992,0.119482007,66088797,23041765,10543202,16371866,110.89,110.89,96065256,217844794,59351457,52554475,0.8759,542761377,54.04144463,21,0.49978144,0.034922316,0.63118728,0.8759,0.723464346,2.545393927,19.53340109,0.054228638,54.04144463,0.078290751,-0.024062113,0.019306322,3.31E-09,0.048638627,0.262210929,0.054228638,0.74408241,3.31E-09,0.971552782,0.048638627,0.012376519,0.922914155,0.039992576,0.033894502,-0.023709565,-0.009922655,-0.009922655,0.005704974,6
99212019,99042019,9921,9904,M3700,2019,2019M3700,1,0,0,0,1,363056330,304262413,173187303,189869027,165637689,0.270574211,105349356,77861266,37049955,313156585,293316089,278631872,0.765497794,0.215487984,0.020578513,0.120821301,71664103,24763933,24509466,18002774,116.64,116.64,115514050,233641231,58622432,59351457,0.8631,587523436,53.30112227,21,0.477025984,0.080553709,0.608388065,0.8631,0.848505819,2.31166693,19.71006856,0.059168577,53.30112227,0.087590631,-0.028422054,-0.021385132,3.29E-09,0.065208501,0.255901691,0.059168577,0.765497794,3.29E-09,1.029231912,0.065208501,0.048261686,0.96402341,0.013104775,0.018894527,-0.022100305,-0.013133922,-0.013133922,0.02338122,6
99212020,99042020,9921,9904,M3700,2020,2020M3700,1,0,0,0,1,368914559,363056330,167671357,201243202,155495896,0.231512782,99310777,69983286,32108725,249954311,313156585,293316089,0.510971124,0.156620828,0.022272714,0.127363788,72807778,8368623,20357854,3919417,111.43,111.43,92529112,195203206,48930527,58622432,0.8138,531751644,47.005837,21,0.45449916,0.056073541,0.459787516,0.8138,0.739403866,1.865601622,19.72607563,0.010795617,47.005837,0.068943143,-0.058147526,-0.045277924,2.75E-09,-0.174083933,0.192761509,0.010795617,0.510971124,2.75E-09,0.688472533,-0.174083933,0.054648533,0.862556466,-0.001438538,0.024851218,-0.042720196,-0.015647331,-0.015647331,-0.008595119,6
