Mcode,MKEY,KEY,Code,Industry,YEAR,IndustryY,RPA,TMP,POST,POST_RPA,BIG4,AIPOST,MLPOST,IMR,Asset,Asset_1,Debt,Equity,CA,CL,SLTD,PPE,Cash,S,S_1,S_2,OPCOST,EXP,RD,ADV,RE,EBIT,CFO,NI_Ctd,CYCLE,CYCLE_1,MV,COGS,INV,INV_1,INST_1,TotalSales,MarketShare,IndustryY_Count,LEV,OCF,MTB,INST,NOA,ZSCORE,LGTA,ROA,MS,Median_ROA,ADJROA,AC,A1,A2,A3,A4,PROD,R1,R2,R3,R4,R5,DA,DA1,ABCFO,ABPROD,ABOPCOST,ABEXP,Code_Count
1326,13262017,13032017,1303,M1300,2017,2017M1300,1,0,0,0,1,0,0,2.875416994,544071389,537184804,176851630,367219759,212066791,0.13102681,101367913,132901898,44304079,306139952,275294431,299781414,0.48689228,0.037449879,0,0.032223625,208480444,64403256,41140545,53974776,89.06,89.06,617810956,256205610,40731138,35385614,0.7604,1146570154,26.70049896,24,0.325052252,0.076585459,1.68240118,0.7604,0.789827988,3.87779399,20.11459103,0.100477109,26.70049896,0.061792311,0.038684798,0.023891649,1.86E-09,0.057420688,0.247404426,0.100477109,0.48689228,1.86E-09,0.569896895,0.057420688,-0.045583909,0.512476207,0.08211376,0.018094193,0.006263746,-0.018470472,-0.01789,-0.000925714,6
1326,13262018,13032018,1303,M1300,2018,2018M1300,1,0,0,0,1,0,0,2.051664055,570249344,544071389,183344352,386904992,210274541,0.111268792,108049938,140907261,52365882,333061560,306139952,275294431,0.537363248,0.036103372,0,0.030810301,220788020,63248655,55558814,52658851,87.62,87.62,598776986,284054265,49040842,40731138,0.7767,1265984962,26.3084926,24,0.321516112,0.102116772,1.54760729,0.7767,0.813476057,3.722016832,20.16158427,0.096786657,26.3084926,0.026557275,0.070229383,-0.005330115,1.84E-09,0.049481757,0.258986714,0.096786657,0.537363248,1.84E-09,0.61216518,0.049481757,0.056693885,0.562683424,0.009348199,0.00973734,0.045878385,-0.011357391,-0.011203865,-0.009049851,6
1326,13262019,13032019,1303,M1300,2019,2019M1300,1,0,0,0,1,0,0,1.852339168,554678679,570249344,199107979,355570700,187476346,0.104347424,126564423,156095364,43608119,286303059,333061560,306139952,0.439631731,0.032006774,0,0.033745871,204105146,28309458,52299353,23209523,90.33,90.33,577363769,258172796,41567752,49040842,0.7931,1079491060,26.52204077,25,0.358960938,0.091713131,1.623766438,0.7931,0.769009221,3.164502542,20.13389955,0.040700657,26.52204077,0.040700657,0,-0.051012474,1.75E-09,-0.081996589,0.273731773,0.040700657,0.439631731,1.75E-09,0.502066442,-0.081996589,0.047210239,0.584063031,-0.023020342,-0.023308353,0.042463182,-0.007440286,-0.006852074,-0.012776163,6
1326,13262020,13032020,1303,M1300,2020,2020M1300,1,0,0,0,1,0,0,1.63880829,584712347,554678679,228125869,356586478,208837816,0.116762709,147672784,173463751,55973617,273353806,286303059,333061560,0.420687192,0.033128744,0,0.034735693,212630726,31754059,41633569,26888091,98.64,98.64,570226030,233757221,41156747,41567752,0.7871,937010977,29.17295664,25,0.390150593,0.075058895,1.599124098,0.7871,0.80818979,2.838144259,20.18663057,0.048475076,29.17295664,0.04030715,0.008167926,-0.02658382,1.80E-09,-0.023345503,0.312728355,0.048475076,0.420687192,1.80E-09,0.492814699,-0.023345503,-0.084298356,0.516160202,-0.017264833,0.027964866,-0.0325008,0.042453476,0.043128516,-0.010096893,6
1326,13262021,13032021,1303,M1300,2021,2021M1300,1,1,1,1,1,0,0,1.482839746,668695386,584712347,239954616,428740770,255907403,0.154850173,140121908,184787735,74549426,411670391,273353806,286303059,0.554520497,0.039070952,0,0.031422189,273458343,104971652,78876308,84832825,100.76,100.76,677292113,307825271,57566457,41156747,0.7729,1372735183,29.98906097,25,0.358839946,0.134897627,1.579724067,0.7729,0.845395611,3.654432186,20.32083919,0.145084716,29.98906097,0.067987185,0.077097532,0.010187089,1.71E-09,0.236554924,0.316031868,0.145084716,0.554520497,1.71E-09,0.704056265,0.236554924,-0.022146365,0.46750134,-0.025467698,-0.042795473,0.109197917,-0.064869819,-0.064460824,-0.007990111,6
1326,13262022,13032022,1303,M1300,2022,2022M1300,1,0,1,1,1,0,0,1.402794226,665316156,668695386,271214726,394101430,243213654,0.197082618,174371415,211967022,89444513,355183300,411670391,273353806,0.443692921,0.032718277,0,0.03420203,247505467,49856988,75296335,38484719,83.23,83.23,563088291,301276564,52985302,57566457,0.7936,1275708189,27.84204907,25,0.407647888,0.112601846,1.428790276,0.7936,0.71636255,2.678705113,20.31577291,0.057551943,27.84204907,0.003856862,0.053695082,-0.055049903,1.50E-09,-0.084473577,0.31698592,0.057551943,0.443692921,1.50E-09,0.531158592,-0.084473577,0.206845431,0.615632169,0.007942249,0.026867003,0.036684935,-0.029095711,-0.029095711,-0.012189435,6
1314,13142017,13042017,1304,M1300,2017,2017M1300,1,0,0,0,1,0,0,3.145720756,64393851,61995475,29585432,34808419,30484428,0.146962758,19129689,23758495,8473862,58133943,53101997,52373585,0.82579185,0.06047643,0.006690067,0.035057815,6738561,3725527,4331383,2712050,75.46,75.46,19113446,51007011,6857754,6669407,0.5178,1146570154,5.070247363,24,0.459444986,0.069866115,0.549104112,0.5178,0.733347813,1.956215142,17.98052871,0.043745935,5.070247363,0.061792311,-0.018046376,-0.026120181,1.61E-08,0.081166343,0.383229502,0.043745935,0.82579185,1.61E-08,0.93771268,0.081166343,0.011749438,0.856546337,-0.027678175,-0.011251516,-0.005130775,0.005589694,0.005772641,0.007342437,6
1314,13142018,13042018,1304,M1300,2018,2018M1300,1,0,0,0,1,0,0,2.177624527,68991038,64393851,32536329,36454709,30099382,0.12306967,23376866,23825239,8123304,60892513,58133943,53101997,0.853235552,0.059973754,0.006923675,0.033633478,6814829,2766822,2220104,1868349,68.86,68.86,14146280,55097773,6703104,6857754,0.5535,1265984962,4.809892284,24,0.471602254,0.034476957,0.388050828,0.5535,0.803000134,1.682807403,18.04948717,0.029014401,4.809892284,0.026557275,0.002457126,-0.005462556,1.55E-08,0.042839028,0.369992455,0.029014401,0.853235552,1.55E-08,0.945626206,0.042839028,0.078143269,0.902787178,0.009763991,0.009662904,-0.034355295,0.002096647,0.002434698,0.00369885,6
1314,13142019,13042019,1304,M1300,2019,2019M1300,1,0,0,0,1,0,0,2.102262626,71425786,68991038,32248839,39176947,28020172,0.121398405,23096043,23228911,7927403,55656741,60892513,58133943,0.683288371,0.055088836,0.007475878,0.036699544,7756919,3646592,6072493,2541226,70.35,70.35,16464368,48924372,4919506,6703104,0.5078,1079491060,5.155831582,25,0.451501353,0.088018577,0.420256535,0.5078,0.787719515,1.664561626,18.08416951,0.036834146,5.155831582,0.040700657,-0.003866511,-0.051184431,1.45E-08,-0.075890611,0.336694615,0.036834146,0.683288371,1.45E-08,0.806724215,-0.075890611,0.039984469,0.882614826,-0.012181427,-0.012425998,0.003960776,-0.022931899,-0.02232069,0.001329888,6
1314,13142020,13042020,1304,M1300,2020,2020M1300,1,1,1,1,1,1,0,1.950848918,77324516,71425786,28600873,48723643,28539554,0.139691231,17967276,23169313,9637007,50201273,55656741,60892513,0.547394928,0.050308022,0.007230115,0.040249019,9497146,7344685,10815721,5682637,71.55,71.55,26866044,39721391,4296228,4919506,0.4701,937010977,5.357597107,25,0.369881048,0.151425999,0.551396454,0.4701,0.798785917,1.94399122,18.16352162,0.079560021,5.357597107,0.04030715,0.03925287,-0.071865978,1.40E-08,-0.07637953,0.324383032,0.079560021,0.547394928,1.40E-08,0.70284523,-0.07637953,-0.073303667,0.779224761,-0.060723863,-0.047538606,0.017885891,0.003474912,0.004256883,-0.000233306,6
