KEY,Code,Industry,YEAR,IndustryY,RPA,TMP,POST,MA,FOREIGN,LOSS,DIV,ANALYST,LEV,MB,LNAT,CAPINT,RDINT,ADVINT,DIV,Asset,Asset_1,Debt,Equity,S,S_1,RD,ADV,MV,NI_Ctd
11012017,1101,M1100,2017,2017M1100,0,0,0,0,1,0,1,5.129898715,0.449119513,1.014006394,19.40271688,0.368224488,0.00012135,0.002964695,,272557049,266988696,119909833,152647216,98311776,89564306,32399,791540,154785253,10322800
11012018,1101,M1100,2018,2018M1100,0,0,0,0,1,0,1,5.214935758,0.538256716,0.921306116,19.4233585,0.457132195,8.68E-05,0.003307972,,344085118,272557049,146705662,197379456,124594602,98311776,23666,901611,181846900,22644071
11012019,1101,M1100,2019,2019M1100,0,0,0,0,1,0,1,5.38907173,0.462154594,1.145761349,19.65639962,0.356839071,0.000118424,0.00294437,,367482385,344085118,159020518,208461867,122783014,124594602,40748,1013114,238847550,25455090
11012020,1101,M1100,2020,2020M1100,0,0,0,0,1,0,1,5.356586275,0.46444725,1.147022402,19.72218594,0.311218311,7.90E-05,0.003010561,,389506236,367482385,170676183,218830053,114367247,122783014,29046,1106328,251002973,27991393
11012021,1101,M1100,2021,2021M1100,0,0,0,1,1,0,1,5.347107531,0.554624974,1.302925519,19.78039043,0.274813192,0.000917962,0.001820315,,441684559,389506236,216029886,225654673,107041452,114367247,357552,709024,294011232,20147697
11012022,1101,M1100,2022,2022M1100,0,0,0,0,1,0,1,4.9698133,0.503828301,1.010616736,19.90610652,0.257943602,0.002948201,0.001857833,,460808961,441684559,222533181,238275780,113929706,107041452,1302175,820576,240805491,4157085
11022017,1102,M1100,2017,2017M1100,0,0,0,0,1,0,1,4.997212274,0.424655725,0.650172627,19.28975737,0.292279132,0,0,,247064348,238470785,101267984,145796364,69700034,60946190,0,0,94792805,6665541
11022018,1102,M1100,2018,2018M1100,0,0,0,0,1,0,1,5.204006687,0.48626867,0.717524758,19.32515938,0.346568547,0,0,,279187998,247064348,120139652,159048346,85624732,69700034,0,0,114121126,14889197
11022019,1102,M1100,2019,2019M1100,0,0,0,0,1,0,1,5.303304908,0.457861638,0.951208611,19.44739594,0.340269,0,0,,297278512,279187998,127829474,169449038,94999021,85624732,0,0,161181384,22243953
11022020,1102,M1100,2020,2020M1100,0,0,0,0,1,0,1,5.429345629,0.427881256,0.854771413,19.51018001,0.268902752,0,0,,297086855,297278512,127199903,169886952,79939010,94999021,0,0,145214510,18773807
11022021,1102,M1100,2021,2021M1100,0,0,0,0,1,0,1,5.455321115,0.460414794,0.871283771,19.5095351,0.316520864,0,0,,317056069,297086855,136783183,180272886,94034188,79939010,0,0,157068840,17527770
11022022,1102,M1100,2022,2022M1100,0,0,0,0,1,0,1,5.062595033,0.441593446,0.789124715,19.57458919,0.287400599,0,0,,324243127,317056069,140009882,184233245,91122104,94034188,0,0,145383007,12597136
11032017,1103,M1100,2017,2017M1100,1,0,0,0,1,0,1,1.098612289,0.346633043,0.53701256,17.07855319,0.080202597,0,0.000455319,,28317986,26128917,9057146,19260840,2095607,3140190,0,11897,10343313,977309
11032018,1103,M1100,2018,2018M1100,1,0,0,0,1,0,1,2.944438979,0.390769668,0.503685429,17.15900771,0.073889647,0,0.000446677,,31985629,28317986,11065810,20919819,2092406,2095607,0,12649,10537008,254597
