Code,KEY,YEAR,Industry,IndustryY,Cash,CA,PPE,STD,CL,CFO,A,S,NI_Ctd,Cycle
1259,12592012,2012,M2700,2012M2700,1228364,1717401,689684,0,862904,198022,2557806,4293107,30226,11.79
1259,12592013,2013,M2700,2013M2700,1141410,1664628,582957,0,765960,243874,2412596,4304908,23772,11.19
1259,12592014,2014,M2700,2014M2700,1407086,1851128,424488,0,795639,363221,2440181,4252752,45089,9.53
1259,12592015,2015,M2700,2015M2700,1639470,2114734,352694,0,922735,394992,2610793,4424550,86328,9.41
1259,12592016,2016,M2700,2016M2700,1758891,2274184,325314,0,1029112,421833,2760223,4663585,150810,10
1259,12592017,2017,M2700,2017M2700,1772857,2388168,404679,0,1147051,395572,2953839,4919312,148712,10.37
1259,12592018,2018,M2700,2018M2700,1748383,2358449,424793,0,1136192,386097,2950308,5252104,121020,10.57
1259,12592019,2019,M2700,2019M2700,1763169,2372633,430702,0,1515894,784987,4570443,5484492,147231,9.6
1259,12592020,2020,M2700,2020M2700,1501036,2164441,396480,0,1518754,891024,4663025,5342094,150438,10.19
1259,12592021,2021,M2700,2021M2700,1046751,1983652,440015,0,1628994,749596,5286602,5034182,88945,13.25
1259,12592022,2022,M2700,2022M2700,1078902,1972271,539135,0,1713760,1028016,5324339,5725450,117951,13.96
1259,12592023,2023,M2700,2023M2700,764974,1364747,1269452,0,1871148,826687,5822977,5993760,163040,14.32
1301,13012012,2012,M1300,2012M1300,10205819,137016726,75514325,22044151,62606741,24253058,361395828,196878954,14819522,66.43
1301,13012013,2013,M1300,2013M1300,7672877,142867497,81456398,18143664,59677853,16268260,408746365,215424768,20715841,61.4
1301,13012014,2014,M1300,2014M1300,5392825,160138715,83997627,14426343,47923740,13438399,430802991,216589040,17874892,63.39
1301,13012015,2015,M1300,2015M1300,19756722,148558505,81461329,13841316,59464052,40832004,423501050,191545395,30877269,65.42
1301,13012016,2016,M1300,2016M1300,19877489,173359433,73367695,25149853,80455932,36548329,455666072,180173192,39392543,65.07
1301,13012017,2017,M1300,2017M1300,18165145,184212236,69094450,18831847,71274256,46070154,476071036,206709755,49382853,62.81
1301,13012018,2018,M1300,2018M1300,23310772,184262229,76618563,30109930,83051141,50507277,501513267,230370027,49549540,61.69
1301,13012019,2019,M1300,2019M1300,18165952,175616860,85635983,41630356,89283378,46580428,497087959,207848572,37324162,66.6
1301,13012020,2020,M1300,2020M1300,14145110,165635760,86785954,15356724,68255027,31444453,479280423,185813405,20036199,69.66
1301,13012021,2021,M1300,2021M1300,13715454,189262221,97343039,18052776,74541216,57859343,543678922,273598301,71355311,65.82
1301,13012022,2022,M1300,2022M1300,17110163,160820260,107315483,26108420,95863320,56801615,511254407,251647354,36142868,71.04
1301,13012023,2023,M1300,2023M1300,6147041,159638262,112452052,38852694,103101676,6157311,530738356,199138777,7337709,69.86
1303,13032012,2012,M1300,2012M1300,25341818,197986910,147209765,9339139,69116092,34587911,458797052,300710497,3639483,108.44
1303,13032013,2013,M1300,2013M1300,24547373,229600281,147810707,14353460,94062024,25426536,524510130,311005289,25063700,107.47
1303,13032014,2014,M1300,2014M1300,36632716,211691231,145079151,9234072,71668097,20332582,532880438,325473146,32773254,112.62
1303,13032015,2015,M1300,2015M1300,51911314,199737404,137066328,6929351,66602248,63214686,513725976,299781414,36081704,120.28
1303,13032016,2016,M1300,2016M1300,57411505,217478209,139724458,19882214,84918274,46386609,537184804,275294431,48713023,117.1
1303,13032017,2017,M1300,2017M1300,44304079,212066791,132901898,9295583,79681194,41140545,544071389,306139952,53974776,116.15
1303,13032018,2018,M1300,2018M1300,52365882,210274541,140907261,21253381,81791547,55558814,570249344,333061560,52658851,114.87
1303,13032019,2019,M1300,2019M1300,43608119,187476346,156095364,24012100,83516150,52299353,554678679,286303059,23209523,122.89
1303,13032020,2020,M1300,2020M1300,55973617,208837816,173463751,55121553,119887338,41633569,584712347,273353806,26888091,128.76
1303,13032021,2021,M1300,2021M1300,74549426,255907403,184787735,23436269,113979077,78876308,668695386,411670391,84832825,109.15
1303,13032022,2022,M1300,2022M1300,89444513,243213654,211967022,38775000,170563237,75296335,665316156,355183300,38484719,124.88
1303,13032023,2023,M1300,2023M1300,80301186,215138945,216213265,31802900,127207774,35677698,648527953,259755344,8110047,141.05
1304,13042012,2012,M1300,2012M1300,10609598,33539446,16579260,5230823,13826697,5717470,55505172,55275829,2845480,101.39
1304,13042013,2013,M1300,2013M1300,8679752,35933828,17556166,6571449,17000771,2154581,58597139,58678881,1708269,97.57
1304,13042014,2014,M1300,2014M1300,7485579,32481273,20241266,6834996,16357436,2721791,58415011,59704563,655242,104.12
1304,13042015,2015,M1300,2015M1300,7267382,29919050,22600211,5530252,14369867,2866523,57498146,52373585,1569029,113.14
1304,13042016,2016,M1300,2016M1300,11924303,33880175,22804814,4949168,14291961,4500469,61995475,53101997,2357701,101.96
1304,13042017,2017,M1300,2017M1300,8473862,30484428,23758495,3752268,12863294,4331383,64393851,58133943,2712050,95.86
1304,13042018,2018,M1300,2018M1300,8123304,30099382,23825239,6726854,14651784,2220104,68991038,60892513,1868349,94.72
1304,13042019,2019,M1300,2019M1300,7927403,28020172,23228911,4258980,12634382,6072493,71425786,55656741,2541226,94.49
1304,13042020,2020,M1300,2020M1300,9637007,28539554,23169313,2726270,12703826,10815721,77324516,50201273,5682637,95.15
1304,13042021,2021,M1300,2021M1300,10365353,35367040,24471011,2498041,15549577,8933169,84825213,71755542,10079451,83.11
1304,13042022,2022,M1300,2022M1300,11522009,31623300,25520104,2400326,10775857,9749787,77741569,66437122,-61189,96.28
