"","Code","KEY","YEAR","Industry","IndustryY","Cash","CA","PPE","STD","CL","CFO","A","S","NI_Ctd","Cycle","A_1","S_1","CFO_pre","CFO_post","Cash_1","CA_1","CL_1","STD_1","AvgA","deltaWC","deltaS","AQ"
"1",1259,12592013,2013,"M2700","2013M2700",1141410,1664628,0.234571368674003,0,765960,0.098130493267949,2412596,4304908,23772,11.19,2557806,4293107,0.0796804765489793,0.146153570676979,1228364,1717401,862904,0,2485201,0.0527623318999147,0.00474850927550729,0.0545618742754125
"2",2701,27012013,2013,"M2700","2013M2700",63926,807944,0.0566249038318124,0,87303,0.0177100258722845,6819852,359409,206002,0.02,6575950,343236,0.0197524567771306,0.0220806488480496,53628,764129,88042,0,6697901,0.00511443809038085,0.00241463706316352,-0.0375811852974425
"3",2702,27022013,2013,"M2700","2013M2700",406341,630413,0.73962008447183,90000,345146,0.0692194630493254,2398227,646667,38068,13.62,2079242,550584,0.0617746320521705,0.0798397487509126,340945,528925,221279,77000,2238734.5,-0.0334005662574102,0.0429184434331092,-0.0274852720391811
"4",2704,27042013,2013,"M2700","2013M2700",372979,3516280,0.554655877077585,0,831133,0.0567153216637004,12107017,3214810,364322,27.37,11700130,3059144,0.0455585879315989,0.06134855218057,264354,3131773,1433357,18000,11903573.5,0.0722561170391395,0.0130772494495035,0.0659938401967658
"5",2705,27052013,2013,"M2700","2013M2700",776878,1840295,0.7214679723429,1075000,2172335,-0.00900125736335644,9637872,2480924,-138945,148.79,10385775,3842858,0.0445605138764182,0.031716899523848,1166070,2223386,2326302,1270200,10011823.5,-0.00350905107346329,-0.136032561900437,-0.0300692333176358
"6",2706,27062013,2013,"M2700","2013M2700",581355,1819875,0.0529452038005749,0,80963,0.024145611029014,7656298,360633,303373,5.39,7234607,360904,0.0241374181085703,0.0251090178870928,570778,1729444,74100,0,7445452.5,0.00980343370668203,-3.63980563975124e-05,-0.0298817694283836
"7",2707,27072013,2013,"M2700","2013M2700",886326,2102343,0.402235051156843,115500,1636596,0.194393694371616,7040853,5735580,1121433,21.45,5958581,5428946,0.256346853255303,0.252661615882661,481290,1287578,1709197,72000,6499717,0.0809004453578517,0.0471765155313685,0.137179240887437
"8",2712,27122013,2013,"M2700","2013M2700",44704,91936,0.926722230070161,10000,324432,0.0858990205772943,1672254,519756,65178,19.02,1725666,511406,0.0572020530206715,0.0998640344681452,40361,98979,305954,30000,1698960,-0.029349719828601,0.00491477138955596,-0.00830540755539193
"9",2719,27192013,2013,"M2700","2013M2700",771854,919602,0.0280234718986709,0,470905,0.089026641506496,1014249,3081951,62116,5.88,938043,2689628,0.0819436846537301,0.0426903352572259,727598,888347,444485,0,976146,-0.0403843277542499,0.401910165077765,-0.0591683138483692
"10",2722,27222013,2013,"M2700","2013M2700",109839,207348,0.140492315302405,0,180957,0.167843900219619,1565812,663225,141797,10.89,1458510,622468,0.138546093967507,0.188930279249366,99155,655696,155872,0,1512161,-0.320149111106555,0.0269528178547126,-0.288608672116453
