KEY,Code,Industry,YEAR,RPA,TMP,POST,Asset,Asset_1,Debt,Equity,CA,CL,SLTD,PPE,Cash,S,S_1,S_2,OPCOST,EXP,RD,ADV,RE,EBIT,OCF,NI_Ctd,CYCLE,CYCLE_1,MV,COGS,INV,INV_1,INST_1,BIG4
11012017,1101,M1100,2017,0,0,0,272557049,266988696,119909833,152647216,92719914,65192960,85710739,94709404,26331218,98311776,89564306,93679076,79398862,4950029,32399,791540,49019510,15747968,12310560,10322800,91.27,89.07,154785253,79398862,8354522,8893965,0.7687,1
11012018,1101,M1100,2018,0,0,0,344085118,272557049,146705662,197379456,110380695,64503844,105438756,91093825,48507889,124594602,98311776,89564306,91003063,5410638,23666,901611,61588761,33004723,22150720,22644071,100.46,91.27,181846900,91003063,9464303,8354522,0.784,1
11012019,1101,M1100,2019,0,0,0,367482385,344085118,159020518,208461867,118145990,66532743,115998363,89881319,53572620,122783014,124594602,98311776,86872759,5753534,40748,1013114,65626033,34832537,29212549,25455090,121.84,100.46,238847550,86872759,8132977,9464303,0.8175,1
11012020,1101,M1100,2020,0,0,0,389506236,367482385,170676183,218830053,124309171,72103708,129614661,92108972,51433522,114367247,122783014,124594602,76779667,6245763,29046,1106328,74199518,37339514,31279276,27991393,133.17,121.84,251002973,76779667,7941755,8132977,0.7791,1
11012021,1101,M1100,2021,0,0,0,441684559,389506236,216029886,225654673,169353435,88687968,173203344,98196032,91121942,107041452,114367247,122783014,80391353,6863624,357552,709024,73939852,27748547,18972370,20147697,140.1,133.17,294011232,80391353,13412511,7941755,0.7673,1
11012022,1101,M1100,2022,0,0,0,460808961,441684559,222533181,238275780,175624058,75209411,176986511,114739983,88842494,113929706,107041452,114367247,103794557,8973011,1302175,820576,66527594,9515985,6192301,4157085,124,140.1,240805491,103794557,16089980,13412511,0.7206,1
11022017,1102,M1100,2017,0,0,0,247064348,238470785,101267984,145796364,50262702,53948167,81011059,53738838,7739492,69700034,60946190,66287480,59529016,2733762,0,0,94196274,10271234,8139048,6665541,81.28,89.46,94792805,54541172,6572982,6920598,0.789,1
11022018,1102,M1100,2018,0,0,0,279187998,247064348,120139652,159048346,80358506,62804294,96441183,52549341,14929411,85624732,69700034,60946190,64468418,3018351,0,0,99918986,22043303,10711068,14889197,89.53,81.28,114121126,61584690,9804276,6572982,0.8081,1
11022019,1102,M1100,2019,0,0,0,297278512,279187998,127829474,169449038,89242066,74335619,95997009,50681281,24735495,94999021,85624732,69700034,69398312,3523141,0,0,108564355,30213805,37271901,22243953,75.92,89.53,161181384,63746928,7789794,9804276,0.8101,1
11022020,1102,M1100,2020,0,0,0,297086855,297278512,127199903,169886952,87023947,64027610,98982546,52820212,25911732,79939010,94999021,85624732,56609534,3659338,0,0,111583496,25307528,19623856,18773807,60.23,75.92,145214510,54911404,6596268,7789794,0.8412,1
11022021,1102,M1100,2021,0,0,0,317056069,297086855,136783183,180272886,105955718,71082366,106671479,41431732,33450618,94034188,79939010,94999021,72853310,3494661,0,0,114999751,22828239,8596708,17527770,43.44,60.23,157068840,69151726,8813309,6596268,0.8435,1
11022022,1102,M1100,2022,0,0,0,324243127,317056069,140009882,184233245,111449752,70962661,112862505,39795675,43486332,91122104,94034188,79939010,79366622,3184209,0,0,115195194,16492052,15308631,12597136,43.61,43.44,145383007,78585021,8667817,8813309,0.822,1
11032017,1103,M1100,2017,1,0,0,28317986,26128917,9057146,19260840,9106166,2317056,7029533,2852330,1803189,2095607,3140190,2826519,1813286,511805,0,11897,9074455,1182543,403390,977309,153.19,115.39,10343313,1591717,713317,806951,0.5655,1
11032018,1103,M1100,2018,1,0,0,31985629,28317986,11065810,20919819,11150914,3195396,7735152,3467524,1969663,2092406,2095607,3140190,1803918,392089,0,12649,9672041,514596,-636001,254597,148.56,153.19,10537008,1585586,694144,713317,0.5536,1
11032019,1103,M1100,2019,1,0,0,38720634,31985629,15044409,23676225,10657604,3700460,10049179,6535574,2066897,1884002,2092406,2095607,1685405,633383,0,13233,10660775,1111417,-169188,818510,88.79,148.56,17316333,1582433,44910,694144,0.5445,1
11032020,1103,M1100,2020,1,0,0,40646227,38720634,15628878,25017349,11726520,3042465,11000781,6195433,3375981,2058417,1884002,2092406,2202158,603155,0,30794,11653749,2269622,530831,1836495,23.67,88.79,14759559,2202158,61497,44910,0.5347,1
11032021,1103,M1100,2021,1,0,0,40247651,40646227,14337418,25910233,11156660,2789328,9905628,5282102,3685347,2220254,2058417,1884002,2189455,556435,0,32965,11237099,979422,-194716,747535,17.01,23.67,16076685,2189455,55320,61497,0.5691,1
11032022,1103,M1100,2022,1,1,1,36454234,40247651,14454807,21999427,10395347,3431484,10173996,4848433,4463396,2253659,2220254,2058417,2121073,527956,0,42016,10566464,48136,-391837,-173886,22.42,17.01,13481172,2121073,163658,55320,0.5893,1
11042017,1104,M1100,2017,0,0,0,21229208,20347150,4074447,17154761,3863038,2730633,1840276,5902802,192742,4405376,4622199,5163751,3867468,387681,85467,88234,10109852,1442996,646339,1389535,61.05,55.9,15000327,3867468,303136,309386,0.5681,1
11042018,1104,M1100,2018,0,0,0,22576572,21229208,4747299,17829273,4058612,3435479,2416304,6050677,269426,4780994,4405376,4622199,4209912,388436,72968,97866,10562324,1149610,602424,1051568,58.13,61.05,12353210,4209912,293881,303136,0.5678,1
11042019,1104,M1100,2019,0,0,0,23401933,22576572,5298887,18103046,4267262,3831854,2785710,6180847,250642,5005731,4780994,4405376,4418966,415870,68691,111291,11013644,1231586,749879,1141682,58.63,58.13,12810736,4418966,264170,293881,0.5522,1
11042020,1104,M1100,2020,0,0,0,24102936,23401933,5317583,18785353,4391640,3795424,2698875,6680071,294665,5426217,5005731,4780994,4519186,413889,69195,101731,11515783,1328915,1014179,1259795,58.81,58.63,15163729,4519186,283445,264170,0.5417,1
11042021,1104,M1100,2021,0,0,0,25096822,24102936,5712346,19384476,5004661,4245043,3004036,6890696,292032,6079107,5426217,5005731,4947290,421615,78683,84347,11884891,1269554,1382211,1114226,61.53,58.81,14117954,4947290,297842,283445,0.5063,1
11042022,1104,M1100,2022,0,0,0,27811895,25096822,6285417,21526478,5648586,4751310,3289088,7911538,784464,7055789,6079107,5426217,5689489,525210,92355,119394,13273714,2425000,1013067,2183492,64.07,61.53,14510120,5689489,393983,297842,0.5039,1
11082017,1108,M1100,2017,0,0,0,7236852,7752644,2808310,4428542,5121071,1925148,1880185,1648561,251893,3434454,4251061,5021353,3305953,221218,0,102141,357972,-88278,81037,-102303,431.11,388.41,3387657,3305953,3773847,3624700,0.514,1
11082018,1108,M1100,2018,0,0,0,7293497,7236852,3066499,4226998,4938529,1736069,2289825,1876081,198802,3330601,3434454,4251061,3283834,218012,0,105704,182653,-159245,75746,-200942,434.99,431.11,2970777,3283834,3610970,3773847,0.5286,1
11082019,1108,M1100,2019,0,0,0,7328877,7293497,3007940,4320937,5087148,1617131,1977965,1711806,233426,3731696,3330601,3434454,3432815,225119,0,114748,269466,93692,262747,45904,414.11,434.99,3391704,3432815,3516072,3610970,0.4956,1
11082020,1108,M1100,2020,0,0,0,8027307,7328877,3370388,4656919,5284958,2151262,1963437,2223887,320535,4530172,3731696,3330601,3813497,260241,0,119454,605001,476354,832057,392269,368.42,414.11,5140173,3813497,3545586,3516072,0.5294,1
11082021,1108,M1100,2021,0,0,0,8041710,8027307,3396136,4645574,5118007,3032387,2412583,2302034,220238,3769022,4530172,3731696,3208996,234899,0,111495,598884,373389,82123,262205,439.68,368.42,4816382,3208996,3676472,3545586,0.5418,1
11082022,1108,M1100,2022,0,0,0,9661871,8041710,4756082,4905789,5919810,3488531,3180900,3023515,269974,4149253,3769022,4530172,3158473,279804,0,109743,949376,732080,644673,581221,471.72,439.68,4350934,3158473,4065041,3676472,0.543,1
11092017,1109,M1100,2017,0,0,0,8576925,8643664,1781849,6795076,2977260,965063,715887,3499143,488954,5375877,4346147,4350645,4119863,401192,0,149938,2021907,928234,588320,710004,104.26,101.68,4715411,4119863,742101,855818,0.1414,1
11092018,1109,M1100,2018,0,0,0,10172476,8576925,2482389,7690087,4533454,1983843,576460,3306890,552304,6701130,5375877,4346147,4517299,429090,0,166547,2918682,1786341,996902,1253506,117.6,104.26,4719007,4517299,809256,742101,0.1524,1
11092019,1109,M1100,2019,0,0,0,11191294,10172476,2561172,8630122,5683105,2256725,297244,3093153,874572,7822895,6701130,5375877,5218440,537954,0,180922,3608235,2107179,2138329,1458617,107.94,117.6,6873336,5218440,830282,809256,0.195,1
11092020,1109,M1100,2020,0,0,0,11811053,11191294,2270037,9541016,6572996,2162621,0,2928658,2276512,7593294,7822895,6701130,4983512,507423,0,184119,4231187,2120591,2147630,1448873,89.33,107.94,6839140,4983512,893683,830282,0.1646,1
11092021,1109,M1100,2021,0,0,0,11702345,11811053,1849173,9853172,6746334,1749952,0,2744437,2643843,7378229,7593294,7822895,5175302,445385,0,172624,4589070,1839349,1154211,1212790,85.76,89.33,7112706,5175302,907317,893683,0.1627,1
