Code,Mcode,subclass,Industry,AvgTotalAsset,RPA
2729,8077,40,M2700,15.22682445,0
5301,5703,38,M2700,14.09675461,0
1312,1313,54,M1300,17.44238861,0
1314,1304,43,M1300,18.4784641,0
1326,1303,41,M1300,20.154463,0
2545,2515,74,M2500,17.57758624,0
2207,2201,31,M2200,19.45645141,0
2385,3044,32,M2328,18.13735316,0
2484,3645,33,M2328,15.35513994,0
3229,6204,36,M2328,13.62986722,0
3653,6220,37,M2328,16.05411169,0
6290,6173,34,M2328,15.7629046,0
8043,8103,39,M2328,15.30742106,0
8091,6203,35,M2328,14.95691181,0
1437,8411,42,M9900,16.22078746,0
2348,8916,44,M9900,15.75322192,0
5530,9933,45,M9900,17.96128198,0
1417,1466,50,M1400,15.22476371,0
1419,1460,49,M1400,16.46412656,0
1434,1402,46,M1400,18.24418014,0
1440,1409,47,M1400,17.65277821,0
1445,1454,48,M1400,14.54722108,0
1446,1474,52,M1400,15.24099645,0
1457,1477,53,M1400,16.66582728,0
1463,4433,55,M1400,14.82809158,0
4401,1473,51,M1400,15.57438988,0
5306,4536,56,M3700,16.19116486,0
9921,9904,57,M3700,17.97019853,0
1503,1532,59,M1500,17.55866061,0
1558,1560,60,M1500,15.87748974,0
1590,2049,61,M1500,17.5150023,0
2235,4534,62,M1500,14.4083327,0
2371,1504,58,M1500,18.73652433,0
3176,1734,63,M1722,15.63221381,0
4744,1784,64,M1722,14.41048098,0
6615,4188,65,M1722,13.39945259,0
1569,8234,73,M2325,15.72172176,0
2387,3211,68,M2325,16.67216826,0
3002,3652,70,M2325,14.43780186,0
3017,3005,67,M2325,17.49817231,0
3060,3483,69,M2325,15.51565081,0
3611,6277,72,M2325,15.72361003,0
5438,2425,66,M2325,14.8129621,0
6121,3706,71,M2325,17.88448812,0
1722,1718,75,M1721,18.16254601,0
1776,4721,76,M1721,14.46660886,0
5225,6613,78,M2331,15.52879246,0
6409,2464,77,M2331,16.1955298,0
8464,5903,79,M3800,16.97668473,0
2208,2607,80,M2600,17.32003196,0
2603,2609,81,M2600,19.72774131,0
2633,2618,82,M2600,19.87573003,0
8367,5609,83,M2600,15.79358857,0
2303,2454,86,M2324,19.83925441,0
3034,2337,84,M2324,17.96482457,0
3105,5347,2,M2324,17.72795536,0
3413,2340,85,M2324,16.18753952,0
4966,3545,1,M2324,16.53621354,0
5285,8028,3,M2324,15.43779687,0
2412,3045,6,M2327,20.00797528,0
2444,6263,10,M2327,14.35007603,0
3234,4979,7,M2327,14.64312641,0
4908,6218,9,M2327,14.32522492,0
5353,6216,8,M2327,14.37287824,0
5388,2345,4,M2327,17.21124444,0
8176,3025,5,M2327,13.80159142,0
