代號,名稱,FY,Page,Key,LEN,Text
2891,中信金,108,129,2891_108,1470,"營運概況
127
2.提升資訊安全：持續強化資訊安全治理，安排每年於董事會呈報資安管理執行成效。中信銀行業已取得ISO
27001資訊安全管理及BS10012個資管理兩項國際標準認證，及導入國際資安成熟度評估方法論，持續強化資
安管理作為；此外，中信銀行已在多年前導入資安事件分析與應變解決方案，近年亦陸續佈署非傳統威脅偵
測機制，諸如網路行為及使用者行為異常偵測及應變。搭配定期資安演練及全員資安教育訓練實施，持續提
升全體同仁資訊安全防護認知與意識。
3.緊急備援措施：為確保業務持續營運，定期舉行災難備援演練作業，以驗證備援計畫之完整性與可行性。
109年度計畫將進行：
未來亦將本著持續改善及發展之精神，加強數位金融創新科技研發，運用新興科技拓展更全方位與多樣化
的金融服務；優化資訊治理與落實敏捷開發文化，持續精進應用架構改善；強化資安管理與深耕資安文化，提
升銀行營運效率與服務品質，守護廣大客戶及股東之權益。
(三)台灣人壽保險股份有限公司
主要資訊應用系統包含VLife核心系統、LSP核心系統、CAS核心系統、旅行平安險B2B系統、保單影像系
統、不動產系統、投資系統、客戶服務系統、電銷系統、網路投保系統、eDDA-ATM電子核印系統、流程機器
人，以及辦公室自動化OA系統等；硬體則以「IBMRS/6000主機」、「IBMAS/400主機」及「虛擬伺服器」為
主。此外，依照系統配置及系統服務等級，與軟、硬體供應商簽署維護合約，以確保符合業務服務品質。
108年度重要科技專案如下：
1.啟動新核心系統專案：短期目標為針對業務流程整合與優化及單一系統新契約進件，中長期則將LSP/Vlife/
CAS等三核心系統分階段陸續進行資料移轉，並逐步整合單一核心系統，以提昇作業效率。
2.整合並優化系統：提升IT基礎架構功能，完成Windows版本升級、EndtoEnd監控、網路監控及系統主機監控
等。
3.數位暨業務發展：108年度推出新網路投保、醫院區塊鏈、智能幫手iKASH、流程機器人(RPA)及APIM等系
統，推進數位金融服務業務全面e化，提供保戶更簡便、優質之服務。
4.遵循科技技術法令：續審ISO27001資訊安全管理及BS10012個人資訊管理制度；定期舉辦資訊安全宣導與導
入監控機制，以落實個資保護管理，確保作業安全及個資處理安全。
5.落實資訊安全：進行年度資安健檢/個資盤點/資安教育訓練、個人電腦資安強化及異地備援演練；導入資安
覆核系統、CodeReview工具VES加密與客製化簽核系統。
109年度計畫將進行：
1.建構整潔智慧台壽IT城：保險核心系統及外圍系統整併、建構資料倉儲暨商業智慧平台的台壽腦，建立系統
資源池(ResourcePool)及單一資料源，提高資源利用率及系統服務穩定度，大幅降低重工率。
2.發展保險金融數位化：推展數位創新應用功能與金融服務整合，如：文字客服機器人，提高客戶服務體驗及
滿意度；指紋辨識系統整合影像前掃，縮短案件處理時間提昇效率；使用Line官方帳號連結社群生態圈。
3.持續資訊治理：持續維持ISO27001資訊安全認證與BS10012全公司個人資訊管理(PIMS)認證，確保作業安全
與個資處理安全，並啟動準備國際財務報導準則第十七號(IFRS17)以利公司長期發展。
4.提升資訊安全：將持續進行年度資安健檢/系統弱點修補管理/資安教育訓練及排訂年度備援演練；計畫建立
網站防止自動化攻擊防護系統、上網隔離機制及第二階段網站防竄改機制。
"
2891,中信金,107,135,2891_107,1476,"133
營運概況
動工具、EdgE數位實驗室、流程機器人(RPA)，提供數位金融服務業務全面e化，保戶更簡便、優質之服務。
2.系統整合及優化：提升IT基礎架構功能，已進行EndtoEnd監控/網路監控/Infrastructure監控等。
3.科技技術法令：通過ISO27001資訊安全管理及BS10012個資管理制度續審；定期辦理資訊安全宣導與導入監
控機制落實個資保護管理，確保作業安全及個資處理安全。
4.提升資訊安全：持續建立個人電腦資訊安全強化及建立資安事件整合平臺(SIEM)、資料庫存取軌跡管理系
統、電子郵件進階持續性滲透攻擊(AdvancedPersistentThreat，APT)防禦機制、強化內部入侵偵測(DDI系統)
及特權帳號管理系統以保障資訊作業環境安全。
108年度計劃將進行：
1.系統整合及優化：建置台壽雲、服務共用架構及資料倉儲暨商業智慧平臺，建立系統資源池(ResourcePool)
及單一資料源，提高資源利用率及系統服務穩定度，大幅降低重工率。
2.保險數位金融發展：推展應用創新數位一條龍科技壽險產品與金融服務整合，支援深度學習應用領域與人工
智慧應用發展AI智能理賠及聊天機器人，提高客戶服務體驗及滿意度，語音質檢系統、指紋辨識系統，整合
單一影像調閱入口，縮短案件處理時間提昇效率。
3.持續推動新保險核心系統建置，短期針對業務流程整合與優化以及單一系統新契約進件，中長期將LSP/Vlife/
CAS等三核心系統分階段陸續進行資料持續移轉，整合單一核心系統，提升作業效率。
4.資訊治理：將持續進行ISO27001擴大認證與BS10012全公司認證，確保作業安全與個資處理安全，以利公司
長期發展。
5.提升資訊安全：將持續進行年度資安健檢/個資盤點/資安教育訓練、個人電腦資安強化；計劃建立與評估導
入資安覆核系統、CodeReview工具VES加密與客製化簽核系統。
(四)中國信託證券股份有限公司
主要資訊應用系統配置為：證券經紀、國內暨海外證券自營、國內暨海外債券自營、複委託、期貨經紀、
國內暨國外期貨自營、電子下單(含412語音下單、點富王行動下單、致富王AP下單及Web下單)等交易系統及
即時行情系統；支援辦公室自動化之行政應用系統；硬體則以IBMAS/400作業系統主機、中型伺服器(Unix)及小
型伺服器(Windows)及虛擬化主機(VMware)為主；重要供應廠商包含中菲、嘉實、三竹、精誠、奇唯、全曜財
經、中華電信、繹宇、捷智商訊、程曦，以及IBM等。
107年度重要科技專案如下：
1.業務支援：
客戶亮點下單App、客戶應用程式介面(ApplicationProgrammingInterface，API)交易功能、中信服務讚(忘記
密碼、鎖碼解除、洗錢防制(AML)中風險審查作業、手機存摺申請、影像簽名、證券舊戶增加投顧線上開
戶)、證交所價格欄位擴充第一階段、臺股預收款券自動圈存、證交所/期交所新種業務功能、期貨快速下單
(Speedy)、關聯戶系統架構更新、集保直通式處理(StraightThroughProcessing，STP)系統、共同申報準則(CRS)
及外國帳戶稅收遵從法案(ForeignAccountTaxComplianceAct，FATCA)優化、開辦融資自有專戶出借作業、
優化活存系統、數據中心及分析工具導入、金控市場風險資料庫建立、OSU債券系統建置、OSU股票系統建
置、中信銀個託複委託長效單新制調整、權證加國外期貨避險。
"
2891,中信金,109,136,2891_109,1563,"134
(二)中國信託商業銀行股份有限公司
主要資訊系統含存款、放款、外匯、信用卡、法金業務、電子商務與支付等支援銀行產品之交易系統。
硬體則以「IBM大型主機」、「中型伺服器」(Unix)、「小型伺服器」(Windows)與「虛擬化主機」(VMware)
為主，考量最適化系統配置及滿足系統服務等級，與軟、硬體供應廠商簽署維護合約，以確保符合業務服務水
準。
109年度重要科技專案如下：
1.支援業務發展：持續完備並優化數位平台與服務、推展應用新興科技和人工智慧之金融服務，強化中信銀行
全通路並提供客戶一致服務的體驗；中信銀行亦積極擴展雲端應用、落實敏捷管理文化與啟動核心現代化專
案，同時進行平台整合以提升系統效率，及持續推展海外資訊治理深化與標準化，支援業務穩定成長。
2.提升資訊安全：持續強化資訊安全治理，安排每年於董事會呈報資安管理執行成效。中信銀行業已取得ISO
27001資訊安全管理及BS10012個資管理兩項國際標準認證，及導入國際資安成熟度評估方法論，持續強化資
安管理作為；此外，中信銀行已在多年前導入資安事件分析與應變解決方案，近年更分別在內、外網路上佈
署了新一代的智能分析資安偵測機制，補足傳統資安系統盲點，以強化整體的資安防護能力；同時亦聘請國
際白帽駭客團隊進行實兵攻防演練，驗證資安縱深防禦有效性亦陸續佈署非傳統威脅偵測機制，諸如網路行
為及使用者行為異常偵測及應變。
3.緊急備援措施：為確保業務持續營運，定期舉行災難備援演練作業，以驗證備援計畫之完整性與可行性。
110年度計畫將進行：
未來亦將本著持續改善及發展之精神，加強數位金融創新科技研發，運用新興科技拓展全方位與多樣化的
金融服務；積極推展核心現代化及建置核心轉型；驅動敏捷成為數位文化的核心，持續精進應用架構改善；拓
展洗錢防制機制與深耕資安文化，進而提升銀行營運效率與服務品質，守護廣大客戶及股東之權益。
(三)台灣人壽保險股份有限公司
主要資訊應用系統包含保險核心系統、保單影像系統；客戶服務系統：保戶天地、網路投保系統、旅行平
安險等；業務通路系統：智能幫手iKASH、行動保、行動保全；不動產系統、投資系統；台壽腦：EDW企業級
資料倉儲、RPA流程機器人，以及APIM系統等；硬體則以「IBMRS/6000主機」、「IBMAS/400主機」及「虛
擬化主機」(VMware)為主。此外，依照系統配置及系統服務等級，與軟、硬體供應商簽署維護合約，以確保符
合業務服務品質。
109年度重要科技專案如下：
1.新核心系統專案完成第一階段目標：新核心系統專案已完成第一階段目標，將CAS保單移轉至VLife，同時進
行業務流程整合與優化及新保單功能導入新核心系統，中長期則將LSP/Vlife等核心系統分階段陸續進行資料
移轉，並逐步整合單一核心系統，以提升作業效率。
2.企業級資料倉儲(EDW)於4月上線，整合多個核心系統資訊於EDW，提供彙整後之一站式保單諮詢服務及完
善保單健診服務所需資訊。
3.基礎建設架構強化：持續汰換老舊硬體設備，執行軟體EOS(EndofService)升級，提升主機與系統執行效能。
4.保險金融數位化：109年度推出「台灣人壽LINE官方帳號」及「便利賠」ibon一站式理賠申請服務等系統，
推進數位金融服務業務全面e化，提供保戶更即時、簡便之優質服務。
5.遵循科技技術法令：續審ISO27001資訊安全管理及BS10012個人資訊管理制度；定期舉辦資訊安全及個資管
理宣導與導入監控機制，提升及落實個資保護管理意識，確保作業及個資處理安全之有效性。
6.落實資訊安全：進行年度資安健檢/個資盤點/資安教育訓練、個人電腦資安強化及異地備援演練；導入第二
階段網站防竄改機制。
"
2891,中信金,109,140,2891_109,1326,"138
(4)建置電子郵件歸檔系統(MailArchive)機制，將公司對外電子郵件均能完整記錄，強化資料外流防堵效
果。
3.基礎架構面
(1)超融合基儲架構(HCI)導入，加強公司主機系統備援性及資源調派彈性。
(2)全公司開始導入行動辦公基礎建設。
4.應用系統面
(1)導入公司新一代核心系統，提升投資決定、風險管理、基金交易以及基金會計處理效能及彈性。
(2)導入流程機器人(RPA)，以提供需大量人力之資訊系統處理工作。
(3)AI智能選股持續開發，並以此輔助公司基金投資決策。
(4)配合新一年度公司商品募集，新增之投資交易、帳務模組以及風控法規條文系統開發。
(六)台灣彩券股份有限公司
主要資訊系統分為處理彩券交易的「彩券資訊系統」、支援業務分析之「彩券營運管理系統」及支援辦公
室自動化之「行政應用系統」等三大類。硬體則以「中型伺服器」(Unix)、「小型伺服器」(WindowsServer)、
「個人電腦」(PC)及彩券交易專用的「投注終端機」(Terminal)為主。重要的系統供應與維護廠商包含中華電
信、遠傳電信、IBM、思科、微軟、甲骨文、聚碩、文偉、仁大、聲寶及樂富。
除由台灣彩券與協力廠商定期監控相關軟、硬體之可用性外，並簽訂相關合約以確保廠商可提供完整且健
全之保養與支援服務；為強化與落實資訊系統之安全與穩定，重要系統除設備本身皆採取增量備援機制外，更
建置相同規模的異地備援環境，作為災難應變及復原之準備，且每年皆進行實地測試演練，以確保其可行性與
有效性。
本年度本公司特別添購30TB的SSD，把原本在傳統SATA硬碟上的資料庫移轉到新購的SSD上，整體的系統
效能得到顯著的提升，特別兌獎與報表資料產出等作業，縮短了約3~6倍的時間。在整個資料移轉過程中，系
統仍維持著營運不中斷、服務不停止的方式運作。在此嚴苛的實戰考驗中，系統的正確性、穩定性及作業彈性
都獲得最佳的驗證。
八、勞資關係
(一)各項員工福利措施、退休制度及其實施情形，勞資協議及員工權益維護措施
1.福利措施
中信金控及其子公司為落實企業對員工Wearefamily的品牌精神，以照顧家人般的用心關懷，規劃「核心福
利」及「彈性福利」兩大類福利制度及其他照顧措施，讓員工在工作與生活間獲得良好的平衡。
(1)核心福利：除依法令規定為員工投保勞、健保外，並照顧員工日常生活中的基本需求，提供員工團體保險、
結婚補助、眷屬喪葬補助、生育津貼、眷屬住院醫療補助、子女教育補助以及各種藝文、體育類社團活動、
尾牙、部門旅遊補助、團隊餐敘等。於春節、端午及中秋等三大節慶，公司亦會致贈賀節獎金；同仁生日時
發給生日點數，並附上董事長的祝賀卡片，表達對員工的關懷。若同仁發生急難時，公司亦會即時提供慰問
金及無息貸款，發揮Wearefamily大家庭精神。
(2)彈性福利：自92年7月1日起首創業界之先，提供正職員工「彈性福利制度」，突破傳統制式化福利的藩籬，
採用「點數制」的方式，每年給發福利點數予員工，開放員工自主性於福利平台選擇所需之福利項目，提供
同仁更多元的福利選擇與優惠的消費資訊，以符合個人食、衣、住、行、育、樂的實際需要。
"
2891,中信金,111,14,2891_111,38,"「全球最佳創新RPA」(BestRPAInitiative,Global)
"
2891,中信金,111,156,2891_111,1390,"(三)台灣人壽保險股份有限公司
主要資訊應用系統包含保險核心系統、保單影像系統；客戶服務系統：保戶天地、網路投保系統、旅行平
安險等；業務通路系統：智能幫手iKASH、行動保、行動保全；不動產系統、投資系統；台壽腦：EDW企業級
資料倉儲、RPA流程機器人，以及APIM系統等；硬體則以「IBMRS/6000主機」、「IBMAS/400主機」及「虛
擬化主機」(VMware)為主。此外，依照系統配置及系統服務等級，與軟、硬體供應商簽署維護合約，以確保符
合業務服務品質。
111年度重要科技專案如下：
1.以客戶為中心、打造視角一致、輕薄短小、共用服務平台化：前端系統去重複、共用模組跨系統串接，標準
化開發架構；完成遠距投保系統及遠距行動保全系統建置，完成行動保、建議書及保天服務中台設計。
2.資訊架構轉型，打造數據及智能服務中台支持數位化營運：利用現有資料倉儲基礎打造數據中台、透過AI應
用服務化打造智能服務中台；完成智能客服專案及智能理賠醫療收據專案第一階段、完成AI服務化技術框
架。
3.穩定既有核心：檔表減量降負荷、核心業務模組化、導入自動化批次排程機制，穩定運行自動監控；完成報
表/檔案總數下降減負15%、優化投資型商品功能30項、優化批次程式50支。
4.基礎建設強化高可用：既有核心延壽、異地備援，服務不中斷；建立工作雲及學習雲，居家辦公隨需應變；
建議書應用迴歸測試、ACP、智能客服系統；建置軟體生命週期管理工具並擴大自動化測試提升品質以打造
數位化營運。
5.持續資訊治理：持續維持ISO27001資訊安全認證與BS10012全公司個人資訊管理(PIMS)認證，確保作業安全
與個資處理安全，成立變更諮詢委員會及變更審查機制，強化資訊治理結構及發展。
6.提升資訊安全：將持續進行年度資安健檢/系統弱點修補管理/資安教育訓練及年度備援演練；成立資訊安全
部，建立制度化與專業化培訓、強化關鍵風險識別防護、建立自主分析團隊與應變機制。
112年度計畫將進行：
1.持續打造以客戶為中心、視角一致、共用服務平台化：完成訊息通知/身份驗證服務中台。
2.持續打造數據及智能服務中台，支持數位化營運：完成報表整合平台、啟動資料倉儲轉換作業。
3.既有核心輕量化、核心業務模組化：持續降低報表與檔案負荷及批次程式、投資型商品功能優化，完成旅平
險模組規劃。
4.強化營運韌性、建立雲端服務、自動化測試，打造數位維運：Outlook上雲，擴大自動化迴歸測試。
5.提升產能效率、減少人工作業：導入帳號自動化管理及自動化過版工具。
(四)中國信託綜合證券股份有限公司
主要資訊應用系統配置為：證券經紀、國內暨海外證券自營、國內暨海外債券自營、複委託、期貨經紀、
國內暨國外期貨自營、電子下單(含412語音下單、點富王APP、中信亮點APP、致富王AP下單及Web下單)等交
易系統及即時行情系統；中信服務讚APP(線上開戶與風險預告書簽署)；中信利吉通APP(臨櫃載具開戶)；支援
辦公室自動化之行政應用系統；硬體則以IBMAS/400作業系統主機、中型伺服器(Unix)及小型伺服器(Windows)
及虛擬化主機(VMware)為主；重要供應廠商包含中菲、嘉實、三竹、精誠、奇唯、敦陽科技、中華電信、遠傳
電信、臺灣大哥大、繹宇、程曦、百商，以及IBM等。
"
2891,中信金,111,159,2891_111,807,"157
營運概況
(3)建置核心資料庫：提升系統資料傳輸穩定度。
3.應用系統面
(1)新官網的建置，以此可以更便利服務客戶。
(2)核心系統功能優化，以此提升輔助業務面處理工作。
(3)AI智能選股持續開發，並以此輔助公司基金投資決策。
(4)建置新交易網，提供越南美元申購及外幣庫存基金贖回功能
(5)配合新一年度公司商品募集，持續新增之投資交易、帳務模組以及風控法規條文系統開發。
112年度重要資訊專案如下：
3.應用系統面
(1)開發借券系統，以此提升輔助業務面處理工作。
(2)配合客服系統系統專案建置電話管理系統(CTI)，，以此提升輔助業務面處理工作。
(3)配合交易下單系統與核心系統(PAM/IMS)功能串接，以此輔助業務面處理工作。
(4)持續導入流程機器人(RPA)，以節省各部門需大量人力之資訊系統處理工作。
(5)AI調整權重的指數開發、台股智能投資、智能分析元件，以此輔助公司基金投資決策。
(6)股務系統ETF匯款退費功能，以此提升基金事務科處理工作。
(六)台灣彩券股份有限公司
主要資訊系統分為處理彩券交易的「彩券資訊系統」、支援業務分析之「彩券營運管理系統」及支援辦公
室自動化之「行政應用系統」等三大類。硬體則以「中型伺服器」(Unix)、「小型伺服器」(WindowsServer)、
「個人電腦」(PC)及彩券交易專用的「投注終端機」(Terminal)為主。重要的系統供應與維護廠商包含中華電
信、遠傳電信、IBM、思科、微軟、甲骨文、聚碩、文偉、仁大、聲寶及樂富。
除由台灣彩券與協力廠商定期監控相關軟、硬體之可用性外，並簽訂相關合約以確保廠商可提供完整且健
全之保養與支援服務；為強化與落實資訊系統之安全與穩定，重要系統除設備本身皆採取增量備援機制外，更
建置相同規模的異地備援環境，作為災難應變及復原之準備，且每年皆進行實地測試演練，以確保其可行性與
有效性。
"
2891,中信金,110,151,2891_110,1334,"3.緊急備援措施：為確保業務持續營運，定期舉行災難備援演練作業，以驗證備援計劃之完整性與可行性。
111年度計畫將進行：
未來亦將本著持續改善及發展之精神，加強數位金融創新科技研發，運用新興科技拓展全方位與多樣化的
金融服務，推動科技雲端與銀行核心轉型，再造數位銀行資訊力；啟動數據治理工程及素養文化認知、從改變
主管、同仁思維著手，並以業務場景循環陸續建立管理機制與技術平台，以提高企業的數據驅動力，進而促使
數位轉型事半功倍；持續驅動敏捷成為數位文化的核心，繼續精進應用架構改善；拓展洗錢防制機制與深耕資
安文化，進而提升銀行營運效率與服務品質，守護廣大客戶及股東之權益。
(三)台灣人壽保險股份有限公司
主要資訊應用系統包含保險核心系統、保單影像系統；客戶服務系統：保戶天地、網路投保系統、旅行平
安險等；業務通路系統：智能幫手iKASH、行動保、行動保全；不動產系統、投資系統；台壽腦：EDW企業級
資料倉儲、RPA流程機器人，以及APIM系統等；硬體則以「IBMRS/6000主機」、「IBMAS/400主機」及「虛
擬化主機」(VMware)為主。此外，依照系統配置及系統服務等級，與軟、硬體供應商簽署維護合約，以確保符
合業務服務品質。
110年度重要科技專案如下：
1.建構整潔智慧台壽IT城：系統整併汰換升級，提高資源利用率及系統服務穩定度，大幅降低重工率；人員能
力依開發技能、依開發語言建立資源共用池。
2.基礎建設優化及整併：導入新世代備份機制，提高備份檔案壓縮比，縮短備份時間，增加備份效能；建置新
一代超融合主機架構提供平台最佳擴充機制、節省機房空間與電力、降低設備故障與服務中斷風險；優化網
路架構與監控管理，提升網路頻寬、強化網路傳輸安全性。
3.數位暨業務發展：推展數位創新應用功能，如：因應疫情，搭配人機協作、影音串流質檢、以親子同框進行
人臉辨識以協助客戶完成遠距投保；投組Advisory系統：協助保戶進行投資組合檢視與監控，有效服務小資
族群，擴大投資型保單需求者的規模。
4.運用InsurTech架構精進業務流程改造：ACP(AutomaticClaimProcessor)，運用InsurTech技術，加快理賠案件
處理時效與審理速度，提高客戶滿意度；DMP專案，優化保戶使用體驗，降低客服人力需求，提升拓展新
業務機會；文字客服機器人，提高客戶服務體驗及滿意度；智能客服(高齡錄音)，進行線上質檢作業，即時
檢視錄音結果，降低客戶及業務員錄音失敗率；生態圈專案，透過與第三方平台合作，建構健康管理服務平
台，共享用戶健康數據資料，實踐OmniChannel場景運用及未來開發創新商品、核保理賠等參考；AI健康風
險分數專案，經保戶同意後，取得該保戶健康存摺之健康風險分數，推薦適合之商品。
5.持續資訊治理：持續維持ISO27001資訊安全認證與BS10012全公司個人資訊管理(PIMS)認證，確保作業安全
與個資處理安全，完成與中信銀行同步接軌，強化資訊治理結構及發展。
6.提升資訊安全：將持續進行年度資安健檢/系統弱點修補管理/資安教育訓練及排訂年度備援演練；定期執行
資安攻防演練，確認公司資安防護有效性。
"
2891,中信金,110,154,2891_110,1275,"152
3.提升資訊安全：
資通安全健診規劃執行、Linux平台系統防毒軟體(防禦病毒入侵威脅)導入、防火牆版本升級及汰換(安全
修護)、核心網路設備汰換(安全修護)、個人電腦Win10升級作業(安全修護)、Win2012EOS升級作業(安全修
護)、個人電腦防毒掃描(每週)改善(防毒)、系統網路弱點掃描(半年)強化(弱點掃描)、系統主機HotFix更新(每
月)(安全修護)、VMESXI版本升級(安全修護)、操作代號及權限等級之定期(半年)查核(帳號權限管理)、進行
行動APP滲透測試(MAS認證)、滲透測試(黑箱)應用系統弱點強化(弱點掃描)、強化社交工程演練(資安意識強
化)、行動應用程式最小支援版本升級、資訊系統版本EOS升級。
未來仍會持續強化個人資料保護、交易系統、網路與資安防護架構之穩定，並評估其它ISP固網業者，
降低營運費用與分散維運風險，即時因應調整，以保障投資大眾之交易安全、效率與權益。
(五)中國信託證券投資信託股份有限公司
中信投信主要的資訊系統為資產管理(基金帳務)系統，其中內含基金及全權委託之投資決定、投資風險控
制、投資法規與內規檢查、投資交易以及淨值結算流程，111年預計導入新核心系統後，區分為IMS系統為基金
及全權委託之投資決定、投資風險控制、投資法規與內規檢查、投資交易，另一套是PAM系統主要為基金及全
權委託淨值結算流程。另外有基金事務(股務)系統，主要處理基金投資人之申購、買回以及定期定額等交易處
理以及客戶服務等功能。
110年度重要資訊專案如下：
1.資安管理面
(1)建置上網隔離系統(MenloSecuritySoftwareSystem)，降低公司員工上網接觸惡意病毒機率。
(2)建置端點偵測及回應系統，使公司資安管理可透過人工智慧加速判斷系統異常行為。
(3)建置電子郵件備份系統機制，將公司對外電子郵件均能完整記錄，強化資料外流防堵效果。
(4)建置檔案加密系統，防止公司重要資料外流。
2.基礎架構面
(1)居家辦公透過配發公司筆電，並限定該設備只能VPN連線至公司方式，加上手機錄音機制強化，以及導
入居家辦公資安端點安控軟體，使居家辦公期間資安更加強化。
(2)資料庫升級：基金事務系統升級SQL2019，提升資料庫資安。
(3)AD、電子郵件系統升級。
3.應用系統面
(1)線上開戶建置，以此可以更便利服務客戶。
(2)CRM系統建置，以此提升輔助業務面處理工作。
(3)導入流程機器人(RPA)，以提節省需大量人力之資訊系統處理工作。
(4)AI智能選股持續開發，並以此輔助公司基金投資決策。
(5)配合新一年度公司商品募集，新增之投資交易、帳務模組以及風控法規條文系統開發。
111年度重要資訊專案如下：
1.資安管理面
(1)重新評估新的DLP系統，以改善地端DLP審核機制。
(2)重新評估新的手機收發系統，以改善資安問題。
(3)郵件安全閘道系統的建置，加強資安防護能力。
(4)建置網路行為偵測系統(NDR)，主動發現公司內部網路之可疑異常行為。
"
2891,中信金,110,155,2891_110,1056,"153
營運概況
2.基礎架構面
(1)超融合基儲架構(HCI)導入，硬體韌體自動弱點更新修補。
3.應用系統面
(1)公司新一代核心系統導入，提升投資決定、風險管理、基金交易以及基金會計處理效能及彈性。
(2)CRM系統持續建置，以此提升輔助業務面處理工作。
(3)持續導入流程機器人(RPA)，以節省各部門需大量人力之資訊系統處理工作。
(4)AI調整權重的指數開發、台股智能投資、智能分析元件，以此輔助公司基金投資決策。
(5)交易網、官網改善計劃使用新的技術，並增加日日扣模組以吸引線上客戶。
(6)股務作業系統優化，以此提升基金事務科處理工作。
(六)台灣彩券股份有限公司
主要資訊系統分為處理彩券交易的「彩券資訊系統」、支援業務分析之「彩券營運管理系統」及支援辦公
室自動化之「行政應用系統」等三大類。硬體則以「中型伺服器」(Unix)、「小型伺服器」(WindowsServer)、
「個人電腦」(PC)及彩券交易專用的「投注終端機」(Terminal)為主。重要的系統供應與維護廠商包含中華電
信、遠傳電信、IBM、思科、微軟、甲骨文、聚碩、文偉、仁大、聲寶及樂富。
除由台灣彩券與協力廠商定期監控相關軟、硬體之可用性外，並簽訂相關合約以確保廠商可提供完整且健
全之保養與支援服務；為強化與落實資訊系統之安全與穩定，重要系統除設備本身皆採取增量備援機制外，更
建置相同規模的異地備援環境，作為災難應變及復原之準備，且每年皆進行實地測試演練，以確保其可行性與
有效性。
本年度因事前以把原本在傳統SATA硬碟上的資料庫移轉到新購的SSD上，整體的系統效能得到顯著的提
升。特別是春節期間，雖然擁入了大量的交易資料，但系統於處理上並無任何的延遲，其結果獲得全國彩券經
銷商的肯定。在此嚴苛的實戰考驗中，系統的正確性、穩定性及作業彈性都獲得最佳的驗證。
八、資通安全管理
(一)資通安全風險管理架構
為確保中信金控及旗下子公司資訊安全管理能持續有效運作，並妥善保護營運機密與客戶資訊，避免其保
密性、完整性、正確性及可用性遭受內、外部人員蓄意或疏忽所造成之破壞，本公司設有「金融控股公司暨子
公司資訊安全主管聯席會(下稱金控資安主管會議)」，並每季召開會議。金控資安主管會議由金控資安最高主
管(CISO)擔任召集人，子公司包括銀行、人壽、證券、投信及台灣彩券之資訊安全作業最高主管與會，除負責
本金控公司集團資安政策及策略一致性外，亦透過子公司資訊安全管理近況呈報，達到相互交流、學習成長之
效益。
"
