Key,Year,Trade,Industry,Adopt,Adopt_Ind,RPA_Ctd,Big4,Fin,INST,SG,Cycle,CL,Zscore,INSTt,MS,LGTA,BM.x,LEV,OCF,MTB,Age,ESG,RD,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12012017,2017,TSE,M1200,0,0,0,1,0,0.5893,0.038019407,400.93,0.579695297,0.992072187,0.5878,0.027030039,17.30784707,0.744271252,0.762407539,0.02992976,1.343596165,4.248495242,62.65,0.01382824,0.232328488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12012018,2018,TSE,M1200,0,0,0,1,0,0.5878,0.086816565,397.87,0.552951351,1.501248317,0.5417,0.028024156,16.87152372,0.434325149,0.708114182,0.029750742,2.302422511,4.248495242,63.52,0.012653496,0.225401524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12012019,2019,TSE,M1200,0,0,0,1,0,0.5417,0.039121581,203.07,0.381760107,2.126802533,0.5479,0.027866962,16.76503883,0.675588707,0.636392327,0.07479904,1.480190521,4.248495242,63.04,0.011642012,0.217668682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12012020,2020,TSE,M1200,0,0,0,1,0,0.5479,-0.084566989,40.34,0.338598336,1.90731297,0.5439,0.025463321,16.70763195,0.673995096,0.619788702,0.103907984,1.483690321,4.248495242,74.35,0.012287898,0.205154601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12012021,2021,TSE,M1200,0,0,0,1,0,0.5439,0.058885817,41.62,0.330468007,2.049700569,0.5493,0.024765705,16.70360717,0.716090885,0.607326906,0.063499306,1.396470785,4.248495242,74.24,0.011383115,0.20287254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12012022,2022,TSE,M1200,0,0,0,1,0,0.5493,0.00775904,38.95,0.3524961,1.923019509,0.5488,0.022758639,16.68387674,0.71281831,0.589245617,0.048197927,1.402882033,4.248495242,71.8,0.010531206,0.20565391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12032017,2017,TSE,M1200,0,0,0,0,0,0.6693,-0.024470027,114.19,0.217211593,2.690487811,0.7076,0.009434481,16.03387467,1.124693816,0.389806186,0.089647934,0.889130878,4.158883083,57,0.001266955,0.103683659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12032018,2018,TSE,M1200,0,0,0,0,0,0.7076,-0.018769843,109.2,0.176736633,2.893990771,0.7238,0.008767703,16.01550962,1.08785672,0.348515818,0.080642504,0.919238703,4.158883083,62.4,0.001688365,0.111022621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12032019,2019,TSE,M1200,0,0,0,0,0,0.7238,0.038304115,119.12,0.184103259,2.899057272,0.7334,0.008711112,16.05887905,0.996468834,0.340524472,0.047228093,1.003543679,4.158883083,60.08,0.001401023,0.111740079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12032020,2020,TSE,M1200,0,0,0,0,0,0.7334,-0.046252627,125.38,0.166953327,3.45272001,0.745,0.008251232,16.04891726,0.836032793,0.323547875,0.116215201,1.19612533,4.158883083,62.84,0.0014051,0.121043069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
