Code,Key,DA,DA1,DA2,ABCFO,ABPROD,ABEXP,ROA,Median_ROA,ADJROA,CFO,R1,R2,R3,R4,R5
1201,12012022,-0.026495216,-0.030330227,0.024567002,-0.015867411,-0.048595818,0.146319588,0.013424007,0.050238304,-0.036814297,0.047256281,5.57E-08,1.112129153,0.008629054,0.064980505,1.103500099
1203,12032022,0.049373566,0.048236895,0.035127961,-0.03659939,0.046102158,-0.019795033,0.092809999,0.050238304,0.042571695,0.019296153,1.04E-07,0.666360317,0.058513438,-0.02283919,0.60784688
1210,12102022,-0.042353907,-0.042016746,0.015229228,-0.011059173,0.035944439,-0.01992944,0.050238304,0.050238304,0,0.041248125,1.76E-08,1.9970568,0.209042812,0.348778549,1.788013988
1215,12152022,-0.01956186,-0.020218353,0.002322554,0.008352406,0.024211006,-0.058162088,0.06688279,0.050238304,0.016644486,0.060512121,4.31E-08,1.249455506,0.177667133,0.11440894,1.071788373
1216,12162022,-0.107854991,-0.109353773,-0.063374982,0.061820379,-0.128805752,0.135817948,0.051602864,0.050238304,0.00136456,0.122115814,1.95E-09,1.020994556,0.099856104,0.050933213,0.921138452
1217,12172022,-0.010901991,-0.010413199,0.050407204,-0.05221822,0.035051588,-0.021574807,0.02079914,0.050238304,-0.029439164,0.009292123,7.23E-08,0.346946839,0.006485977,0.006966508,0.340460862
1218,12182022,0.550313347,0.550803955,0.06266694,-0.094085025,0.089734799,0.037416007,0.556346912,0.050238304,0.506108608,-0.040504777,9.40E-08,1.040529499,0.105699645,0.149352489,0.934829854
1219,12192022,-0.000445981,-0.001271091,0.076074921,-0.070413664,0.088723202,-0.035718001,0.033390873,0.050238304,-0.016847431,-0.026887514,1.09E-07,1.857819205,0.242686194,0.268258436,1.615133011
1220,12202022,0.018950009,0.020309571,0.076148101,-0.071266619,0.110843855,-0.064226492,0.021753567,0.050238304,-0.028484737,-0.03142003,3.04E-07,1.074692939,0.096658555,0.134980815,0.978034384
1225,12252022,-0.025707372,-0.025690547,0.04777488,-0.043715347,0.050412247,-0.084089738,0.038109628,0.050238304,-0.012128677,-5.90E-05,1.10E-07,1.676811867,0.238266217,0.317313392,1.43854565
1227,12272022,0.002599653,-0.002566909,0.005075253,-0.012362562,0.146788538,0.028708391,0.04397829,0.050238304,-0.006260014,0.066133011,3.53E-08,1.022399408,-0.19032901,-0.005627601,1.212728418
1229,12292022,-0.016254402,-0.016528819,0.005535809,-0.014043165,0.0456849,-0.089775061,0.067520513,0.050238304,0.017282209,0.050796154,1.40E-08,0.171987194,0.014002337,0.024817173,0.157984856
1231,12312022,-0.016269188,-0.01550329,-0.02810619,0.033812904,-0.061998025,0.004630057,0.094582856,0.050238304,0.044344552,0.084337989,1.09E-07,1.169853342,0.136278277,0.076077005,1.033575065
1232,12322022,-0.041143875,-0.036066732,-0.039605483,0.028993646,0.02576278,-0.077003659,0.181023683,0.050238304,0.130785379,0.046382679,1.43E-07,3.523519247,0.599553252,0.433642017,2.923965995
1233,12332022,-0.083859013,-0.088519785,-0.048053903,0.05183533,-0.211086573,0.303856712,0.022339267,0.050238304,-0.027899038,0.087494306,4.33E-07,0.794839176,0.027132129,-0.05767239,0.767707047
1234,12342022,-0.012894911,-0.013530207,0.027138551,-0.027249576,0.031745223,-0.023687372,0.038885361,0.050238304,-0.011352943,0.035686671,4.39E-08,0.4194458,0.014727803,0.00078676,0.404717998
1235,12352022,0.011344479,0.011542336,0.051801611,-0.059696176,0.064119285,-0.099045743,0.041824757,0.050238304,-0.008413547,-0.008045632,2.14E-07,0.013474664,0.004689954,-0.008014846,0.00878471
1236,12362022,0.058400112,0.060760988,0.00199954,0.003740922,-0.06026499,0.041727845,0.122712713,0.050238304,0.072474408,0.043804477,2.89E-07,0.610055096,0.102282196,0.034090883,0.507772901
1256,12562022,0.050515316,0.053948945,-0.004096126,0.00552508,-0.048148899,-0.009349147,0.096378016,0.050238304,0.046139712,0.065668842,2.07E-07,0.850636807,-0.099672595,0.228616447,0.950309402
1264,12642022,-0.003816879,-0.00139145,-0.102058005,0.098412881,-0.187667316,0.060725391,0.171533607,0.050238304,0.121295303,0.14347566,2.35E-07,1.253019589,0.092111437,0.134414311,1.160908152
1702,17022022,-0.029176499,-0.030344962,0.020531383,-0.014865351,-0.017304844,0.02628461,0.023516696,0.050238304,-0.026721608,0.048535405,3.40E-08,0.696215982,0.020964091,0.076154792,0.675251891
1737,17372022,-0.002865386,-0.004639069,-0.000986124,0.005669152,-0.014467377,-0.020645642,0.050488212,0.050238304,0.000249907,0.068577431,1.18E-07,0.426754916,-0.056927786,0.113999178,0.483682703
1796,17962022,-0.054935456,-0.054606139,-0.077661834,0.084041647,-0.089536182,-0.031115505,0.070966062,0.050238304,0.020727757,0.092972572,7.59E-07,0.481411788,0.084767591,0.116966352,0.396644197
3054,30542022,-0.270363771,-0.270292543,-0.087690708,0.087499586,0.162202735,-0.058248746,-0.127552619,0.050238304,-0.177790923,0.082792576,1.05E-06,0.035856141,-0.014584887,-0.241656548,0.050441028
4205,42052022,-0.03147338,-0.030644595,-0.135101744,0.130353381,-0.14703711,-0.001460904,0.162489733,0.050238304,0.112251429,0.162251569,4.61E-07,0.848413766,0.054117178,0.035177824,0.794296589
4207,42072022,0.005823974,0.009563907,0.05298192,-0.044465292,0.051278812,-0.07250162,0.036130898,0.050238304,-0.014107406,0.001217804,1.89E-07,0.952279102,0.12438593,0.092162351,0.827893172
4712,47122022,0.049053622,0.048761841,0.031352241,-0.032150345,0.006307317,0.000842447,-0.143552177,0.050238304,-0.193790481,-0.385196393,6.15E-06,0.079295371,-0.034308841,-0.002792437,0.113604212
1201,12012021,-0.025052417,-0.029495368,-0.009324454,-0.005524435,-0.048580488,0.140741047,0.028163237,0.058431104,-0.030267867,0.063244249,5.55E-08,1.099067683,0.064719499,-0.087471711,1.034348184
1203,12032021,-0.033934687,-0.037949615,-0.039697937,0.038158349,0.021382714,-0.018142585,0.074695642,0.058431104,0.016264538,0.103419541,1.07E-07,0.624205576,-0.023453851,-0.02995595,0.647659427
1210,12102021,-0.099133722,-0.094302153,-0.05711074,0.014662315,-0.025835875,-0.004796623,0.043758757,0.058431104,-0.014672347,0.08282872,1.93E-08,1.962311558,0.382777866,0.075075993,1.579533692
1215,12152021,0.053047574,0.051751112,0.053057001,-0.032535186,0.061553476,-0.056656559,0.067207283,0.058431104,0.008776179,0.035775326,5.12E-08,1.270894375,0.135662675,0.051979068,1.1352317
1216,12162021,-0.09566363,-0.097188632,-0.079133613,0.046204481,-0.075166856,0.120352521,0.058134781,0.058431104,-0.000296322,0.113766499,2.02E-09,0.955915352,0.052856159,-0.001327827,0.903059193
1217,12172021,-0.021979827,-0.024042674,0.006731529,-0.051346142,0.063831869,-0.018314931,0.016278337,0.058431104,-0.042152766,0.008945601,7.50E-08,0.353116692,0.007225472,0.010962413,0.34589122
1218,12182021,0.043813731,0.047191309,0.063776014,-0.093210937,0.022425613,0.003879996,0.064068617,0.058431104,0.005637514,-0.029604238,1.08E-07,1.076265453,0.171948856,0.03847736,0.904316597
1219,12192021,0.018365613,0.024505344,0.052149712,-0.080470527,0.095911406,-0.039361641,0.032906892,0.058431104,-0.025524212,-0.012334529,1.17E-07,1.728499778,0.287087592,0.007591874,1.441412186
1220,12202021,-0.014738122,-0.012881901,-0.016246538,0.022765297,0.106111894,-0.065805683,0.067146122,0.058431104,0.008715019,0.085575514,3.22E-07,1.038077629,0.143267524,-0.066836574,0.894810105
1225,12252021,0.101070596,0.111196009,0.129271887,-0.141896933,0.143416302,-0.077074647,0.063281173,0.058431104,0.00485007,-0.077912817,1.30E-07,1.703273484,0.375706873,-0.056283742,1.327566611
1227,12272021,-0.090123389,-0.094982831,-0.091743754,0.063127593,-0.038931519,0.035989414,0.089890684,0.058431104,0.031459581,0.136899004,3.59E-08,1.233007984,-0.005721708,0.115009627,1.238729692
1229,12292021,-0.01326069,-0.012803876,-0.003269733,-0.023095534,0.104139014,-0.086844372,0.084733534,0.058431104,0.026302431,0.03438255,1.79E-08,0.202234572,0.031768174,0.022734447,0.170466398
1231,12312021,-0.017123438,-0.017229252,-0.028103911,0.049480621,-0.032779692,-0.001567519,0.092227156,0.058431104,0.033796052,0.116953951,1.13E-07,1.078811118,0.079406636,0.025890174,0.999404482
1232,12322021,0.05499082,0.062415453,0.03756059,-0.036364319,0.13926934,-0.090205636,0.200659097,0.058431104,0.142227993,0.045077503,1.58E-07,3.225546759,0.478368286,0.045815923,2.747178472
1233,12332021,0.02126098,0.018185901,0.019781689,-0.02311094,-0.139938816,0.260363992,0.017846195,0.058431104,-0.040584909,0.042912395,4.11E-07,0.728575855,-0.054732741,-0.14028714,0.783308595
1234,12342021,-0.037048006,-0.040142552,-0.018370542,-0.011928319,0.074286563,-0.029189243,0.03587389,0.058431104,-0.022557213,0.049728088,4.50E-08,0.415231716,0.000807198,0.002669351,0.414424518
1235,12352021,-0.023715398,-0.024531556,0.000577647,-0.047913902,0.126708424,-0.099133971,0.019695819,0.058431104,-0.038735285,0.006997919,2.40E-07,0.009859907,-0.008995816,0.004031548,0.018855723
1236,12362021,-0.020948061,-0.023419647,-0.005506364,-0.001263602,0.02375505,0.049773197,-0.009894133,0.058431104,-0.068325236,0.059675107,3.62E-07,0.63476773,0.042617068,-0.082236999,0.592150662
1256,12562021,0.00501613,0.004566217,-0.04707045,0.12946959,-0.271786051,0.041767074,0.19825746,0.058431104,0.139826356,0.189202378,2.81E-07,1.287992804,0.309853125,-0.011580205,0.978139679
1264,12642021,-0.014379949,-0.009810074,-0.055989476,0.103977404,-0.251147419,0.059497776,0.179502921,0.058431104,0.121071817,0.170089411,2.49E-07,1.2303954,0.142459806,0.074420162,1.087935595
1702,17022021,-0.000511441,-0.003076022,0.011088614,-0.016130441,-0.007584107,0.047668841,0.048899776,0.058431104,-0.009531327,0.047215436,3.95E-08,0.783796,0.088396378,-0.028500482,0.695399622
1737,17372021,-0.023159305,-0.026160979,-0.015494257,0.019410924,-0.031667055,-0.010101933,0.052856739,0.058431104,-0.005574364,0.076955325,1.28E-07,0.52523706,0.123793125,0.02869198,0.401443935
1796,17962021,0.049059749,0.05128397,0.009407132,0.063959889,-0.1142747,-0.01958083,0.058431104,0.058431104,0,0.114223225,1.02E-06,0.531596538,0.156762429,0.040783614,0.37483411
3054,30542021,0.191055706,0.187293406,0.145650053,-0.120442332,0.110379792,-0.074709873,0.045410828,0.058431104,-0.013020275,-0.060928827,9.97E-07,0.047653314,-0.228300963,0.146605724,0.275954277
4205,42052021,0.020419811,0.017695281,-0.043309395,0.115112161,-0.167740425,0.00051936,0.168024026,0.058431104,0.109592922,0.178630658,5.03E-07,0.868103574,0.038446589,0.032650626,0.829656985
4207,42072021,0.035994499,0.034797103,0.014001996,0.023669925,0.077468715,-0.076454483,0.108595302,0.058431104,0.050164199,0.086629258,1.93E-07,0.845160993,0.094084632,-0.040807599,0.751076362
4712,47122021,-0.063323129,-0.062863975,-0.032682701,-0.004765002,0.034792831,0.00738731,-0.484392105,0.058431104,-0.542823209,0.024876232,4.08E-06,0.075445648,-0.001854484,-0.015881574,0.077300132
1201,12012020,-0.007868487,-0.005944805,-0.006854799,-0.037766659,-0.004087073,0.107160701,0.028074755,0.060238325,-0.032163569,0.098110938,5.24E-08,0.976641706,-0.082591648,0.041438884,1.059233355
1203,12032020,-0.003432832,-0.004024332,-0.004039197,0.023597638,-0.039084773,-0.015777594,0.073625367,0.060238325,0.013387043,0.115063237,1.06E-07,0.64123961,-0.029659016,0.025698178,0.670898627
1210,12102020,-0.044835478,-0.043879364,-0.044910317,-0.052658858,0.128315135,-0.003796634,0.086094768,0.060238325,0.025856444,0.136761061,2.11E-08,1.726207606,0.082047474,0.11262093,1.644160132
1215,12152020,-0.013044371,-0.012018422,-0.012814636,-0.00906753,0.022560678,-0.061758206,0.088047947,0.060238325,0.027809623,0.128235909,5.36E-08,1.189769732,0.054476211,-0.00329495,1.135293521
1216,12162020,-0.043850089,-0.043145891,-0.043878469,0.007315517,-0.081650097,0.119967326,0.064510053,0.060238325,0.004271728,0.129269671,2.09E-09,0.936883525,-0.001377561,0.034625616,0.938261086
1217,12172020,-8.01E-05,-0.000443298,-0.002185407,-0.019147635,0.021520847,-0.012360579,0.019338886,0.060238325,-0.040899439,0.038522762,7.75E-08,0.357823434,0.011340583,0.011353843,0.346482851
1218,12182020,0.058475687,0.060945431,0.060973817,-0.06390412,0.011356582,0.004933319,0.092264491,0.060238325,0.032026166,0.044355142,1.08E-07,0.905386372,0.038522877,0.010717335,0.866863495
1219,12192020,0.006205784,0.009340521,0.00874605,-0.069034546,0.135305276,-0.047622633,0.063242351,0.060238325,0.003004026,0.0920758,1.12E-07,1.378916598,0.007262712,0.061456295,1.371653887
