Code,Key,Equity,Asset,PPE,NI_Ctd,OCF,S,AR,Asset_1,S_1,AR_1,S_2,EXP,PROD
1101,11012022,238275780,460808961,114739983,4157085,6180505,113929706,35113458,441684559,107041452,35940929,114367247,8421829,104345739
1102,11022022,184233245,324243127,39795675,12597136,15308631,91122104,13992365,317056069,94034188,14427468,79939010,3184209,79366622
1103,11032022,21999427,36412314,4848433,-173886,-391837,2253659,258417,40247651,2220254,229461,2058417,527956,2121073
1104,11042022,21526478,27811895,7911538,2183492,1013067,7055789,1982949,25096822,6079107,1661133,5426217,525210,5689489
1108,11082022,4905789,9661871,3023515,581221,644673,4149253,1006487,8041710,3769022,725496,4530172,279804,3158473
1109,11092022,9663552,11490026,2755243,517738,1493858,6388338,1050236,11702345,7378229,1944102,7593294,338610,5138589
1110,11102022,8726668,11989689,1580344,108124,-276638,1794015,376302,10958500,1846785,342904,1590986,152778,1672736
1201,12012022,7232656,17608226,9093780,241083,848680,19972832,2525151,17959094,19817862,2628999,18650871,5163869,14474786
1203,12032022,6575579,10000966,2961880,889374,184910,6385557,493355,9582739,5824838,463708,6043700,992023,4560378
1210,12102022,28896226,62341521,22235611,2850126,2340094,113297286,8507643,56732130,101437842,7534571,81650892,8300566,101938516
1213,12132022,365894,1058384,658261,-75809,9796,393947,94936,1122852,428407,130064,409612,55550,405814
1215,12152022,9487764,26393745,13789365,1550174,1402518,28959220,3211035,23177472,24841345,2846531,22189635,1894607,25082443
1216,12162022,192194954,551399914,125862298,26525917,62772368,524831664,21915791,514039630,473501669,20668592,447319979,138633361,357181700
1217,12172022,7517472,13755189,2449187,287793,128573,4800625,728909,13836774,4710880,664786,4614486,1265682,3363675
1218,12182022,12567859,16654604,1988740,5918572,-430901,11069440,1482855,10638276,9944978,1385063,8356125,1837971,9623679
1219,12192022,4433806,10275495,3728725,305533,-246026,16999408,1964234,9150195,14778782,1833277,12324165,1144381,15544381
1220,12202022,2434031,3202925,1190394,71606,-103425,3537556,775876,3291690,3219386,725783,2775071,246681,3228562
1225,12252022,3852374,9441163,3286771,347147,-537,15274361,2081374,9109168,13103954,1931095,10213493,638921,14273644
1227,12272022,17853740,27929413,4282791,1244108,1870846,28922800,4980126,28289140,34307044,5728649,34466244,4915721,22564224
1229,12292022,53432123,69909548,4524144,4839212,3640573,12326365,1986588,71670249,11322814,1992508,9544161,1138131,9634282
1231,12312022,5171248,10518025,4564570,870986,776644,10772839,2250080,9208709,9517892,2089376,8817321,1324260,8270979
1232,12322022,5271072,7393401,823356,1267799,324841,24676960,1403584,7003498,20477990,1071165,17440979,929712,22273195
1233,12332022,1489549,2353960,884271,51592,202066,1835662,222855,2309476,1773001,248207,1906194,1008251,807693
1234,12342022,18345327,22759247,5938938,886135,813242,9558497,788957,22788396,9222874,737508,9204945,2083947,6879679
1235,12352022,1697508,3605307,172143,195633,-37633,63027,6232,4677445,41090,3466,78579,14833,38090
1236,12362022,2932606,4122836,1811357,424156,151410,2108653,448542,3456496,1755115,370941,1637280,564358,1539923
1240,12402022,1317752,2214254,423655,-18955,-92956,3370796,554217,2132189,2999605,500804,2276984,250815,3093190
1256,12562022,4100050,4673081,1905660,464692,316626,4101393,354027,4821556,4581970,280080,3479683,616066,2931835
1259,12592022,2005546,5324339,539135,117951,1028016,5725450,132303,5286602,5034182,114261,5342094,1332309,4272622
1264,12642022,3641232,4706617,1510369,731162,611565,5340996,1097234,4262500,4948371,1015819,4375430,877891,3496541
1268,12682022,1850455,6281228,1056774,130052,603988,3756874,206538,4662620,2929855,168987,3459267,1497629,2229816
1301,13012022,357684863,511254407,107315483,36142868,56801615,251647354,15853065,543678922,273598301,25604440,185813405,15759527,209088610
1303,13032022,394101430,665316156,211967022,38484719,75296335,355183300,50583345,668695386,411670391,62127981,273353806,21878561,301276564
1304,13042022,50924885,77741569,25520104,-61189,9749787,66437122,7939581,84825213,71755542,9391222,50201273,5204155,55496976
1305,13052022,10041228,16683779,8447505,-337717,816378,17637479,1421840,16975315,20221524,2043000,13733148,1662631,16959318
1307,13072022,8482298,15400050,4886692,470114,1579109,10763499,1377320,14740117,8384007,1275542,8441756,1440771,9029397
1308,13082022,14216958,16390069,3363478,1447369,3622699,9815332,1070835,18978546,9565813,1419309,5703546,285964,6582460
1309,13092022,7206214,9240876,1960833,412078,1102890,18083799,1642328,10744659,20771165,2468514,15498381,1534668,16323674
1310,13102022,6722246,8912648,3650870,-332128,-8880,12853960,975107,9299190,11714016,917966,8113225,210322,13180825
1312,13122022,36107841,60371545,18822036,-454388,2154072,18176626,1880614,48912979,22547353,2452342,16575784,1658353,17305359
1313,13132022,26106202,50562422,16135794,-1236224,673203,72819643,3540688,53771844,81942428,4942116,51866839,2716636,72475633
1314,13142022,79518249,141122929,27190100,205397,-9213169,25027795,1759613,135241310,35163380,3869076,17583092,2612392,26261243
1315,13152022,10638744,11534541,1970028,711224,526284,2669360,434226,12754724,2378900,422376,2233540,334882,2164045
1316,13162022,5322044,11806141,1663007,56086,-577558,2331605,178440,10599150,1035758,194729,1236441,417465,1744172
1319,13192022,24265487,33540172,18192011,2036720,5591773,21282606,3817579,34453458,18380295,3592493,17322986,3093555,16254532
1321,13212022,5913860,11769962,3378266,-42657,56338,6506136,625713,12980183,6490333,751866,4980018,561388,6135998
1323,13232022,2908378,5617303,2372023,291110,704270,3752381,750035,5728613,3797590,935871,3406532,491078,2948299
1324,13242022,953592,1176409,340111,4803,81157,983017,178233,1245313,1076840,220357,1055758,152883,829229
1325,13252022,2879008,3005348,1168563,13526,77926,553968,69704,3217382,1191043,95139,4056858,48696,510294
1326,13262022,373356464,555538628,142848941,9203861,32732255,379896563,30059576,598345271,365812098,37105260,253294668,18028435,367154202
1336,13362022,1723535,2773483,918561,157807,286548,2669152,556021,2266610,2085430,397663,1906581,223539,2199441
1337,13372022,4893473,5067362,1257414,-476892,-329885,643603,125766,5507928,1107098,106013,1008157,240747,870422
1338,13382022,6742011,11087758,3946954,130693,1008044,7344840,2305681,11708434,7314879,2589776,6166478,1285503,5849352
1339,13392022,3815549,5537470,2974815,400993,747592,2020758,561362,5051865,1918100,497048,2120901,350460,1490296
1340,13402022,4648537,4789329,706867,-429878,-362577,499230,109679,5153271,650629,147448,656406,176066,752284
1341,13412022,1208175,2451077,664916,300199,487224,3045728,578576,2367518,2765512,455195,2664416,247126,2442310
1342,13422022,2006312,2986077,1023142,499514,607145,2589138,393623,2402395,2068395,362993,1531351,198473,1838268
1402,14022022,271672077,657757910,172053588,13341150,38510852,263944525,29095332,635327585,238806217,29336993,206769281,36254642,213924074
1409,14092022,46077875,181731074,20374003,3620488,2474581,44280469,16591123,196031587,43407024,19677866,31259082,4645797,35805566
1410,14102022,1152691,1376124,211752,55980,112533,395971,32375,1422922,477354,72173,416256,87042,263032
1413,14132022,1227959,2665203,1125962,99041,95303,3145933,136405,2833785,2965326,134880,1558963,110244,2937786
1414,14142022,3103396,4462226,1542513,104362,138641,688943,25780,4601845,809714,46877,702471,84940,523144
1416,14162022,3677089,4493601,35768,96256,167599,249391,21637,3875923,236931,47252,20370,114652,182848
1417,14172022,2704667,4498294,846260,-48476,-136165,1511442,358205,3984631,1322446,343188,1035869,600713,1075305
1418,14182022,1229531,3886513,637176,21810,-111883,20754,0,3555900,39297,0,100142,75541,27919
1419,14192022,11742942,16698647,630474,2070986,282238,3349289,349067,16135125,2748914,429761,2149213,618188,2431251
1423,14232022,3043922,3320728,327620,73350,315202,175942,7783,3423248,190145,5393,202723,34965,177375
1432,14322022,730572,4897015,619840,-36918,367415,1106827,50153,4892868,778055,42035,1154819,427141,686247
1434,14342022,55767215,75409835,11529353,3404981,3624078,34722655,2988967,81342188,32799007,3835997,28783492,2498926,30953904
1436,14362022,3278938,13047975,35265,630641,1633119,3939725,2611,13691109,2579156,1300,1631881,400492,2676245
1437,14372022,7107748,12580598,2720,406767,341291,801868,17484,11947292,698041,15128,605384,69949,315712
1438,14382022,2013934,8275306,17553,373549,46880,595265,12080,5243213,12297,0,98432,31518,147124
1439,14392022,2815004,4822764,167,143592,-619155,570153,26052,4876860,615535,28266,113119,83289,446013
1440,14402022,27906975,50167210,20577892,1191758,2705633,21968232,1444470,50196558,20193510,1840769,17628221,2048133,19556386
1441,14412022,691420,2526097,940694,-319852,-297488,1588312,91525,2374065,1546490,100353,1509851,207237,1696512
1442,14422022,6046566,16548990,24073,644460,-1672504,2003352,972141,14090974,3450135,21746,2231333,210507,1264216
1443,14432022,1338127,6505544,4409349,143013,325443,847500,169403,6397558,866817,234126,569401,100240,501431
1444,14442022,12123334,18997324,7135919,468577,1429456,12237226,749587,20704529,10878183,1238677,8373609,1011262,11185719
1445,14452022,1633037,2130781,803323,10988,138877,1511208,195394,2010401,1254148,233625,917470,152937,1392090
1446,14462022,1440636,4677845,967,-37806,-348627,155705,12862,4339468,193226,18865,490557,59466,137389
1447,14472022,10296633,19703197,5575680,-17916,834950,28501393,2531188,19756797,24252436,3001427,13559461,841990,27995196
1449,14492022,1580593,6127627,399247,98636,107855,2484187,140444,6356309,2785873,145607,1929151,341188,2201379
1451,14512022,7603071,9165792,1378016,426456,190928,8695169,1677307,9050041,8012461,1739633,7019373,496647,7888120
1452,14522022,2697577,2902664,532853,128244,677389,1818424,239399,3195884,2097672,327858,1271905,115878,1600211
1453,14532022,1387000,1844308,100364,-12289,-25290,248555,0,1893590,44286,0,219411,52041,231979
1454,14542022,1598356,2042138,796175,32191,125307,1796280,144453,2053953,1574819,151366,1204928,161240,1607171
1455,14552022,6589372,9182843,4547680,-281794,952388,9301445,824764,10776815,11218513,1607436,7675607,458810,9087845
1456,14562022,1527311,10823448,62054,-75463,-3677716,617250,44940,7125566,2363236,76193,716457,107267,442848
1457,14572022,9032065,19939909,3305364,2030138,-322358,4335382,512003,18519803,4146179,378043,2707215,263704,3762208
1459,14592022,2817443,5444085,2121291,-443367,41639,1957172,137472,6500355,2469456,214507,1783734,148946,1925948
1460,14602022,7054714,14977520,5625211,21842,337321,9807785,1203790,14607752,10006733,1964662,7343877,1598244,8115340
1463,14632022,2321569,2825093,460491,68879,141412,495932,84600,2741683,456564,86310,441609,71987,419379
1464,14642022,5716917,18333178,4933403,406232,1874538,12277001,1800627,19131909,10475685,2008577,8594659,1633830,10494287
1465,14652022,1684047,2002003,441594,96750,96366,611734,96741,1825244,441525,77146,425282,86377,527470
1466,14662022,1595893,3487291,1786914,-66744,19799,2785426,365028,3684929,3570655,500383,2635433,289993,2614571
1467,14672022,3218955,8656489,1936570,-41674,656485,6129220,753719,8618265,6637936,1294717,8598587,1270260,4828337
1468,14682022,1227237,2629275,677635,35816,298430,1412468,71902,3432779,1139750,72585,961757,122175,1394289
1470,14702022,972984,1144833,400331,32843,189179,845152,68802,1254881,894789,128657,630757,105941,670834
1471,14712022,1585511,1736576,44169,-157299,1445,237989,59855,1188370,355816,65943,1085366,150156,240544
