"Key","Year","Adopt_Ind","Industry","POST","RPA_Ctd","Adopt","Big4","LGTA","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"12162019","2019","0","M1200","0",0,"0","1",19.98398104,0.244432376889998,0.502689968,0.635556847,0.123302211,1.989297706,56,4.025351691,73.73,0.002038552,0.22800264,174005305,477455273,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,18045472,407150086,333795247.01,17785761,319302641.14,0.305379931,258967339.939998,0.727565645,0.502689968,-0.074943983,-0.074658989,-0.069745829,-0.048003925,-0.121813026,-0.146654859,-0.074635222,2.46e-09,0.040604641,0.039966765,0.320244466,0.069958364,0.502689968,0.144593586,0.069958364,0.062567601,0.007390764,0.144593586,2.46e-09,1.100276577,0.040604641,0.077574752,1.059671936,0.074943983,0.074658989,0.069745829,-0.31647181,-0.194658784,-0.268467885,0,5.4623392503696e-05,0.223193209465536,1,"231"
"12162020","2020","0","M1200","0",0,"0","1",20.02075191,0.244432376889998,0.490195117,0.635403677,0.124602644,2.040004001,56,4.025351691,74.4421,0.002018421,0.227097549,180598593,495338492,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,17539588,477455273,333795247.01,18045472,319302641.14,0.260226187,258967339.939998,0.617030362,0.490195117,-0.042292362,-0.041593184,-0.043268607,-0.008121101,-0.08335331,-0.12160012,-0.064759618,2.09e-09,-0.001377561,-0.000318019,0.265945828,0.064510053,0.490195117,0.129269671,0.064510053,0.057104441,0.007405612,0.129269671,2.09e-09,0.936883525,-0.001377561,0.034625616,0.938261086,0.042292362,0.041593184,0.043268607,-0.213074531,-0.129721221,-0.20495343,0,5.4843089094544e-05,0.32771434925423,1,"82"
"12162021","2021","0","M1200","0",0,"0","1",20.05781092,0.244432376889998,0.516268974,0.647899239,0.10962759,1.936974814,56,4.025351691,74.4421,0.001969482,0.222019424,180993745,514039630,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,20668592,495338492,333795247.01,17539588,319302641.14,0.257831481,258967339.939998,0.656243472,0.516268974,-0.082972814,-0.084468455,-0.076833464,-0.047638699,-0.07324955,-0.122769943,-0.055631717,2.02e-09,0.052856159,0.046539258,0.247473447,0.058134781,0.516268974,0.113766499,0.058134781,0.058282943,-0.000148161,0.113766499,2.02e-09,0.955915352,0.052856159,-0.001327827,0.903059193,0.082972814,0.084468455,0.076833464,-0.243658192,-0.170408642,-0.196019493,0,2.1951681921e-08,0.399958711009195,1,"99"
"12162022","2022","0","M1200","0",0,"0","1",20.1279709,0.244432376889998,0.462407932,0.651441814,0.113841817,2.162592661,56,4.025351691,70.54,0.001750729,0.218909469,192194954,551399914,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,21915791,514039630,333795247.01,20668592,319302641.14,0.269693916,258967339.939998,0.707157147,0.462407932,-0.090335631,-0.092075604,-0.06445664,-0.055469303,-0.117394096,-0.137401199,-0.070512951,1.95e-09,0.099856104,0.097429834,0.244849406,0.051602864,0.462407932,0.122115814,0.051602864,0.050238304,0.00136456,0.122115814,1.95e-09,1.020994556,0.099856104,0.050933213,0.921138452,0.090335631,0.092075604,0.06445664,-0.310264598,-0.192870502,-0.254795295,0,1.8620239936e-06,0.450346310652761,1,"86"
"12292021","2021","0","M1200","0",0,"0","1",18.08758628,0.014149734,0.816864167,0.212740896,0.026859513,1.22419374,68,4.219507705,67.35,0.004220771,0.054660263,56423056,71670249,4547988,4744105,1925028,11322814,1992508,55988518,9544161,1487827,8271293,0.019239981,8801727,0.164925405,0.816864167,0.000916,0.001064513,0.005020841,0.017578515,0.079156045,0.081408057,0.050350984,1.79e-08,0.031768174,0.022754165,0.081230727,0.084733534,0.816864167,0.03438255,0.084733534,0.058282943,0.026450592,0.03438255,1.79e-08,0.202234572,0.031768174,0.022734447,0.170466398,0.000916,0.001064513,0.005020841,0.178142617,0.098986572,0.160564102,0,0.000699633817150464,0.0536625676562956,1,"41"
"12332022","2022","0","M1200","0",0,"0","1",14.67160957,0.0020917,0.437996539,0.367215671,0.085840881,2.283123064,48,3.871201011,58.85,0.003057208,0.460654522,1489549,2353960,884271,51592,202066,1835662,222855,2309476,1773001,248207,1906194,0.436571326,807693,0.36003968,0.437996539,-0.072256805,-0.07632916,-0.059158781,-0.043994253,-0.195743883,-0.27679769599,-0.065155039,4.33e-07,0.027132129,0.038109511,0.382888153,0.022339267,0.437996539,0.087494306,0.022339267,0.050238304,-0.027899038,0.087494306,4.33e-07,0.794839176,0.027132129,-0.05767239,0.767707047,0.072256805,0.07632916,0.059158781,-0.541477126,-0.33213815974,-0.497482873,0,0.000778356321325444,0.0279484204298858,1,"181"
"12342019","2019","0","M1200","0",0,"0","1",16.9353599,0.012599373,1.64501027,0.210250794,0.053980114,0.60789894,54,3.988984047,66.68,0.005485009,0.139873633,17882266,22642968,6358627,846511,1222270,9145655,755517,22967481,8901634,677712,9090115,0.085990754,6695015,0.291586831,1.64501027,-0.019727936,-0.02057197,-0.014184479,-0.016373648,-0.005763438,0.035132923,-0.016360479,4.35e-08,0.010624631,0.007237015,0.276853478,0.036856937,1.64501027,0.053217416,0.036856937,0.062567601,-0.025710664,0.053217416,4.35e-08,0.398200177,0.010624631,-0.008206429,0.387575546,0.019727936,0.02057197,0.014184479,0.012995837,0.018759275,0.029369485,0,0.000661038243320896,0.016994744207723,1,"291"
"12362020","2020","0","M1200","0",0,"0","1",14.83254107,0.002235316,0.902772337,0.418445829,0.082027955,1.107698983,47,3.850147602,60.94,0.007501466,0.241156674,1607981,2764972,1459672,180,226805,1637280,309837,2736135,1864663,476787,1972592,0.175381697,1168904,0.44950304,0.902772337,-0.007777141,-0.024950539,-0.028405179,-0.000988546,0.018709265,-0.045055185,-0.082826688,3.65e-07,-0.083103721,-0.022086995,0.533479525,6.58e-05,0.902772337,0.082892474,6.58e-05,0.057104441,-0.057038655,0.082892474,3.65e-07,0.598391527,-0.083103721,-0.039445788,0.681495248,0.007777141,0.024950539,0.028405179,-0.027334466,-0.046043731,-0.02634592,0,0.00325340816420903,0.0194211234320121,1,"246"
"13032021","2021","1","M1300","0",1,"1","1",20.32083919,0.244432376889998,0.747615367,0.358839946,0.117955514,1.337586203,65,4.17438727,61,0,0.031422189,247021877.119998,668695386,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,62127981,584712347,273353806,52051383,286303059,0.039070952,258967339.939998,0.554520497,0.747615367,-0.025528686,-0.025767021,-0.042213582,-0.109021823,-0.063418551,0.007990111,0.010187089,1.71e-09,0.236554924,0.219321497,0.316031868,0.145084716,0.747615367,0.134897627,0.145084716,0.067987185,0.077097532,0.134897627,1.71e-09,0.704056265,0.236554924,-0.022146365,0.46750134,0.025528686,0.025767021,0.042213582,-0.164450263,-0.101031712,-0.05542844,1,0.00594402944049102,0.251679458120038,1,"14"
"13032022","2022","1","M1300","1",1,"1","1",20.31577291,0.244432376889998,0.685412154,0.407647888,0.113173766,1.458976171,65,4.17438727,59.09,0,0.03420203,247021877.119998,665316156,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,50583345,668695386,333795247.01,62127981,273353806,0.032718277,258967339.939998,0.443692921,0.685412154,0.007942355,0.007628954,0.027556965,-0.036684935,-0.032582086,0.012189435,-0.055049903,1.5e-09,-0.084473577,-0.06720916,0.31698592,0.057551943,0.685412154,0.112601846,0.057551943,0.003856862,0.053695082,0.112601846,1.5e-09,0.531158592,-0.084473577,0.206845431,0.615632169,0.007942355,0.007628954,0.027556965,-0.057077586,-0.0244955,-0.020392651,1,0.00288316183098672,0.307794685905258,1,"15"
