"Key","Year","Adopt_Ind","Industry","POST","RPA_Ctd","Adopt","Big4","LGTA","INST","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"12102022","2022","0","M1200","0",0,"0","1",17.94813823,0.5638,0.129099973,0.623690488,0.536485066,0.037536684,1.603359389,63,4.143134726,57.86,0.001341488,0.049476984,28896226,62341521,22235611,2850126,2340094,113297286,8507643,56732130,101437842,7534571,81650892,0.146311552,101938516,1.844878696,0.623690488,-0.030279755,-0.029332104,0.001747183,0.026632186,0.062456789,0.023733447,0.008990179,1.76e-08,0.209042812,0.191890768,0.391940352,0.050238304,0.623690488,0.041248125,0.050238304,0.050238304,0,0.041248125,1.76e-08,1.9970568,0.209042812,0.348778549,1.788013988,0.030279755,0.029332104,0.001747183,0.112822422,0.050365633,0.086190236,0,0,0.135199403748945,1,"79"
"12162020","2020","0","M1200","0",0,"0","1",20.02075191,0.7131,0.244432376889998,0.490195117,0.635403677,0.124602644,2.040004001,56,4.025351691,74.4421,0.002018421,0.227097549,180598593,495338492,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,17539588,477455273,333795247.01,18045472,319302641.14,0.260226187,258967339.939998,0.617030362,0.490195117,-0.042292362,-0.041593184,-0.043268607,-0.008121101,-0.08335331,-0.12160012,-0.064759618,2.09e-09,-0.001377561,-0.000318019,0.265945828,0.064510053,0.490195117,0.129269671,0.064510053,0.057104441,0.007405612,0.129269671,2.09e-09,0.936883525,-0.001377561,0.034625616,0.938261086,0.042292362,0.041593184,0.043268607,-0.213074531,-0.129721221,-0.20495343,0,5.4843089094544e-05,0.326672327027424,1,"107"
"12162021","2021","0","M1200","0",0,"0","1",20.05781092,0.7093,0.244432376889998,0.516268974,0.647899239,0.10962759,1.936974814,56,4.025351691,74.4421,0.001969482,0.222019424,180993745,514039630,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,20668592,495338492,333795247.01,17539588,319302641.14,0.257831481,258967339.939998,0.656243472,0.516268974,-0.082972814,-0.084468455,-0.076833464,-0.047638699,-0.07324955,-0.122769943,-0.055631717,2.02e-09,0.052856159,0.046539258,0.247473447,0.058134781,0.516268974,0.113766499,0.058134781,0.058282943,-0.000148161,0.113766499,2.02e-09,0.955915352,0.052856159,-0.001327827,0.903059193,0.082972814,0.084468455,0.076833464,-0.243658192,-0.170408642,-0.196019493,0,2.1951681921e-08,0.405780959291269,1,"73"
"12162022","2022","0","M1200","0",0,"0","1",20.1279709,0.6991,0.244432376889998,0.462407932,0.651441814,0.113841817,2.162592661,56,4.025351691,70.54,0.001750729,0.218909469,192194954,551399914,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,21915791,514039630,333795247.01,20668592,319302641.14,0.269693916,258967339.939998,0.707157147,0.462407932,-0.090335631,-0.092075604,-0.06445664,-0.055469303,-0.117394096,-0.137401199,-0.070512951,1.95e-09,0.099856104,0.097429834,0.244849406,0.051602864,0.462407932,0.122115814,0.051602864,0.050238304,0.00136456,0.122115814,1.95e-09,1.020994556,0.099856104,0.050933213,0.921138452,0.090335631,0.092075604,0.06445664,-0.310264598,-0.192870502,-0.254795295,0,1.8620239936e-06,0.459377025337472,1,"109"
"12332022","2022","0","M1200","0",0,"0","1",14.67160957,0.4635,0.0020917,0.437996539,0.367215671,0.085840881,2.283123064,48,3.871201011,58.85,0.003057208,0.460654522,1489549,2353960,884271,51592,202066,1835662,222855,2309476,1773001,248207,1906194,0.436571326,807693,0.36003968,0.437996539,-0.072256805,-0.07632916,-0.059158781,-0.043994253,-0.195743883,-0.27679769599,-0.065155039,4.33e-07,0.027132129,0.038109511,0.382888153,0.022339267,0.437996539,0.087494306,0.022339267,0.050238304,-0.027899038,0.087494306,4.33e-07,0.794839176,0.027132129,-0.05767239,0.767707047,0.072256805,0.07632916,0.059158781,-0.541477126,-0.33213815974,-0.497482873,0,0.000778356321325444,0.0249201374189,1,"273"
"12592020","2020","1","M2700","0",0,"0","1",15.35517494,0.7379,0.05599488,0.999154257,0.584070212,0.191082827,1.000846459,33,3.496507561,62.94,0,0.150745007,1939491,4663025,396480,150438,891024,5342094,88470,4570443,5484492,65807,5252104,0.277109899,3948616,0.866222596,0.999154257,-0.047065713,-0.04910905,-0.05055566,0.009780242,0.170115666,-0.059771839,-0.162038122,2.19e-07,-0.03115628,-0.03611488,0.086748702,0.032915409,0.999154257,0.194953531,0.032915409,0.00188306,0.031032348,0.194953531,2.19e-07,1.168835056,-0.03115628,0.050845837,1.199991336,0.047065713,0.04910905,0.05055566,0.120124069,-0.049991597,0.110343827,0,0.000963006622393104,0.0371171062876765,1,"315"
"12642022","2022","0","M1200","0",0,"0","1",15.36447995,0.1804,0.006085957,0.354177461,0.226358975,0.129937278,2.823443359,34,3.526360525,49.36,0.010380274,0.094988088,3641232,4706617,1510369,731162,611565,5340996,1097234,4262500,4948371,1015819,4375430,0.205956833,3496541,0.867410674,0.354177461,0.009209331,0.012072776,-0.055407495,-0.087235206,-0.17275579,-0.058368951,0.028057947,2.35e-07,0.092111437,0.073011144,0.354338768,0.171533607,0.354177461,0.14347566,0.171533607,0.050238304,0.121295303,0.14347566,2.35e-07,1.253019589,0.092111437,0.134414311,1.160908152,0.009209331,0.012072776,0.055407495,-0.318359947,-0.145604157,-0.231124741,0,0.0147125505298618,0.0354286381467514,1,"54"
"13032019","2019","1","M1300","0",0,"1","1",20.13389955,0.7871,0.244432376889998,0.847363987,0.358960938,0.094287657,1.180130399,65,4.17438727,59.24,0,0.033745871,247021877.119998,554678679,95511754.8199994,23209523,51950719.6799996,286303059,44063533,570249344,333061560,48246064,306139952,0.032006774,258172796,0.439631731,0.847363987,-0.023020342,-0.021586132,-0.021809064,-0.042463182,-0.006852074,0.012776163,-0.051012474,1.75e-09,-0.081996589,-0.074662024,0.273731773,0.040700657,0.847363987,0.091713131,0.040700657,0.040700657,0,0.091713131,1.75e-09,0.502066442,-0.081996589,0.047210239,0.584063031,0.023020342,0.021586132,0.021809064,-0.036539093,-0.029687019,0.005924089,0,0,0.097880122046818,1,"52"
"13032021","2021","1","M1300","0",1,"1","1",20.32083919,0.7936,0.244432376889998,0.747615367,0.358839946,0.117955514,1.337586203,65,4.17438727,61,0,0.031422189,247021877.119998,668695386,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,62127981,584712347,273353806,52051383,286303059,0.039070952,258967339.939998,0.554520497,0.747615367,-0.025528686,-0.025767021,-0.042213582,-0.109021823,-0.063418551,0.007990111,0.010187089,1.71e-09,0.236554924,0.219321497,0.316031868,0.145084716,0.747615367,0.134897627,0.145084716,0.067987185,0.077097532,0.134897627,1.71e-09,0.704056265,0.236554924,-0.022146365,0.46750134,0.025528686,0.025767021,0.042213582,-0.164450263,-0.101031712,-0.05542844,1,0.00594402944049102,0.234665193125542,1,"14"
"13032022","2022","1","M1300","1",1,"1","1",20.31577291,0.7987,0.244432376889998,0.685412154,0.407647888,0.113173766,1.458976171,65,4.17438727,59.09,0,0.03420203,247021877.119998,665316156,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,50583345,668695386,333795247.01,62127981,273353806,0.032718277,258967339.939998,0.443692921,0.685412154,0.007942355,0.007628954,0.027556965,-0.036684935,-0.032582086,0.012189435,-0.055049903,1.5e-09,-0.084473577,-0.06720916,0.31698592,0.057551943,0.685412154,0.112601846,0.057551943,0.003856862,0.053695082,0.112601846,1.5e-09,0.531158592,-0.084473577,0.206845431,0.615632169,0.007942355,0.007628954,0.027556965,-0.057077586,-0.0244955,-0.020392651,1,0.00288316183098672,0.281787114207582,1,"15"
