"Key","Year","Adopt_Ind","Industry","POST","RPA_Ctd","Adopt","Big4","LGTA","INST","MS","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","RPA","ADJROA_sq","distance","weights","subclass"
"12152020","2020","0","M1200","0",0,"0","1",16.78829908,0.6098,0.03029466,0.478682854,0.553190931,0.122357684,2.089065843,46,3.828641396,63.49,0,0.044994386,8733486,19546349,10896118,1642126,2391646,22189635,2184158,18650361,21173634,2138379,21235086,0.088629276,18664912,0.988917802,0.478682854,-0.023135711,-0.021995192,-0.023392363,0.008857073,0.018602557,0.061019793,-0.040187962,5.36e-08,0.054476211,0.05202162,0.584230943,0.088047947,0.478682854,0.128235909,0.088047947,0.057104441,0.030943506,0.128235909,5.36e-08,1.189769732,0.054476211,-0.00329495,1.135293521,0.023135711,0.021995192,0.023392363,0.088479423,0.069876866,0.07962235,0,0.000957500563572036,0.05239855340157,1,"218"
"12162018","2018","0","M1200","0",0,"0","1",19.82469244,0.7123,0.244432376889998,0.437673898,0.581724676,0.105850104,2.284806118,56,4.025351691,74.4421,0.002197038,0.224449636,170300834,407150086,95511754.8199994,26092307.3299995,43096879,349829393.93,17785761,414655454,333795247.01,16795724,319302641.14,0.285293385,258967339.939998,0.698232287,0.437673898,-0.042107062,-0.041598579,-0.036411162,-0.023084688,-0.109124562,-0.138111225,-0.038952113,2.41e-09,0.07617063,0.073783016,0.330318781,0.064982078,0.437673898,0.103934191,0.064982078,0.059232717,0.005749361,0.103934191,2.41e-09,1.040491608,0.07617063,-0.032565258,0.964320978,0.042107062,0.041598579,0.036411162,-0.270320475,-0.161195913,-0.247235787,0,3.3055151908321e-05,0.109503811130955,1,"78"
"12162020","2020","0","M1200","0",0,"0","1",20.02075191,0.7131,0.244432376889998,0.490195117,0.635403677,0.124602644,2.040004001,56,4.025351691,74.4421,0.002018421,0.227097549,180598593,495338492,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,17539588,477455273,333795247.01,18045472,319302641.14,0.260226187,258967339.939998,0.617030362,0.490195117,-0.042292362,-0.041593184,-0.043268607,-0.008121101,-0.08335331,-0.12160012,-0.064759618,2.09e-09,-0.001377561,-0.000318019,0.265945828,0.064510053,0.490195117,0.129269671,0.064510053,0.057104441,0.007405612,0.129269671,2.09e-09,0.936883525,-0.001377561,0.034625616,0.938261086,0.042292362,0.041593184,0.043268607,-0.213074531,-0.129721221,-0.20495343,0,5.4843089094544e-05,0.325751517597373,1,"107"
"12162021","2021","0","M1200","0",0,"0","1",20.05781092,0.7093,0.244432376889998,0.516268974,0.647899239,0.10962759,1.936974814,56,4.025351691,74.4421,0.001969482,0.222019424,180993745,514039630,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,20668592,495338492,333795247.01,17539588,319302641.14,0.257831481,258967339.939998,0.656243472,0.516268974,-0.082972814,-0.084468455,-0.076833464,-0.047638699,-0.07324955,-0.122769943,-0.055631717,2.02e-09,0.052856159,0.046539258,0.247473447,0.058134781,0.516268974,0.113766499,0.058134781,0.058282943,-0.000148161,0.113766499,2.02e-09,0.955915352,0.052856159,-0.001327827,0.903059193,0.082972814,0.084468455,0.076833464,-0.243658192,-0.170408642,-0.196019493,0,2.1951681921e-08,0.401041706507441,1,"99"
"12162022","2022","0","M1200","0",0,"0","1",20.1279709,0.6991,0.244432376889998,0.462407932,0.651441814,0.113841817,2.162592661,56,4.025351691,70.54,0.001750729,0.218909469,192194954,551399914,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,21915791,514039630,333795247.01,20668592,319302641.14,0.269693916,258967339.939998,0.707157147,0.462407932,-0.090335631,-0.092075604,-0.06445664,-0.055469303,-0.117394096,-0.137401199,-0.070512951,1.95e-09,0.099856104,0.097429834,0.244849406,0.051602864,0.462407932,0.122115814,0.051602864,0.050238304,0.00136456,0.122115814,1.95e-09,1.020994556,0.099856104,0.050933213,0.921138452,0.090335631,0.092075604,0.06445664,-0.310264598,-0.192870502,-0.254795295,0,1.8620239936e-06,0.453183037105521,1,"119"
"12562022","2022","0","M1200","0",0,"0","1",15.35732916,0.0487,0.004673455,0.40026665,0.122623811,0.067755299,2.498334548,13,2.564949357,45.38,0.014804482,0.06340675,4100050,4673081,1905660,464692,316626,4101393,354027,4821556,4581970,280080,3479683,0.127773275,2931835,0.60971396,0.40026665,0.062773964,0.066439711,0.027180639,0.014053268,-0.068454326,0.010145831,0.030709174,2.07e-07,-0.099672595,-0.115009346,0.395237554,0.096378016,0.40026665,0.065668842,0.096378016,0.050238304,0.046139712,0.065668842,2.07e-07,0.850636807,-0.099672595,0.228616447,0.950309402,0.062773964,0.066439711,0.027180639,-0.044255227,0.024199099,-0.058308495,0,0.00212887302344294,0.031164251050738,1,"135"
"13032017","2017","1","M1300","0",0,"1","1",20.11459103,0.7767,0.244432376889998,0.735316219,0.325052252,0.075616079,1.359959123,65,4.17438727,56.82,0,0.032223625,247021877.119998,544071389,95511754.8199994,26092307.3299995,41140545,306139952,56120375,537184804,275294431,47763430,299781414,0.037449879,256205610,0.48689228,0.735316219,0.044160083,0.043704197,0.02319639,-0.006263746,-0.01789,0.000925714,0.023891649,1.86e-09,0.057420688,0.041863761,0.247404426,0.100477109,0.735316219,0.076585459,0.100477109,0.061792311,0.038684798,0.076585459,1.86e-09,0.569896895,0.057420688,-0.045583909,0.512476207,0.044160083,0.043704197,0.02319639,-0.023228032,-0.005338032,-0.016964286,0,0.0014965135963008,0.00543402279159831,1,"302"
"13032019","2019","1","M1300","0",0,"1","1",20.13389955,0.7871,0.244432376889998,0.847363987,0.358960938,0.094287657,1.180130399,65,4.17438727,59.24,0,0.033745871,247021877.119998,554678679,95511754.8199994,23209523,51950719.6799996,286303059,44063533,570249344,333061560,48246064,306139952,0.032006774,258172796,0.439631731,0.847363987,-0.023020342,-0.021586132,-0.021809064,-0.042463182,-0.006852074,0.012776163,-0.051012474,1.75e-09,-0.081996589,-0.074662024,0.273731773,0.040700657,0.847363987,0.091713131,0.040700657,0.040700657,0,0.091713131,1.75e-09,0.502066442,-0.081996589,0.047210239,0.584063031,0.023020342,0.021586132,0.021809064,-0.036539093,-0.029687019,0.005924089,0,0,0.098057303090592,1,"243"
"13032021","2021","1","M1300","0",1,"1","1",20.32083919,0.7936,0.244432376889998,0.747615367,0.358839946,0.117955514,1.337586203,65,4.17438727,61,0,0.031422189,247021877.119998,668695386,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,62127981,584712347,273353806,52051383,286303059,0.039070952,258967339.939998,0.554520497,0.747615367,-0.025528686,-0.025767021,-0.042213582,-0.109021823,-0.063418551,0.007990111,0.010187089,1.71e-09,0.236554924,0.219321497,0.316031868,0.145084716,0.747615367,0.134897627,0.145084716,0.067987185,0.077097532,0.134897627,1.71e-09,0.704056265,0.236554924,-0.022146365,0.46750134,0.025528686,0.025767021,0.042213582,-0.164450263,-0.101031712,-0.05542844,1,0.00594402944049102,0.236513777636259,1,"14"
"13032022","2022","1","M1300","1",1,"1","1",20.31577291,0.7987,0.244432376889998,0.685412154,0.407647888,0.113173766,1.458976171,65,4.17438727,59.09,0,0.03420203,247021877.119998,665316156,95511754.8199994,26092307.3299995,51950719.6799996,349829393.93,50583345,668695386,333795247.01,62127981,273353806,0.032718277,258967339.939998,0.443692921,0.685412154,0.007942355,0.007628954,0.027556965,-0.036684935,-0.032582086,0.012189435,-0.055049903,1.5e-09,-0.084473577,-0.06720916,0.31698592,0.057551943,0.685412154,0.112601846,0.057551943,0.003856862,0.053695082,0.112601846,1.5e-09,0.531158592,-0.084473577,0.206845431,0.615632169,0.007942355,0.007628954,0.027556965,-0.057077586,-0.0244955,-0.020392651,1,0.00288316183098672,0.285036351876269,1,"15"
