"Key","Year","Trade","Industry","RPA","RPA_Ctd","Big4","GC","LGTA","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Code","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","ADJROA_sq","distance","weights","subclass"
"14022019","2019","TSE","M1400",1,1,"1","0",20.17175658,2.192344354,0.529021447,0.076290288,0.456132723,69,4.234106505,65.11,0.004245387,0.075198794,1418,237357293.059999,576079699,67388423.4299976,16435163,43949286,250146590,26486590,565589420,228661933,29347392,217846948,0.054787961,205396660,0.350857871,2.192344354,-0.018748901,-0.014795729,-0.010861278,-0.016711978,-0.002915074,-0.008233547,-0.048646813,1.77e-09,0.037986313,0.043044403,0.288225268,0.02905847,2.192344354,0.077705283,0.02905847,0.015649418,0.013409051,0.077705283,1.77e-09,0.442275936,0.037986313,0.019121618,0.404289622,0.018748901,0.014795729,0.010861278,-0.027860599,-0.024945525,-0.011148621,0.000179802648720601,0.105449462535502,1,"169"
"14022020","2020","TSE","M1400",0,1,"1","0",20.24030708,1.800812087,0.563299557,0.067248725,0.555305024,69,4.234106505,67.4,0.00419218,0.090813199,1418,237357293.059999,616955270,67388423.4299976,12980539,41489455,206769281,26788957,576079699,250146590,26486590,228661933,0.052759922,166373605,0.279810744,1.800812087,-0.030295458,-0.031746599,-0.026259829,-0.023485656,-0.000585597,-0.012685708,-0.049487798,1.74e-09,-0.075297409,-0.07582228,0.282356598,0.02253254,1.800812087,0.072020339,0.02253254,0.004215592,0.018316948,0.072020339,1.74e-09,0.358924783,-0.075297409,0.037294591,0.434222193,0.030295458,0.031746599,0.026259829,-0.036756961,-0.036171364,-0.013271305,0.000335510584034704,0.181338797207472,1,"173"
"14022021","2021","TSE","M1400",0,1,"1","0",20.26965131,1.733754103,0.575943302,0.057258304,0.576783062,69,4.234106505,64.71,0.003685294,0.096512692,1418,237357293.059999,635327585,67388423.4299976,14844485,36377780,238806217,29336993,616955270,206769281,26788957,250146590,0.056719504,192320517,0.355533885,1.733754103,-0.068547011,-0.07167253,-0.062558274,-0.061319222,-0.009029214,-0.018468189,-0.034902522,1.62e-09,0.051927486,0.047797468,0.267588216,0.024060877,1.733754103,0.058963399,0.024060877,0.027454518,-0.003393641,0.058963399,1.62e-09,0.387072173,0.051927486,-0.070308677,0.335144687,0.068547011,0.07167253,0.062558274,-0.088816625,-0.079787411,-0.027497403,1.1516799236881e-05,0.219925034478365,1,"175"
"14022022","2022","TSE","M1400",0,1,"1","0",20.3043475,1.583543023,0.586972543,0.058548672,0.631495315,69,4.234106505,63.43,0.003750606,0.089364441,1418,237357293.059999,657757910,67388423.4299976,13341150,38510852,263944525,29095332,635327585,238806217,29336993,206769281,0.057064486,213924074,0.344553179,1.583543023,-0.018470635,-0.017925699,-0.016632735,-0.039491151,-0.021916416,-0.009595992,-0.039616888,1.57e-09,0.039567474,0.039947847,0.270810826,0.020998852,1.583543023,0.06061574,0.020998852,0.022678295,-0.001679443,0.06061574,1.57e-09,0.415446348,0.039567474,0.050425854,0.375878874,0.018470635,0.017925699,0.016632735,-0.071003559,-0.049087143,-0.031512408,2.820528790249e-06,0.261984493477148,1,"176"
"14352018","2018","TSE","M9900",0,0,"1","0",13.86760573,1.192174736,0.16004731,0.001234959,0.838803214,52,3.951243719,43.57,0,0,1435,884870,1053476,91217,-12282,1301,30136,2377,1105700,34848,1135,29404,0.03267342,1691,0.001508547,1.192174736,-0.007671202,-0.009217838,0.011057945,-4.53e-05,0.071139155,0.06987324,-0.012284526,9.04e-07,-0.004261554,-0.005384824,0.082497061,-0.011107895,1.192174736,0.00117663,-0.011107895,0.039031165,-0.05013906,0.00117663,9.04e-07,0.027255132,-0.004261554,0.004923578,0.031516686,0.007671202,0.009217838,0.011057945,0.140967095,0.06982794,0.141012395,0.0025139253376836,0.00204420082134297,1,"48"
"14362019","2019","TSE","M2500",0,0,"1","0",16.07701581,0.925874776,0.7189813,-0.122985666,1.080059665,56,4.025351691,57.17,0,0.044825188,1436,2697084,9597525,22771,234652,-1180358,2074771,4659,8011893,2621467,3863,2228136,0.027767969,1493898,0.369791509,0.925874776,0.083263815,0.079406648,0.07485724,0.096535151,0.055007445,0.002664096,0.176613692,1.25e-07,-0.068235559,-0.068334912,0.00284215,0.02928796,0.925874776,-0.147325732,0.02928796,0.02097747,0.00831049,-0.147325732,1.25e-07,0.258961397,-0.068235559,0.049093392,0.327196956,0.083263815,0.079406648,0.07485724,0.154206692,0.099199247,0.057671541,6.90642440401e-05,0.0310240450912162,1,"24"
"14372018","2018","TSE","M9900",0,0,"1","0",16.15213982,1.587319819,0.439942364,0.03905685,0.629992764,62,4.127134385,50.71,0,0.03474197,1437,5794526,10346303,6457,246582,404094,583070,24712,9602621,548329,20333,578394,0.010461727,173914,0.019151854,1.587319819,-0.042795115,-0.040518451,-0.016251713,-0.021892421,0.010291119,0.035019975,-0.016403022,1.04e-07,0.003617866,0.003161845,0.000672421,0.025678614,1.587319819,0.042081636,0.025678614,0.039031165,-0.013352551,0.042081636,1.04e-07,0.060719881,0.003617866,-0.003130916,0.057102014,0.042795115,0.040518451,0.016251713,0.023418673,0.013127554,0.045311094,0.000178290618207601,0.00933918504437208,1,"242"
"14542019","2019","TSE","M1400",0,0,"1","0",14.53049066,1.51475787,0.25454493,0.063682829,0.660171516,50,3.912023005,43.42,0.006553851,0.052803081,1454,1523819,2044146,795269,34898,130177,1904529,189774,2043633,1947905,171073,1890004,0.081979494,1708133,0.815301475,1.51475787,-0.018384139,-0.017816413,-0.017049123,-0.033251322,0.01149057,0.008565833,-0.046622363,4.89e-07,-0.021224946,-0.030375806,0.389144724,0.017076452,1.51475787,0.063698815,0.017076452,0.015649418,0.001427033,0.063698815,4.89e-07,0.931932984,-0.021224946,0.028332386,0.95315793,0.018384139,0.017816413,0.017049123,-0.013194919,-0.024685489,0.020056403,2.036423183089e-06,0.00658214924192028,1,"186"
"14542021","2021","TSE","M1400",1,1,"1","0",14.53527679,0.993676688,0.213593008,-0.01630271,1.006363551,50,3.912023005,44.55,0.005564449,0.047980752,1454,1615243,2053953,726964,5133,-33485,1574819,151366,1992198,1204928,122630,1904529,0.069871569,1446530,0.760412871,0.993676688,0.006223402,0.006777618,0.025825058,0.025970105,0.010700824,0.019986081,0.019384619,5.02e-07,0.185669798,0.171245529,0.364905496,0.002576551,0.993676688,-0.016808068,0.002576551,0.027454518,-0.024877967,-0.016808068,5.02e-07,0.790493214,0.185669798,-0.351170416,0.604823416,0.006223402,0.006777618,0.025825058,0.05665701,0.045956186,0.030686905,0.000618913242053089,0.0124233256408782,1,"35"
"14542022","2022","TSE","M1400",0,1,"1","0",14.52950786,0.734532581,0.217312444,0.061360692,1.361409999,50,3.912023005,38.4974,0.004891776,0.050315096,1454,1598356,2042138,796175,32191,125307,1796280,144453,2053953,1574819,151366,1204928,0.078502283,1607171,0.783319774,0.734532581,0.008192224,0.012465381,0.01872918,0.046195519,0.056852347,0.0129438,-0.04533502,4.87e-07,0.107821844,0.111187549,0.387630584,0.015672705,0.734532581,0.061007725,0.015672705,0.022678295,-0.00700559,0.061007725,4.87e-07,0.874547762,0.107821844,0.180087373,0.766725918,0.008192224,0.012465381,0.01872918,0.115991666,0.059139319,0.069796147,4.90782912481e-05,0.0151701077314826,1,"36"
