"Key","Year","Trade","Industry","RPA","RPA_Ctd","Big4","GC","LGTA","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Code","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","ADJROA_sq","distance","weights","subclass"
"14022019","2019","TSE","M1400",1,1,"1","0",20.17175658,2.192344354,0.529021447,0.076290288,0.456132723,69,4.234106505,65.11,0.004245387,0.075198794,1418,237357293.059999,576079699,67388423.4299976,16435163,43949286,250146590,26486590,565589420,228661933,29347392,217846948,0.054787961,205396660,0.350857871,2.192344354,-0.018748901,-0.014795729,-0.010861278,-0.016711978,-0.002915074,-0.008233547,-0.048646813,1.77e-09,0.037986313,0.043044403,0.288225268,0.02905847,2.192344354,0.077705283,0.02905847,0.015649418,0.013409051,0.077705283,1.77e-09,0.442275936,0.037986313,0.019121618,0.404289622,0.018748901,0.014795729,0.010861278,-0.027860599,-0.024945525,-0.011148621,0.000179802648720601,0.10554984049309,1,"169"
"14022020","2020","TSE","M1400",0,1,"1","0",20.24030708,1.800812087,0.563299557,0.067248725,0.555305024,69,4.234106505,67.4,0.00419218,0.090813199,1418,237357293.059999,616955270,67388423.4299976,12980539,41489455,206769281,26788957,576079699,250146590,26486590,228661933,0.052759922,166373605,0.279810744,1.800812087,-0.030295458,-0.031746599,-0.026259829,-0.023485656,-0.000585597,-0.012685708,-0.049487798,1.74e-09,-0.075297409,-0.07582228,0.282356598,0.02253254,1.800812087,0.072020339,0.02253254,0.004215592,0.018316948,0.072020339,1.74e-09,0.358924783,-0.075297409,0.037294591,0.434222193,0.030295458,0.031746599,0.026259829,-0.036756961,-0.036171364,-0.013271305,0.000335510584034704,0.1794909336008,1,"173"
"14022021","2021","TSE","M1400",0,1,"1","0",20.26965131,1.733754103,0.575943302,0.057258304,0.576783062,69,4.234106505,64.71,0.003685294,0.096512692,1418,237357293.059999,635327585,67388423.4299976,14844485,36377780,238806217,29336993,616955270,206769281,26788957,250146590,0.056719504,192320517,0.355533885,1.733754103,-0.068547011,-0.07167253,-0.062558274,-0.061319222,-0.009029214,-0.018468189,-0.034902522,1.62e-09,0.051927486,0.047797468,0.267588216,0.024060877,1.733754103,0.058963399,0.024060877,0.027454518,-0.003393641,0.058963399,1.62e-09,0.387072173,0.051927486,-0.070308677,0.335144687,0.068547011,0.07167253,0.062558274,-0.088816625,-0.079787411,-0.027497403,1.1516799236881e-05,0.22262360551982,1,"175"
"14022022","2022","TSE","M1400",0,1,"1","0",20.3043475,1.583543023,0.586972543,0.058548672,0.631495315,69,4.234106505,63.43,0.003750606,0.089364441,1418,237357293.059999,657757910,67388423.4299976,13341150,38510852,263944525,29095332,635327585,238806217,29336993,206769281,0.057064486,213924074,0.344553179,1.583543023,-0.018470635,-0.017925699,-0.016632735,-0.039491151,-0.021916416,-0.009595992,-0.039616888,1.57e-09,0.039567474,0.039947847,0.270810826,0.020998852,1.583543023,0.06061574,0.020998852,0.022678295,-0.001679443,0.06061574,1.57e-09,0.415446348,0.039567474,0.050425854,0.375878874,0.018470635,0.017925699,0.016632735,-0.071003559,-0.049087143,-0.031512408,2.820528790249e-06,0.262060386772985,1,"176"
"14092022","2022","TSE","M1400",0,0,"1","0",19.01803854,1.761825133,0.746450214,0.013616719,0.56759322,56,4.025351691,63.55,0.008941888,0.041422122,1418,46077875,181731074,20374003,3620488,2474581,44280469,16591123,196031587,43407024,19677866,31259082,0.023699227,35805566,0.182732643,1.761825133,0.01351734,0.009170836,0.009554618,-0.016590216,-0.039569575,0.013166462,0.005845522,5.1e-09,0.004455634,0.020201785,0.103932245,0.018468901,1.761825133,0.012623379,0.018468901,0.022678295,-0.004209394,0.012623379,5.1e-09,0.225884357,0.004455634,0.061969309,0.221428723,0.01351734,0.009170836,0.009554618,-0.042993329,-0.003423754,-0.026403113,1.7718997847236e-05,0.225414117614415,1,"127"
"14412019","2019","TSE","M1400",0,0,"1","0",14.88591985,0.929236,0.5680475,-0.082975808,1.076152883,65,4.17438727,42.75,0.010044503,0.057138591,1441,1259821,2916573,1248942,-332243,-242005,1466872,149038,2583985,1624251,157180,1622579,0.08297494,1539946,0.635426676,0.929236,0.028575618,0.027552696,0.128201148,0.116554837,0.135531651,-0.012365085,-0.034922029,3.87e-07,-0.060905539,-0.057754592,0.483339493,-0.128577759,0.929236,-0.093655729,-0.128577759,0.015649418,-0.144227177,-0.093655729,3.87e-07,0.567678218,-0.060905539,0.000647063,0.628583757,0.028575618,0.027552696,0.128201148,0.239721403,0.104189752,0.123166566,0.0208014785853893,0.00952529685291698,1,"188"
"14472019","2019","TSE","M1400",0,0,"1","0",16.70106523,1.65441416,0.441731965,0.026206044,0.604443569,48,3.871201011,47.66,0.007977724,0.026031344,1447,10000535,17913501,6041544,-244051,469442,14579347,1929774,18813349,17599267,2127007,16591706,0.036566908,14201182,0.705251468,1.65441416,-0.004299412,-0.011882171,0.004216212,0.032804517,0.006259807,0.038819081,-0.037924827,5.32e-08,-0.160520065,-0.150036392,0.321130704,-0.012972225,1.65441416,0.024952601,-0.012972225,0.015649418,-0.028621643,0.024952601,5.32e-08,0.774946927,-0.160520065,0.053555643,0.935466992,0.004299412,0.011882171,0.004216212,0.077883405,0.071623598,0.045078888,0.000819198448019449,0.0192776850586235,1,"113"
"14542021","2021","TSE","M1400",1,1,"1","0",14.53527679,0.993676688,0.213593008,-0.01630271,1.006363551,50,3.912023005,44.55,0.005564449,0.047980752,1454,1615243,2053953,726964,5133,-33485,1574819,151366,1992198,1204928,122630,1904529,0.069871569,1446530,0.760412871,0.993676688,0.006223402,0.006777618,0.025825058,0.025970105,0.010700824,0.019986081,0.019384619,5.02e-07,0.185669798,0.171245529,0.364905496,0.002576551,0.993676688,-0.016808068,0.002576551,0.027454518,-0.024877967,-0.016808068,5.02e-07,0.790493214,0.185669798,-0.351170416,0.604823416,0.006223402,0.006777618,0.025825058,0.05665701,0.045956186,0.030686905,0.000618913242053089,0.0119108956539726,1,"35"
"14542022","2022","TSE","M1400",0,1,"1","0",14.52950786,0.734532581,0.217312444,0.061360692,1.361409999,50,3.912023005,38.4974,0.004891776,0.050315096,1454,1598356,2042138,796175,32191,125307,1796280,144453,2053953,1574819,151366,1204928,0.078502283,1607171,0.783319774,0.734532581,0.008192224,0.012465381,0.01872918,0.046195519,0.056852347,0.0129438,-0.04533502,4.87e-07,0.107821844,0.111187549,0.387630584,0.015672705,0.734532581,0.061007725,0.015672705,0.022678295,-0.00700559,0.061007725,4.87e-07,0.874547762,0.107821844,0.180087373,0.766725918,0.008192224,0.012465381,0.01872918,0.115991666,0.059139319,0.069796147,4.90782912481e-05,0.0142067618646131,1,"36"
"14572019","2019","TSE","M1400",0,0,"1","0",16.71791211,2.321657828,0.593287658,0.00323485,0.430726694,42,3.737669618,57.05,0,0.027593453,1457,7409422,18217844,3482794,615729,58932,4071473,595644,16460179,5646982,684746,5055939,0.014350026,3516265,0.212429889,2.321657828,0.034046488,0.029892634,0.022450078,0.035557977,-0.016677677,0.031002737,0.03382691,6.08e-08,-0.095716395,-0.09030321,0.211589072,0.037407187,2.321657828,0.003580277,0.037407187,0.015649418,0.021757769,0.003580277,6.08e-08,0.247352899,-0.095716395,0.035907447,0.343069295,0.034046488,0.029892634,0.022450078,0.049883037,0.066560714,0.01432506,0.000473400511857361,0.0321096591542374,1,"147"
