"Key","Year","Trade","Industry","RPA","RPA_Ctd","Big4","GC","LGTA","BM.x","LEV","OCF","MTB","Age_","Age","ESG","RD","ADV","Code","Equity","Asset","PPE","NI_Ctd","OCF.y","S","AR","Asset_1","S_1","AR_1","S_2","EXP","PROD_origin","PROD","BM.y","DA","DA1","DA2","ABCFO","ABPROD","ABEXP","AC","A1","A21","A2","A3","A4","A5","A6","ROA","Median_ROA","ADJROA","CFO","R1","R2","R3","R4","R5","ABSDA","ABSDA1","ABSDA2","RM","RM1","RM2","ADJROA_sq","distance","weights","subclass"
"12592021","2021","OTC","M2700",0,0,"1","0",15.48068625,0.982289904,0.604416977,0.141791646,1.018029398,33,3.496507561,62.53,0,0.161130845,1418,2091290,5286602,440015,88945,749596,5034182,114261,4663025,5342094,88470,5484492,0.267129814,3796202,0.815387222,0.982289904,-0.079596505,-0.080319801,-0.091518128,-0.00471096,0.153707817,0.060438611,-0.141678631,2.14e-07,-0.066032672,-0.071563631,0.094362565,0.019074528,0.982289904,0.160753159,0.019074528,0.00255949428000001,0.032868939,0.160753159,2.14e-07,1.079595756,-0.066032672,-0.030537687,1.145628428,0.079596505,0.080319801,0.091518128,0.209435468,0.055727651,0.214146428,0.00108036715098572,0.0538524758015347,1,"31"
"12682020","2020","OTC","M2700",0,0,"1","0",15.32560846,0.396564567,0.617571359,0.137568823,2.521657463,20,2.995732274,56.45,0.005207462,0.313707499,1418,1731321,4527174,788930,279713,622798,3459267,147240,4114909,3775225,150755,3565658,0.324452375,1962528,0.475263244,0.396564567,0.010558359,0.009334118,-0.00233781,-0.007627235,-0.032443882,-0.130051982,-0.083376084,2.43e-07,-0.076783715,-0.075929504,0.191724774,0.067975501,0.396564567,0.151351585,0.067975501,0.00255949428000001,0.06609244,0.151351585,2.43e-07,0.840666707,-0.076783715,0.050928708,0.917450422,0.010558359,0.009334118,0.00233781,-0.170123099,-0.137679217,-0.162495864,0.0043682106251536,0.0379640170492138,1,"27"
"13392022","2022","TSE","M2200",0,0,"1","0",15.52704828,1.189628315,0.310958073,0.135006059,0.840598687,37,3.610917913,50.46,0.03493788,0.062406286,1418,3815549,5537470,2974815,400993,747592,2020758,561362,5051865,1918100,497048,2120901,0.0693724,1490296,0.292327289,1.189628315,0.003696462,0.002285385,-0.012277263,-0.115016485,-0.027058569,0.010857006,-0.068608128,1.98e-07,0.020320812,0.007590068,0.588854809,0.079375241,1.189628315,0.147983369,0.079375241,0.044688486,0.034686754,0.147983369,1.98e-07,0.400002375,0.020320812,-0.040143788,0.379681563,0.003696462,0.002285385,0.012277263,-0.131218048,-0.104159479,-0.016201563,0.00120317090305652,0.035098799410877,1,"150"
"14022018","2018","TSE","M1400",0,0,"1","0",20.15337897,1.903196638,0.526636412,0.03324085,0.525431781,69,4.234106505,69.06,0.003659131,0.073441721,1418,237357293.059999,565589420,67388423.4299976,18391602,18800673,228661933,29347392,516766280,217846948,25709039,215855921,0.057311646,184261821,0.371060436,1.903196638,0.003245765,0.003239249,0.005371258,-0.009988696,-0.007546297,-0.00678996,-0.000791598,1.94e-09,0.020928194,0.013887578,0.318436062,0.035589787,1.903196638,0.036381385,0.035589787,0.02024905,0.015340738,0.036381385,1.94e-09,0.442486172,0.020928194,0.003852858,0.421557978,0.003245765,0.003239249,0.005371258,-0.024324953,-0.016778656,-0.014336257,0.000235338242384644,0.0621353969503127,1,"260"
"14022019","2019","TSE","M1400",1,1,"1","0",20.17175658,2.192344354,0.529021447,0.076290288,0.456132723,69,4.234106505,65.11,0.004245387,0.075198794,1418,237357293.059999,576079699,67388423.4299976,16435163,43949286,250146590,26486590,565589420,228661933,29347392,217846948,0.054787961,205396660,0.350857871,2.192344354,-0.018748901,-0.014795729,-0.010861278,-0.016711978,-0.002915074,-0.008233547,-0.048646813,1.77e-09,0.037986313,0.043044403,0.288225268,0.02905847,2.192344354,0.077705283,0.02905847,0.015649418,0.013409051,0.077705283,1.77e-09,0.442275936,0.037986313,0.019121618,0.404289622,0.018748901,0.014795729,0.010861278,-0.027860599,-0.024945525,-0.011148621,0.000179802648720601,0.105035167526255,1,"169"
"14022020","2020","TSE","M1400",0,1,"1","0",20.24030708,1.800812087,0.563299557,0.067248725,0.555305024,69,4.234106505,67.4,0.00419218,0.090813199,1418,237357293.059999,616955270,67388423.4299976,12980539,41489455,206769281,26788957,576079699,250146590,26486590,228661933,0.052759922,166373605,0.279810744,1.800812087,-0.030295458,-0.031746599,-0.026259829,-0.023485656,-0.000585597,-0.012685708,-0.049487798,1.74e-09,-0.075297409,-0.07582228,0.282356598,0.02253254,1.800812087,0.072020339,0.02253254,0.004215592,0.018316948,0.072020339,1.74e-09,0.358924783,-0.075297409,0.037294591,0.434222193,0.030295458,0.031746599,0.026259829,-0.036756961,-0.036171364,-0.013271305,0.000335510584034704,0.177070488644351,1,"173"
"14022021","2021","TSE","M1400",0,1,"1","0",20.26965131,1.733754103,0.575943302,0.057258304,0.576783062,69,4.234106505,64.71,0.003685294,0.096512692,1418,237357293.059999,635327585,67388423.4299976,14844485,36377780,238806217,29336993,616955270,206769281,26788957,250146590,0.056719504,192320517,0.355533885,1.733754103,-0.068547011,-0.07167253,-0.062558274,-0.061319222,-0.009029214,-0.018468189,-0.034902522,1.62e-09,0.051927486,0.047797468,0.267588216,0.024060877,1.733754103,0.058963399,0.024060877,0.027454518,-0.003393641,0.058963399,1.62e-09,0.387072173,0.051927486,-0.070308677,0.335144687,0.068547011,0.07167253,0.062558274,-0.088816625,-0.079787411,-0.027497403,1.1516799236881e-05,0.214083051873288,1,"175"
"14022022","2022","TSE","M1400",0,1,"1","0",20.3043475,1.583543023,0.586972543,0.058548672,0.631495315,69,4.234106505,63.43,0.003750606,0.089364441,1418,237357293.059999,657757910,67388423.4299976,13341150,38510852,263944525,29095332,635327585,238806217,29336993,206769281,0.057064486,213924074,0.344553179,1.583543023,-0.018470635,-0.017925699,-0.016632735,-0.039491151,-0.021916416,-0.009595992,-0.039616888,1.57e-09,0.039567474,0.039947847,0.270810826,0.020998852,1.583543023,0.06061574,0.020998852,0.022678295,-0.001679443,0.06061574,1.57e-09,0.415446348,0.039567474,0.050425854,0.375878874,0.018470635,0.017925699,0.016632735,-0.071003559,-0.049087143,-0.031512408,2.820528790249e-06,0.260483415423958,1,"176"
"14102022","2022","TSE","M1400",0,0,"1","0",14.13478141,0.491186108,0.162364002,0.081775334,2.035888197,59,4.077537444,52.73,0.016013799,0.014215689,1418,1152691,1376124,211752,55980,112533,395971,32375,1422922,477354,72173,416256,0.061171308,263032,0.180269895,0.491186108,0.012781089,0.001823885,-0.006334911,-0.041098951,-0.061150686,0.007819136,-0.039744273,7.03e-07,-0.057194281,-0.029225073,0.148814903,0.03934158,0.491186108,0.079085853,0.03934158,0.022678295,0.016663285,0.079085853,7.03e-07,0.278280187,-0.057194281,0.042938404,0.335474467,0.012781089,0.001823885,0.006334911,-0.094430501,-0.033279815,-0.05333155,0.000277665066991225,0.0156244473300258,1,"273"
"14382021","2021","TSE","M2500",0,0,"1","0",15.47244504,0.513466607,0.78822432,-0.195999857,1.947546318,68,4.219507705,42.19,0,0.000650567,1438,1110385,5243213,30569,30092,-1027669,16739.39,33,1866081,98432,2.61000000000006,13336.87,0.008685582,5660,0.66532964,0.513466607,0.248731461,0.247013839,0.244726701639998,0.201552359,0.31307607688,0.032650251,0.361355503009998,5.36e-07,-0.046158232,-0.046158232,0.01638139,0.016125774,0.513466607,-0.32765863592,0.016125774,0.037565005,-0.021439232,-0.32765863592,5.36e-07,0.00991242,-0.046158232,0.052742084,0.052747978,0.248731461,0.247013839,0.250658581,0.54626037376,0.23420261,0.376595178489999,0.000459640668749824,0.0392852233692616,1,"281"
