Key,Year,Trade,Industry,LGTA,RPA,RPA_Ctd,BM,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ADV,YICounts
11012022,2022,TSE,M1100,19.94849411,0,0,0.887196783,0.482918519,0.013412293,1.127145656,73,61,1,0,61.79,0.00593193,0.007202477,7
11012021,2021,TSE,M1100,19.90610652,0,0,1.065668841,0.489104456,0.042954569,0.938377816,73,61,1,0,63.26,0.003340313,0.006623827,7
11012020,2020,TSE,M1100,19.78039043,0,0,0.903399565,0.438186009,0.080304943,1.106929911,73,61,1,0,63.9,0.000253971,0.009673469,7
11012019,2019,TSE,M1100,19.72218594,0,0,1.211196502,0.432729634,0.07949374,0.825629861,73,61,1,0,63.97,0.00033187,0.008251255,7
11012018,2018,TSE,M1100,19.65639962,0,0,1.318348227,0.42636445,0.064375699,0.758524933,73,61,1,0,60.89,0.000189944,0.007236356,7
11012017,2017,TSE,M1100,19.4233585,0,0,1.517370996,0.43994398,0.045166911,0.659034608,73,61,1,0,60.43,0.000329554,0.008051325,7
11022022,2022,TSE,M1100,19.59700418,0,0,1.233530028,0.431805242,0.047213433,0.810681522,66,61,1,0,64.49,0,0,7
11022021,2021,TSE,M1100,19.57458919,0,0,1.325111135,0.431416385,0.027114157,0.754653684,66,61,1,0,67.84,0,0,7
11022020,2020,TSE,M1100,19.5095351,0,0,1.219296203,0.428157291,0.066054272,0.820145259,66,61,1,0,64.18,0,0,7
11022019,2019,TSE,M1100,19.51018001,0,0,1.51243781,0.429999037,0.125377044,0.661184211,66,61,1,0,63.42,0,0,7
11022018,2018,TSE,M1100,19.44739594,0,0,1.384301949,0.430318111,0.038365073,0.722385749,66,61,1,0,63.13,0,0,7
11022017,2017,TSE,M1100,19.32515938,0,0,1.850388062,0.409885056,0.032943029,0.540427179,66,61,1,0,57.4,0,0,7
11032022,2022,TSE,M1100,17.41041757,1,1,1.367086236,0.395824528,-0.010761112,0.73148275,69,54,1,0,56.67,0,0.018643463,7
11032021,2021,TSE,M1100,17.5105622,0,0,1.984688948,0.356229933,-0.004837947,0.503857293,69,54,1,0,56.31,0,0.014847405,7
11032020,2020,TSE,M1100,17.52041657,0,0,1.652485913,0.384509932,0.013059785,0.60514888,69,54,1,0,61,0,0.014960044,7
11032019,2019,TSE,M1100,17.47188319,0,0,2.103138542,0.388537259,-0.004369453,0.475479851,69,54,1,0,60.05,0,0.007023877,7
11032018,2018,TSE,M1100,17.28079727,0,0,2.042431527,0.345961932,-0.019883961,0.489612497,69,54,1,0,57.84,0,0.006045193,7
11032017,2017,TSE,M1100,17.15900771,0,0,2.586859693,0.319837223,0.01424501,0.386569091,69,54,1,0,51.83,0,0.005677111,7
11042022,2022,TSE,M1100,17.14097436,0,0,1.160902162,0.225997437,0.036425673,0.861399033,63,52,1,0,61.72,0.013089252,0.016921426,7
11042021,2021,TSE,M1100,17.03825178,0,0,1.527168004,0.227612325,0.055075141,0.654806804,63,52,1,0,64.68,0.012943184,0.013874901,7
11042020,2020,TSE,M1100,16.99784422,0,0,1.465627965,0.22061972,0.04207699,0.682301392,63,52,1,0,60.88,0.012751978,0.018748054,7
